[BSB | EN | NT | Matthew | Chapter 25 | Verse 1] “At that time the kingdom of heaven will be like ten virgins who took their lamps and went out to meet the bridegroom.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 37] Then the righteous will answer Him, ‘Lord, when did we see You hungry and feed You, or thirsty and give You something to drink?
[BSB | EN | NT | Matthew | Chapter 25 | Verse 38] When did we see You a stranger and take You in, or naked and clothe You?
[BSB | EN | NT | Matthew | Chapter 25 | Verse 39] When did we see You sick or in prison and visit You?’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 40] And the King will reply, ‘Truly I tell you, whatever you did for one of the least of these brothers of Mine, you did for Me.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 41] Then He will say to those on His left, ‘Depart from Me, you who are cursed, into the eternal fire prepared for the devil and his angels.
[BSB | EN | NT | Matthew | Chapter 25 | Verse 42] For I was hungry and you gave Me nothing to eat, I was thirsty and you gave Me nothing to drink,
[BSB | EN | NT | Matthew | Chapter 25 | Verse 43] I was a stranger and you did not take Me in, I was naked and you did not clothe Me, I was sick and in prison and you did not visit Me.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 44] And they too will reply, ‘Lord, when did we see You hungry or thirsty or a stranger or naked or sick or in prison, and did not minister to You?’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 45] Then the King will answer, ‘Truly I tell you, whatever you did not do for one of the least of these, you did not do for Me.’
[BSB | EN | NT | Matthew | Chapter 25 | Verse 46] And they will go away into eternal punishment, but the righteous into eternal life.”
