[GNV | EN | OT | Esther | Chapter 9 | Verse 1] So in the twelft moneth, which is the moneth Adar, vpon the thirteenth daye of the same, when the Kings commandement and his decree drew neere to be put in execution, in the day that the enemies of the Iewes hoped to haue power ouer them (but it turned contrary: for the Iewes had rule ouer them that hated them)
[GNV | EN | OT | Esther | Chapter 9 | Verse 16] And the rest of the Iewes that were in the Kings prouinces assembled themselues, and stood for their liues, and had rest from their enemies, and slewe of them that hated them, seuentie and fiue thousand: but they layd not their hand on the spoyle.
[GNV | EN | OT | Esther | Chapter 9 | Verse 17] This they did on the thirteenth day of the moneth Adar, and rested the fourteenth day thereof, and kept it a day of feasting and ioy.
[GNV | EN | OT | Esther | Chapter 9 | Verse 18] But the Iewes that were in Shushan assembled themselues on the thirteenth day, and on the fourteenth therof, and they rested on the fifteenth of the same, and kept it a day of feasting and ioy.
[GNV | EN | OT | Esther | Chapter 9 | Verse 19] Therefore the Iewes of the villages that dwelt in the vnwalled townes, kept the foureteenth day of the moneth Adar with ioy and feasting, euen a ioyfull day, and euery one sent presents vnto his neighbour.
[GNV | EN | OT | Esther | Chapter 9 | Verse 20] And Mordecai wrote these words, and sent letters vnto all the Iewes that were through all the prouinces of the King Ahashuerosh, both neere and farre,
[GNV | EN | OT | Esther | Chapter 9 | Verse 21] Inioyning them that they shoulde keepe the fourteenth day of the moneth Adar, and the fifteenth day of the same, euery yeere.
[GNV | EN | OT | Esther | Chapter 9 | Verse 22] According to the dayes wherein the Iewes rested from their enemies, and the moneth which was turned vnto them from sorowe to ioy, and from mourning into a ioyfull day, to keepe them the dayes of feasting, and ioy, and to sende presents euery man to his neyghbour, and giftes to the poore.
[GNV | EN | OT | Esther | Chapter 9 | Verse 23] And the Iewes promised to do as they had begun, and as Mordecai had written vnto them,
[GNV | EN | OT | Esther | Chapter 9 | Verse 24] Because Haman the sonne of Hammedatha the Agagite al the Iewes aduersarie, had imagined against the Iewes, to destroy them, and had cast Pur (that is a lot) to consume and destroy them.
[GNV | EN | OT | Esther | Chapter 9 | Verse 25] And when she came before the King, he commanded by letters, Let this wicked deuise (which he imagined against the Iewes) turne vpon his owne head, and let them hang him and his sonnes on the tree.
[GNV | EN | OT | Esther | Chapter 9 | Verse 26] Therfore they called these dayes Purim, by the name of Pur, and because of all the wordes of this letter, and of that which they had seene besides this, and of that which had come vnto them.
[GNV | EN | OT | Esther | Chapter 9 | Verse 27] The Iewes also ordeined, and promised for them and for their seede, and for all that ioyned vnto them, that they would not faile to obserue those two dayes euery yeere, according to their writing, and according to their season,
[GNV | EN | OT | Esther | Chapter 9 | Verse 28] And that these dayes shoulde be remembred, and kept throughout euery generation and euery familie, and euery prouince, and euery citie: euen these daies of Purim should not faile among the Iewes, and the memoriall of them should not perish from their seede.
[GNV | EN | OT | Esther | Chapter 9 | Verse 29] And the Queene Ester ye daughter of Abihail and Mordecai the Iew wrote with al authoritie (to cofirme this letter of Purim ye second time)
[GNV | EN | OT | Esther | Chapter 9 | Verse 30] And he sent letters vnto al the Iewes to the hundreth and seuen and twentie prouinces of the kingdome of Ahashuerosh, with words of peace and trueth,
[GNV | EN | OT | Esther | Chapter 9 | Verse 31] To confirme these dayes of Purim, according to their seasons, as Mordecai the Iewe and Ester the Queene had appointed them, and as they had promised for them selues and for their seede with fasting and prayer.
[GNV | EN | OT | Esther | Chapter 9 | Verse 32] And the decree of Ester confirmed these words of Purim, and was written in the booke.
