[ASV | EN | OT | Ezra | Chapter 10 | Verse 1] Now while Ezra prayed and made confession, weeping and casting himself down before the house of God, there was gathered together unto him out of Israel a very great assembly of men and women and children; for the people wept very sore.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 13] But the people are many, and it is a time of much rain, and we are not able to stand without: neither is this a work of one day or two; for we have greatly transgressed in this matter.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 14] Let now our princes be appointed for all the assembly, and let all them that are in our cities that have married foreign women come at appointed times, and with them the elders of every city, and the judges thereof, until the fierce wrath of our God be turned from us, until this matter be despatched.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 15] Only Jonathan the son of Asahel and Jahzeiah the son of Tikvah stood up against this matter: and Meshullam and Shabbethai the Levite helped them.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 16] And the children of the captivity did so. And Ezra the priest, with certain heads of fathers’ houses, after their fathers’ houses, and all of them by their names, were set apart; and they sat down in the first day of the tenth month to examine the matter.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 17] And they made an end with all the men that had married foreign women by the first day of the first month.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 18] And among the sons of the priests there were found that had married foreign women: namely, of the sons of Jeshua, the son of Jozadak, and his brethren, Maaseiah, and Eliezer, and Jarib, and Gedaliah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 19] And they gave their hand that they would put away their wives; and being guilty, they offered a ram of the flock for their guilt.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 20] And of the sons of Immer: Hanani and Zebadiah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 21] And of the sons of Harim: Maaseiah, and Elijah, and Shemaiah, and Jehiel, and Uzziah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 22] And of the sons of Pashhur: Elioenai, Maaseiah, Ishmael, Nethanel, Jozabad, and Elasah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 23] And of the Levites: Jozabad, and Shimei, and Kelaiah (the same is Kelita), Pethahiah, Judah, and Eliezer.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 24] And of the singers: Eliashib. And of the porters: Shallum, and Telem, and Uri.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 25] And of Israel: Of the sons of Parosh: Ramiah, and Izziah, and Malchijah, and Mijamin, and Eleazar, and Malchijah, and Benaiah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 26] And of the sons of Elam: Mattaniah, Zechariah, and Jehiel, and Abdi, and Jeremoth, and Elijah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 27] And of the sons of Zattu: Elioenai, Eliashib, Mattaniah, and Jeremoth, and Zabad, and Aziza.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 28] And of the sons of Bebai: Jehohanan, Hananiah, Zabbai, Athlai.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 29] And of the sons of Bani: Meshullam, Malluch, and Adaiah, Jashub, and Sheal, Jeremoth.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 30] And of the sons of Pahath-moab: Adna, and Chelal, Benaiah, Maaseiah, Mattaniah, Bezalel, and Binnui, and Manasseh.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 31] And of the sons of Harim: Eliezer, Isshijah, Malchijah, Shemaiah, Shimeon,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 32] Benjamin, Malluch, Shemariah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 33] Of the sons of Hashum: Mattenai, Mattattah, Zabad, Eliphelet, Jeremai, Manasseh, Shimei.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 34] Of the sons of Bani: Maadai, Amram, and Uel,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 35] Benaiah, Bedeiah, Cheluhi,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 36] Vaniah, Meremoth, Eliashib,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 37] Mattaniah, Mattenai, and Jaasu,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 38] and Bani, and Binnui, Shimei,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 39] and Shelemiah, and Nathan, and Adaiah,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 40] Machnadebai, Shashai, Sharai,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 41] Azarel, and Shelemiah, Shemariah,
[ASV | EN | OT | Ezra | Chapter 10 | Verse 42] Shallum, Amariah, Joseph.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 43] Of the sons of Nebo: Jeiel, Mattithiah, Zabad, Zebina, Iddo, and Joel, Benaiah.
[ASV | EN | OT | Ezra | Chapter 10 | Verse 44] All these had taken foreign wives; and some of them had wives by whom they had children.
