[ASV | EN | OT | Ezra | Chapter 2 | Verse 1] Now these are the children of the province, that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away unto Babylon, and that returned unto Jerusalem and Judah, every one unto his city;
[ASV | EN | OT | Ezra | Chapter 2 | Verse 30] The children of Magbish, a hundred fifty and six.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 31] The children of the other Elam, a thousand two hundred fifty and four.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 32] The children of Harim, three hundred and twenty.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 33] The children of Lod, Hadid, and Ono, seven hundred twenty and five.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 34] The children of Jericho, three hundred forty and five.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 35] The children of Senaah, three thousand and six hundred and thirty.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 36] The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 37] The children of Immer, a thousand fifty and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 38] The children of Pashhur, a thousand two hundred forty and seven.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 39] The children of Harim, a thousand and seventeen.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 40] The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy and four.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 41] The singers: the children of Asaph, a hundred twenty and eight.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 42] The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, in all a hundred thirty and nine.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 43] The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 44] the children of Keros, the children of Siaha, the children of Padon,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 45] the children of Lebanah, the children of Hagabah, the children of Akkub,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 46] the children of Hagab, the children of Shamlai, the children of Hanan,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 47] the children of Giddel, the children of Gahar, the children of Reaiah,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 48] the children of Rezin, the children of Nekoda, the children of Gazzam,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 49] the children of Uzza, the children of Paseah, the children of Besai,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 50] the children of Asnah, the children of Meunim, the children of Nephisim,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 51] the children of Bakbuk, the children of Hakupha, the children of Harhur,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 52] the children of Bazluth, the children of Mehida, the children of Harsha,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 53] the children of Barkos, the children of Sisera, the children of Temah,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 54] the children of Neziah, the children of Hatipha.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 55] The children of Solomon’s servants: the children of Sotai, the children of Hassophereth, the children of Peruda,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 56] the children of Jaalah, the children of Darkon, the children of Giddel,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 57] the children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Ami.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 58] All the Nethinim, and the children of Solomon’s servants, were three hundred ninety and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 59] And these were they that went up from Tel-melah, Tel-harsha, Cherub, Addan, and Immer; but they could not show their fathers’ houses, and their seed, whether they were of Israel:
[ASV | EN | OT | Ezra | Chapter 2 | Verse 60] the children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred fifty and two.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 61] And of the children of the priests: the children of Habaiah, the children of Hakkoz, the children of Barzillai, who took a wife of the daughters of Barzillai the Gileadite, and was called after their name.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 62] These sought their register among those that were reckoned by genealogy, but they were not found: therefore were they deemed polluted and put from the priesthood.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 63] And the governor said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and with Thummim.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 64] The whole assembly together was forty and two thousand three hundred and threescore,
[ASV | EN | OT | Ezra | Chapter 2 | Verse 65] besides their menservants and their maidservants, of whom there were seven thousand three hundred thirty and seven: and they had two hundred singing men and singing women.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 66] Their horses were seven hundred thirty and six; their mules, two hundred forty and five;
[ASV | EN | OT | Ezra | Chapter 2 | Verse 67] their camels, four hundred thirty and five; their asses, six thousand seven hundred and twenty.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 68] And some of the heads of fathers’ houses, when they came to the house of Jehovah which is in Jerusalem, offered willingly for the house of God to set it up in its place:
[ASV | EN | OT | Ezra | Chapter 2 | Verse 69] they gave after their ability into the treasury of the work threescore and one thousand darics of gold, and five thousand pounds of silver, and one hundred priests’ garments.
[ASV | EN | OT | Ezra | Chapter 2 | Verse 70] So the priests, and the Levites, and some of the people, and the singers, and the porters, and the Nethinim, dwelt in their cities, and all Israel in their cities.
