[IRV | UR | OT | Psalms | Chapter 78 | Verse 1] ऐ मेरे लोगों मेरी शरी'अत को सुनो मेरे मुँह की बातों पर कान लगाओ।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 38] लेकिन वह रहीम होकर बदकारी मु'आफ़ करता है, और हलाक नहीं करता; बल्कि बारहा अपने क़हर को रोक लेता है, और अपने पूरे ग़ज़ब को भड़कने नहीं देता।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 39] और उसे याद रहता है कि यह महज़ बशर है। या'नी हवा जो चली जाती है और फिर नहीं आती।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 40] कितनी बार उन्होंने वीरान में उससे सरकशी की और सेहरा में उसे दुख किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 41] और वह फिर ख़ुदा को आज़माने लगे और उन्होंने इस्राईल के ख़ुदा को नाराज़ किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 42] उन्होंने उसके हाथ को याद न रखा, न उस दिन की जब उसने फ़िदिया देकर उनको मुख़ालिफ़ से रिहाई बख़्शी।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 43] उसने मिस्र में अपने निशान दिखाए, और जुअन के 'इलाके में अपने अजायब।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 44] और उनके दरियाओं को खू़न बना दिया और वह अपनी नदियों से पी न सके।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 45] उसने उन पर मच्छरों के ग़ोल भेजे जो उनको खा गए और मेंढ़क जिन्होंने उनको तबाह कर दिया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 46] उसने उनकी पैदावार कीड़ों को और उनकी मेहनत का फल टिड्डियों को दे दिया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 47] उसने उनकी ताकों को ओलों से और उनके गूलर के दरख़्तों को पाले से मारा।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 48] उसने उनके चौपायों को ओलों के हवाले किया, और उनकी भेड़ बकरियों को बिजली के।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 49] उसने 'ऐज़ाब के फ़रिश्तों की फ़ौज भेज कर अपनी क़हर की शिद्दत ग़ैज़ — ओ — ग़जब और बला को उन पर नाज़िल किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 50] उसने अपने क़हर के लिए रास्ता बनाया, और उनकी जान मौत से न बचाई, बल्कि उनकी ज़िन्दगी वबा के हवाले की।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 51] उसने मिस्र के सब पहलौठों को, या'नी हाम के घरों में उनकी ताक़त के पहले फल को मारा:
[IRV | UR | OT | Psalms | Chapter 78 | Verse 52] लेकिन वह अपने लोगों को भेड़ों की तरह ले चला, और वीरान में ग़ल्ले की तरह उनकी रहनुमाई की।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 53] और वह उनको सलामत ले गया और वह न डरे, लेकिन उनके दुश्मनों को समन्दर ने छिपा लिया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 54] और वह उनको अपने मक़दिस की सरहद तक लाया, या'नी उस पहाड़ तक जिसे उसके दहने हाथ ने हासिल किया था।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 55] उसने और क़ौमों को उनके सामने से निकाल दिया; जिनकी मीरास जरीब डाल कर उनको बाँट दी; और जिनके खे़मों में इस्राईल के क़बीलों को बसाया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 56] तोभी उन्होंने ख़ुदाता'ला को आज़मायाऔर उससे सरकशी की, और उसकी शहादतों को न माना;
[IRV | UR | OT | Psalms | Chapter 78 | Verse 57] बल्कि नाफ़रमान होकर अपने बाप दादा की तरह बेवफ़ाई की और धोका देने वाली कमान की तरह एक तरफ़ को झुक गए।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 58] क्यूँकि उन्होंने अपने ऊँचे मक़ामों के वजह से उसका क़हर भड़काया, और अपनी खोदी हुई मूरतों से उसे गै़रत दिलाई।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 59] ख़ुदा यह सुनकर गज़बनाक हुआ, और इस्राईल से सख़्त नफ़रत की।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 60] फिर उसने शीलोह के घर को छोड़ दिया, या'नी उस खे़मे को जो बनी आदम के बीच खड़ा किया था।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 61] और उसने अपनी ताक़त को ग़ुलामी में, और अपनी हश्मत को मुख़ालिफ़ के हाथ में दे दिया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 62] उसने अपने लोगों को तलवार के हवाले कर दिया, और वह अपनी मीरास से ग़ज़बनाक हो गया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 63] आग उनके जवानों को खा गई, और उनकी कुँवारियों के सुहाग न गाए गए।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 64] उनके काहिन तलवार से मारे गए, और उनकी बेवाओं ने नौहा न किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 65] तब ख़ुदावन्द जैसे नींद से जाग उठा, उस ज़बरदस्त आदमी की तरह जो मय की वजह से ललकारता हो।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 66] और उसने अपने मुख़ालिफ़ों को मार कर पस्पा कर दिया; उसने उनको हमेशा के लिए रुस्वा किया।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 67] और उसने यूसुफ़ के ख़मे को छोड़ दिया; और इफ़्राईम के क़बीले को न चुना;
[IRV | UR | OT | Psalms | Chapter 78 | Verse 68] बल्कि यहूदाह के क़बीले को चुना! उसी कोह — ए — सिय्यून को जिससे उसको मुहब्बत थी।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 69] और अपने मक़दिस को पहाड़ों की तरह तामीर किया, और ज़मीन की तरह जिसे उसने हमेशा के लिए क़ाईम किया है।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 70] उसने अपने बन्दे दाऊद को भी चुना, और भेड़सालों में से उसे ले लिया;
[IRV | UR | OT | Psalms | Chapter 78 | Verse 71] वह उसे बच्चे वाली भेड़ों की चौपानी से हटा लाया, ताकि उसकी क़ौम या'कू़ब और उसकी मीरास इस्राईल की ग़ल्लेबानी करे।
[IRV | UR | OT | Psalms | Chapter 78 | Verse 72] फिर उसने ख़ुलूस — ए — दिल से उनकी पासबानी की और अपने माहिर हाथों से उनकी रहनुमाई करता रहा।
