[WLC | HE | OT | Proverbs | Chapter 11 | Verse 1] מֹאזְנֵ֣י מִ֭רְמָה תּוֹעֲבַ֣ת יְהוָ֑ה וְאֶ֖בֶן שְׁלֵמָ֣ה רְצוֹנֽוֹ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 12] בָּז־לְרֵעֵ֥הוּ חֲסַר־לֵ֑ב וְאִ֖ישׁ תְּבוּנ֣וֹת יַחֲרִֽישׁ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 13] הוֹלֵ֣ךְ רָ֭כִיל מְגַלֶּה־סּ֑וֹד וְנֶאֱמַן־ר֝֗וּחַ מְכַסֶּ֥ה דָבָֽר׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 14] בְּאֵ֣ין תַּ֭חְבֻּלוֹת יִפָּל־עָ֑ם וּ֝תְשׁוּעָ֗ה בְּרֹ֣ב יוֹעֵֽץ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 15] רַע־יֵ֭רוֹעַ כִּי־עָ֣רַב זָ֑ר וְשֹׂנֵ֖א תֹקְעִ֣ים בּוֹטֵֽחַ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 16] אֵֽשֶׁת־חֵ֭ן תִּתְמֹ֣ךְ כָּב֑וֹד וְ֝עָרִיצִ֗ים יִתְמְכוּ־עֹֽשֶׁר ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 17] גֹּמֵ֣ל נַ֭פְשׁוֹ אִ֣ישׁ חָ֑סֶד וְעֹכֵ֥ר שְׁ֝אֵר֗וֹ אַכְזָרִֽי׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 18] רָשָׁ֗ע עֹשֶׂ֥ה פְעֻלַּת־שָׁ֑קֶר וְזֹרֵ֥עַ צְ֝דָקָ֗ה שֶׂ֣כֶר אֱמֶֽת׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 19] כֵּן־צְדָקָ֥ה לְחַיִּ֑ים וּמְרַדֵּ֖ף רָעָ֣ה לְמוֹתֽוֹ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 20] תּוֹעֲבַ֣ת יְ֭הוָה עִקְּשֵׁי־לֵ֑ב וּ֝רְצוֹנ֗וֹ תְּמִ֣ימֵי דָֽרֶךְ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 21] יָ֣ד לְ֭יָד לֹא־יִנָּ֣קֶה רָּ֑ע וְזֶ֖רַע צַדִּיקִ֣ים נִמְלָֽט׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 22] נֶ֣זֶם זָ֭הָב בְּאַ֣ף חֲזִ֑יר אִשָּׁ֥ה יָ֝פָ֗ה וְסָ֣רַת טָֽעַם׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 23] תַּאֲוַ֣ת צַדִּיקִ֣ים אַךְ־ט֑וֹב תִּקְוַ֖ת רְשָׁעִ֣ים עֶבְרָֽה׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 24] יֵ֣שׁ מְ֭פַזֵּר וְנוֹסָ֥ף ע֑וֹד וְחוֹשֵׂ֥ךְ מִ֝יֹּ֗שֶׁר אַךְ־לְמַחְסֽוֹר׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 25] נֶֽפֶשׁ־בְּרָכָ֥ה תְדֻשָּׁ֑ן וּ֝מַרְוֶ֗ה גַּם־ה֥וּא יוֹרֶֽא׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 26] מֹ֣נֵֽעַ בָּ֭ר יִקְּבֻ֣הוּ לְא֑וֹם וּ֝בְרָכָ֗ה לְרֹ֣אשׁ מַשְׁבִּֽיר׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 27] שֹׁ֣חֵֽר ט֭וֹב יְבַקֵּ֣שׁ רָצ֑וֹן וְדֹרֵ֖שׁ רָעָ֣ה תְבוֹאֶֽנּוּ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 28] בּוֹטֵ֣חַ בְּ֭עָשְׁרוֹ ה֣וּא יִפֹּ֑ל וְ֝כֶעָלֶ֗ה צַדִּיקִ֥ים יִפְרָֽחוּ׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 29] עוֹכֵ֣ר בֵּ֭יתוֹ יִנְחַל־ר֑וּחַ וְעֶ֥בֶד אֱ֝וִ֗יל לַחֲכַם־לֵֽב׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 30] פְּֽרִי־צַ֭דִּיק עֵ֣ץ חַיִּ֑ים וְלֹקֵ֖חַ נְפָשׂ֣וֹת חָכָֽם׃
[WLC | HE | OT | Proverbs | Chapter 11 | Verse 31] הֵ֣ן צַ֭דִּיק בָּאָ֣רֶץ יְשֻׁלָּ֑ם אַ֝֗ף כִּֽי־רָשָׁ֥ע וְחוֹטֵֽא׃
