[WLC | HE | OT | Proverbs | Chapter 13 | Verse 1] בֵּ֣ן חָ֭כָם מ֣וּסַר אָ֑ב וְ֝לֵ֗ץ לֹא־שָׁמַ֥ע גְּעָרָֽה׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 12] תּוֹחֶ֣לֶת מְ֭מֻשָּׁכָה מַחֲלָה־לֵ֑ב וְעֵ֥ץ חַ֝יִּ֗ים תַּאֲוָ֥ה בָאָֽה׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 13] בָּ֣ז לְ֭דָבָר יֵחָ֣בֶל ל֑וֹ וִירֵ֥א מִ֝צְוָ֗ה ה֣וּא יְשֻׁלָּֽם׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 14] תּוֹרַ֣ת חָ֭כָם מְק֣וֹר חַיִּ֑ים לָ֝ס֗וּר מִמֹּ֥קְשֵׁי מָֽוֶת׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 15] שֵֽׂכֶל־ט֭וֹב יִתֶּן־חֵ֑ן וְדֶ֖רֶךְ בֹּגְדִ֣ים אֵיתָֽן׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 16] כָּל־עָ֭רוּם יַעֲשֶׂ֣ה בְדָ֑עַת וּ֝כְסִ֗יל יִפְרֹ֥שׂ אִוֶּֽלֶת׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 17] מַלְאָ֣ךְ רָ֭שָׁע יִפֹּ֣ל בְּרָ֑ע וְצִ֖יר אֱמוּנִ֣ים מַרְפֵּֽא׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 18] רֵ֣ישׁ וְ֭קָלוֹן פּוֹרֵ֣עַ מוּסָ֑ר וְשׁוֹמֵ֖ר תּוֹכַ֣חַת יְכֻבָּֽד׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 19] תַּאֲוָ֣ה נִ֭הְיָה תֶּעֱרַ֣ב לְנָ֑פֶשׁ וְתוֹעֲבַ֥ת כְּ֝סִילִ֗ים ס֣וּר מֵרָֽע׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 20] הלוך אֶת־חֲכָמִ֣ים וחכם וְרֹעֶ֖ה כְסִילִ֣ים יֵרֽוֹעַ׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 21] חַ֭טָּאִים תְּרַדֵּ֣ף רָעָ֑ה וְאֶת־צַ֝דִּיקִ֗ים יְשַׁלֶּם־טֽוֹב׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 22] ט֗וֹב יַנְחִ֥יל בְּנֵֽי־בָנִ֑ים וְצָפ֥וּן לַ֝צַּדִּ֗יק חֵ֣יל חוֹטֵֽא׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 23] רָב־אֹ֭כֶל נִ֣יר רָאשִׁ֑ים וְיֵ֥שׁ נִ֝סְפֶּ֗ה בְּלֹ֣א מִשְׁפָּֽט׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 24] חוֹשֵׂ֣ךְ שִׁ֭בְטוֹ שׂוֹנֵ֣א בְנ֑וֹ וְ֝אֹהֲב֗וֹ שִֽׁחֲר֥וֹ מוּסָֽר׃
[WLC | HE | OT | Proverbs | Chapter 13 | Verse 25] צַדִּ֗יק אֹ֭כֵל לְשֹׂ֣בַע נַפְשׁ֑וֹ וּבֶ֖טֶן רְשָׁעִ֣ים תֶּחְסָֽר׃ פ
