[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 1] ਉਸ ਨੇ ਪਿੱਤਲ ਦੀ ਇੱਕ ਜਗਵੇਦੀ ਬਣਾਈ। ਉਹ ਦੀ ਲੰਬਾਈ ਵੀਹ ਹੱਥ ਅਤੇ ਉਹ ਦੀ ਚੌੜਾਈ ਵੀਹ ਹੱਥ ਅਤੇ ਉਹ ਦੀ ਉਚਿਆਈ ਦਸ ਹੱਥ ਸੀ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 12] ਦੋਵੇਂ ਥੰਮ੍ਹ ਅਤੇ ਕੌਲ ਅਤੇ ਮੁਕਟ ਜਿਹੜੇ ਉਨ੍ਹਾਂ ਦੋਹਾਂ ਥੰਮਾਂ ਦੇ ਸਿਰਾਂ ਉੱਤੇ ਸਨ ਅਤੇ ਦੋ ਜਾਲੀਆਂ ਜਿਹੜੀਆਂ ਥੰਮਾਂ ਦੇ ਸਿਰਾਂ ਉੱਪਰਲੇ ਮੁਕਟਾਂ ਨੂੰ ਢੱਕਦੀਆਂ ਸਨ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 13] ਦੋਹਾਂ ਜਾਲੀਆਂ ਲਈ ਚਾਰ ਸੌ ਅਨਾਰ, ਹਰ ਜਾਲੀ ਲਈ ਦੋਂਹ ਪਾਲਾਂ ਵਿੱਚ ਅਨਾਰ ਕਿ ਉਹ ਥੰਮਾਂ ਦੇ ਉੱਪਰਲੇ ਮੁਕਟਾਂ ਦੇ ਦੋਹਾਂ ਕੌਲਾਂ ਨੂੰ ਢੱਕ ਲੈਣ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 14] ਉਸ ਨੇ ਕੁਰਸੀਆਂ ਬਣਾਈਆਂ ਅਤੇ ਉਨ੍ਹਾਂ ਕੁਰਸੀਆਂ ਉੱਤੇ ਹੌਦੀਆਂ ਬਣਾਈਆਂ,
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 15] ਇੱਕ ਸਾਗਰੀ ਹੌਦ ਅਤੇ ਸਾਗਰੀ ਹੌਦ ਹੇਠ ਬਾਰਾਂ ਬਲ਼ਦ ਸਨ।
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 16] ਤਸਲੇ, ਕੜਛੇ, ਤ੍ਰਿਸੂਲੀਆਂ ਅਤੇ ਸਾਰੇ ਭਾਂਡੇ ਉਹ ਦੇ ਪਿਤਾ ਹੂਰਾਮ ਨੇ ਸੁਲੇਮਾਨ ਪਾਤਸ਼ਾਹ ਲਈ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਲਈ ਮਾਂਜੇ ਹੋਏ ਪਿੱਤਲ ਦੇ ਬਣਾਏ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 17] ਪਾਤਸ਼ਾਹ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਯਰਦਨ ਦੀ ਤਰਾਈ ਵਿੱਚ ਸੁੱਕੋਥ ਅਤੇ ਸਰੇਦਾਹ ਦੇ ਵਿੱਚਕਾਰਲੀ ਚੀਕਣੀ ਮਿੱਟੀ ਦੀ ਭੂਮੀ ਵਿੱਚ ਢਾਲਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 18] ਸੋ ਸੁਲੇਮਾਨ ਪਾਤਸ਼ਾਹ ਨੇ ਇਹ ਸਾਰੇ ਭਾਂਡੇ ਬਹੁਤ ਢੇਰ ਸਾਰੇ ਬਣਾਏ। ਇਸ ਲਈ ਪਿੱਤਲ ਦੇ ਤੋਲ ਦੀ ਜਾਂਚ ਨਾ ਹੋ ਸਕੀ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 19] ਸੁਲੇਮਾਨ ਨੇ ਉਹ ਸਾਰੇ ਭਾਂਡੇ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੇ ਭਵਨ ਲਈ ਸਨ ਬਣਾਏ ਅਤੇ ਸੋਨੇ ਦੀ ਜਗਵੇਦੀ ਅਤੇ ਮੇਜ਼ਾਂ ਜਿਨ੍ਹਾਂ ਉੱਤੇ ਹਜ਼ੂਰੀ ਦੀ ਰੋਟੀ ਹੁੰਦੀ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 20] ਅਤੇ ਖਾਲ਼ਸ ਸੋਨੇ ਦੇ ਸ਼ਮਾਦਾਨ ਉਨ੍ਹਾਂ ਦੇ ਦੀਵਿਆਂ ਸਣੇ ਕਿ ਉਹ ਰੀਤੀ ਅਨੁਸਾਰ ਵਿੱਚਲੀ ਕੋਠੜੀ ਦੇ ਅੱਗੇ ਬਲ਼ਦੇ ਰਹਿਣ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 21] ਅਤੇ ਫੁੱਲ ਅਤੇ ਦੀਵੇ ਅਤੇ ਜੀਭੀਆਂ ਸੋਨੇ ਦੀਆਂ ਸਨ ਅਤੇ ਉਹ ਖਰਾ ਸੋਨਾ ਸੀ
[IRV | PA | OT | 2 Chronicles | Chapter 4 | Verse 22] ਅਤੇ ਗੁਲਤਰਾਸ਼ ਅਤੇ ਗੁਲਦਾਨ ਅਤੇ ਕੌਲੀਆਂ ਅਤੇ ਧੂਪਦਾਨ ਖਾਲ਼ਸ ਸੋਨੇ ਦੇ ਸਨ ਅਤੇ ਭਵਨ ਦਾ ਦਰਵਾਜ਼ਾ ਅਤੇ ਉਹ ਦੇ ਅੰਦਰਲੇ ਬੂਹੇ ਜੋ ਅੱਤ ਪਵਿੱਤਰ ਸਥਾਨ ਲਈ ਸਨ ਅਤੇ ਹੈਕਲ ਦੇ ਭਵਨ ਦੇ ਬੂਹੇ ਸੋਨੇ ਦੇ ਸਨ।
