[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 1] ਜਦ ਮਨੱਸ਼ਹ ਰਾਜ ਕਰਨ ਲੱਗਾ ਤਾਂ ਉਹ ਬਾਰਾਂ ਸਾਲਾਂ ਦਾ ਸੀ, ਉਸ ਨੇ ਪਚਵੰਜਾ ਸਾਲ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਰਾਜ ਕੀਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 12] ਜਦ ਉਹ ਔਕੜ ਵਿੱਚ ਪਿਆ ਤਾਂ ਉਹ ਨੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਿੰਨਤ ਕੀਤੀ ਅਤੇ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਨਮੁਖ ਆਪਣੇ ਆਪ ਨੂੰ ਬਹੁਤ ਅਧੀਨ ਕੀਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 13] ਉਹ ਨੇ ਉਸ ਅੱਗੇ ਪ੍ਰਾਰਥਨਾ ਕੀਤੀ ਤਾਂ ਉਸ ਨੇ ਉਹ ਦੇ ਤਰਲਿਆਂ ਨੂੰ ਸੁਣ ਲਿਆ। ਉਹ ਨੂੰ ਉਹ ਦੇ ਰਾਜ ਵਿੱਚ ਯਰੂਸ਼ਲਮ ਨੂੰ ਮੋੜ ਲਿਆਇਆ ਤਾਂ ਮਨੱਸ਼ਹ ਨੇ ਜਾਣਿਆ ਕਿ ਯਹੋਵਾਹ ਹੀ ਪਰਮੇਸ਼ੁਰ ਹੈ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 14] ਇਸ ਦੇ ਮਗਰੋਂ ਉਹ ਨੇ ਦਾਊਦ ਦੇ ਸ਼ਹਿਰ ਲਈ ਗੀਹੋਨ ਦੇ ਪੱਛਮ ਵੱਲ ਵਾਦੀ ਵਿੱਚ ਮੱਛੀ ਫਾਟਕ ਦੇ ਲਾਂਘੇ ਤੱਕ ਬਾਹਰ ਵੱਲ ਇੱਕ ਕੰਧ ਬਣਾਈ ਅਤੇ ਓਫ਼ਲ ਨੂੰ ਘੇਰ ਕੇ ਬਹੁਤ ਉੱਚਾ ਕਰ ਦਿੱਤਾ ਅਤੇ ਯਹੂਦਾਹ ਦੇ ਸਾਰੇ ਗੜ੍ਹ ਵਾਲੇ ਸ਼ਹਿਰਾਂ ਵਿੱਚ ਫ਼ੌਜੀ ਸਰਦਾਰ ਨਿਯੁਕਤ ਕੀਤੇ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 15] ਅਤੇ ਉਹ ਨੇ ਓਪਰੇ ਦੇਵਤੇ ਅਤੇ ਉਸ ਬੁੱਤ ਨੂੰ ਜਿਹੜਾ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਵਿੱਚ ਸੀ ਅਤੇ ਸਾਰੀਆਂ ਜਗਵੇਦੀਆਂ ਨੂੰ ਜਿਹੜੀਆਂ ਉਸ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਦੇ ਪਰਬਤ ਉੱਤੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਬਣਾਈਆਂ ਸਨ ਕੱਢ ਕੇ ਸ਼ਹਿਰੋਂ ਬਾਹਰ ਸੁੱਟ ਦਿੱਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 16] ਉਸ ਨੇ ਯਹੋਵਾਹ ਦੀ ਜਗਵੇਦੀ ਦੀ ਮੁਰੰਮਤ ਕਰਾਈ ਅਤੇ ਉਸ ਉੱਤੇ ਸੁੱਖ-ਸਾਂਦ ਦੀਆਂ ਬਲੀਆਂ ਅਤੇ ਧੰਨਵਾਦ ਦੇ ਚੜ੍ਹਾਵੇ ਚੜ੍ਹਾਏ ਅਤੇ ਯਹੂਦਾਹ ਨੂੰ ਯਹੋਵਾਹ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਦੀ ਉਪਾਸਨਾ ਦਾ ਹੁਕਮ ਦਿੱਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 17] ਤਾਂ ਵੀ ਅਜੇ ਤੱਕ ਲੋਕ ਉੱਚਿਆਂ ਸਥਾਨਾਂ ਉੱਤੇ ਬਲੀਆਂ ਚੜ੍ਹਾਉਂਦੇ ਰਹੇ ਪਰ ਕੇਵਲ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਲਈ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 18] ਮਨੱਸ਼ਹ ਦੀਆਂ ਬਾਕੀ ਗੱਲਾਂ ਅਤੇ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਅੱਗੇ ਉਹ ਦੀ ਪ੍ਰਾਰਥਨਾ ਅਤੇ ਉਨ੍ਹਾਂ ਗੈਬਦਾਨਾਂ ਦੀਆਂ ਗੱਲਾਂ ਜਿਨ੍ਹਾਂ ਨੇ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਯਹੋਵਾਹ ਦੇ ਨਾਮ ਨਾਲ ਉਸ ਨਾਲ ਗੱਲਾਂ ਕੀਤੀਆਂ ਸਨ ਵੇਖੋ, ਉਹ ਸਭ ਇਸਰਾਏਲ ਦੇ ਪਾਤਸ਼ਾਹਾਂ ਦੀਆਂ ਗੱਲਾਂ ਨਾਲ ਲਿਖੇ ਹਨ।
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 19] ਉਹ ਦੀ ਪ੍ਰਾਰਥਨਾ ਅਤੇ ਉਸ ਦੇ ਲਈ ਤਰਲੇ ਅਤੇ ਉਹ ਦੇ ਸਾਰੇ ਪਾਪ ਅਤੇ ਉਹ ਦੀ ਬੇਈਮਾਨੀ ਅਤੇ ਉਹ ਥਾਂ ਜਿੱਥੇ ਉਹ ਨੇ ਉੱਚੇ ਸਥਾਨ ਬਣਾਏ ਅਤੇ ਟੁੰਡਾਂ ਅਤੇ ਘੜ੍ਹੀਆਂ ਹੋਈਆਂ ਮੂਰਤਾਂ ਨੂੰ ਉਹ ਦੀ ਅਧੀਨਤਾ ਤੋਂ ਪਹਿਲਾ ਖੜ੍ਹਾ ਕੀਤਾ, ਇਹ ਹੋਜ਼ਾਈ ਦੀਆਂ ਗੱਲਾਂ ਵਿੱਚ ਲਿਖੀਆਂ ਹਨ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 20] ਤਾਂ ਮਨੱਸ਼ਹ ਮਰ ਕੇ ਆਪਣੇ ਪੁਰਖਿਆਂ ਨਾਲ ਜਾ ਮਿਲਿਆ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਹ ਨੂੰ ਉਹ ਦੇ ਆਪਣੇ ਘਰ ਵਿੱਚ ਦੱਬ ਦਿੱਤਾ, ਫੇਰ ਉਹ ਦਾ ਪੁੱਤਰ ਆਮੋਨ ਉਹ ਦੇ ਥਾਂ ਰਾਜ ਕਰਨ ਲੱਗਾ।
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 21] ਜਦ ਆਮੋਨ ਰਾਜ ਕਰਨ ਲੱਗਾ ਉਹ ਬਾਈਆਂ ਸਾਲਾਂ ਦਾ ਸੀ ਅਤੇ ਉਹ ਨੇ ਯਰੂਸ਼ਲਮ ਵਿੱਚ ਦੋ ਸਾਲ ਰਾਜ ਕੀਤਾ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 22] ਉਹ ਨੇ ਉਹ ਕੰਮ ਕੀਤਾ ਜੋ ਯਹੋਵਾਹ ਦੀ ਨਿਗਾਹ ਵਿੱਚ ਭੈੜਾ ਸੀ ਜਿਵੇਂ ਉਹ ਦੇ ਪਿਤਾ ਮਨੱਸ਼ਹ ਨੇ ਵੀ ਕੀਤਾ ਸੀ ਅਤੇ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਘੜ੍ਹੀਆਂ ਹੋਈਆਂ ਮੂਰਤਾਂ ਲਈ ਜਿਹੜੀਆਂ ਉਸ ਦੇ ਪਿਤਾ ਮੱਨਸ਼ਹ ਨੇ ਬਣਾਈਆਂ ਸਨ ਆਮੋਨ ਨੇ ਬਲੀਆਂ ਚੜ੍ਹਾਈਆਂ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀ ਪੂਜਾ ਕੀਤੀ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 23] ਉਹ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਅਧੀਨ ਨਾ ਹੋਇਆ ਜਿਵੇਂ ਉਸ ਦਾ ਪਿਤਾ ਮਨੱਸ਼ਹ ਅਧੀਨ ਹੋਇਆ ਸੀ ਸਗੋਂ ਇਹੀ ਆਮੋਨ ਵੱਧ ਅਪਰਾਧ ਕਰਦਾ ਗਿਆ
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 24] ਸੋ ਉਹ ਦੇ ਨੌਕਰਾਂ ਨੇ ਉਹ ਦੇ ਵਿਰੁੱਧ ਯੋਜਨਾ ਬਣਾਈ ਅਤੇ ਰਾਜਾ ਨੂੰ ਉਹ ਦੇ ਮਹਿਲ ਦੇ ਵਿੱਚੇ ਹੀ ਮਾਰ ਸੁੱਟਿਆ।
[IRV | PA | OT | 2 Chronicles | Chapter 33 | Verse 25] ਪਰ ਉਸ ਦੇਸ ਦੇ ਲੋਕਾਂ ਨੇ ਉਹਨਾਂ ਸਾਰਿਆਂ ਨੂੰ ਮਾਰ ਸੁੱਟਿਆ ਜਿਨ੍ਹਾਂ ਨੇ ਆਮੋਨ ਰਾਜਾ ਦੇ ਵਿਰੁੱਧ ਯੋਜਨਾ ਬਣਾਈ ਸੀ ਅਤੇ ਦੇਸ ਦੇ ਲੋਕਾਂ ਨੇ ਉਹ ਦੇ ਪੁੱਤਰ ਯੋਸ਼ੀਯਾਹ ਨੂੰ ਉਹ ਦੇ ਥਾਂ ਰਾਜਾ ਬਣਾਇਆ।
