[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 1] Then his son Judas, called Machabeus, rose up in his stead.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 18] And Judas said: It is an easy matter for many to be shut up in the hands of a few: and there is no difference in the sight of the God of heaven to deliver with a great multitude, or with a small company:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 19] For the success of war is not in the multitude of the army, but strength cometh from heaven.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 20] They come against us with an insolent multitude, and with pride, to destroy us, and our wives, and our children, and to take our spoils.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 21] But we will fight for our lives and our laws:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 22] And the Lord himself will overthrow them before our face: but as for you, fear them not.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 23] And as soon as he had made an end of speaking, he rushed suddenly upon them: and Seron and his host were overthrown before him:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 24] And he pursued him by the descent of Bethoron even to the plain, and there fell of them eight hundred men, and the rest fled into the land of the Philistines.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 25] And the fear of Judas and of his brethren, and the dread of them fell upon all the nations round about them.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 26] And his fame came to the king, and all nations told of the battles of Judas.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 27] Now when king Antiochus heard these words, he was angry in his mind: and he sent and gathered the forces of all his kingdom, an exceeding strong army.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 28] And he opened his treasury, and gave out pay to the army for a year: and he commanded them, that they should be ready for all things.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 29] And he perceived that the money of his treasures failed, and that the tributes of the country were small because of the dissension, and the evil that he had brought upon the land, that he might take away the laws of old times:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 30] And he feared that he should not have as formerly enough, for charges and gifts, which he had given before with a liberal hand: for he had abounded more than the kings that had been before him.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 31] And he was greatly perplexed in mind, and purposed to go into Persia, and to take tributes of the countries, and to gather much money.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 32] And he left Lysias, a nobleman of the blood royal, to oversee the affairs of the kingdom, from the river Euphrates even to the river of Egypt:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 33] And to bring up his son Antiochus, till he came again.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 34] And he delivered to him half the army, and the elephants: and he gave him charge concerning all that he would have done, and concerning the inhabitants of Judea, and Jerusalem:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 35] And that he should send an army against them, to destroy and root out the strength of Israel, and the remnant of Jerusalem, and to take away the memory of them from that place:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 36] And that he should settle strangers to dwell in all their coasts, and divide their land by lot.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 37] So the king took the half of the army that remained, and went forth from Antioch the chief city of his kingdom, in the hundred and forty-seventh year: and he passed over the river Euphrates, and went through the higher countries.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 38] Then Lysias chose Ptolemee the son of Dorymenus, and Nicanor, and Gorgias, mighty men of the king’s friends.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 39] And he sent with them forty thousand men, and seven thousand horsemen: to go into the land of Juda, and to destroy it according to the king’s orders.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 40] So they went forth with all their power, and came, and pitched near Emmaus in the plain country.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 41] And the merchants of the countries heard the fame of them: and they took silver and gold in abundance, and servants: and they came into the camp, to buy the children of Israel for slaves: and there were joined to them the forces of Syria, and of the land of the strangers.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 42] And Judas and his brethren saw that evils were multiplied, and that the armies approached to their borders: and they knew the orders the king had given to destroy the people and utterly abolish them.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 43] And they said every man to his neighbour: Let us raise up the low condition of our people, and let us fight for our people, and our sanctuary.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 44] And the assembly was gathered that they might be ready for battle: and that they might pray, and ask mercy and compassion.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 45] Now Jerusalem was not inhabited, but was like a desert: there was none of her children that went in or out: and the sanctuary was trodden down: and the children of strangers were in the castle, there was the habitation of the Gentiles: and joy was taken away from Jacob, and the pipe and harp ceased there.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 46] And they assembled together, and came to Maspha over against Jerusalem: for in Maspha was a place of prayer heretofore in Israel.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 47] And they fasted that day, and put on haircloth, and put ashes upon their heads: and they rent their garments:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 48] And they laid open the books of the law, in which the Gentiles searched for the likeness of their idols:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 49] And they brought the priestly ornaments, and the firstfruits and tithes, and stirred up the Nazarites that had fulfilled their days:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 50] And they cried with a loud voice toward heaven, saying: What shall we do with these, and whither shall we carry them?
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 51] For thy holies are trodden down, and are profaned, and thy priests are in mourning, and are brought low.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 52] And behold the nations are come together against us to destroy us: thou knowest what they intend against us.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 53] How shall we be able to stand before their face, unless thou, O God, help us?
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 54] Then they sounded with trumpets, and cried out with a loud voice.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 55] And after this Judas appointed captains over the people, over thousands, and over hundreds, and over fifties, and over tens.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 56] And he said to them that were building houses, or had betrothed wives, or were planting vineyards, or were fearful, that they should return every man to his house, according to the law.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 57] So they removed the camp, and pitched on the south side of Emmaus.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 58] And Judas said: Gird yourselves, and be valiant men, and be ready against the morning, that you may fight with these nations that are assembled against us to destroy us and our sanctuary.
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 59] For it is better for us to die in battle, than to see the evils of our nation, and of the holies:
[DRA | EN | OT | 1 Maccabees | Chapter 3 | Verse 60] Nevertheless as it shall be the will of God in heaven so be it done.
