[KJV | EN | NT | Luke | Chapter 23 | Verse 1] And the whole multitude of them arose, and led him unto Pilate.
[KJV | EN | NT | Luke | Chapter 23 | Verse 17] (For of necessity he must release one unto them at the feast.)
[KJV | EN | NT | Luke | Chapter 23 | Verse 18] And they cried out all at once, saying, Away with this man, and release unto us Barabbas:
[KJV | EN | NT | Luke | Chapter 23 | Verse 19] (who for a certain sedition made in the city, and for murder, was cast into prison.)
[KJV | EN | NT | Luke | Chapter 23 | Verse 20] Pilate therefore, willing to release Jesus, spake again to them.
[KJV | EN | NT | Luke | Chapter 23 | Verse 21] But they cried, saying, Crucify him, crucify him.
[KJV | EN | NT | Luke | Chapter 23 | Verse 22] And he said unto them the third time, Why, what evil hath he done? I have found no cause of death in him: I will therefore chastise him, and let him go.
[KJV | EN | NT | Luke | Chapter 23 | Verse 23] And they were instant with loud voices, requiring that he might be crucified. And the voices of them and of the chief priests prevailed.
[KJV | EN | NT | Luke | Chapter 23 | Verse 24] And Pilate gave sentence that it should be as they required.
[KJV | EN | NT | Luke | Chapter 23 | Verse 25] And he released unto them him that for sedition and murder was cast into prison, whom they had desired; but he delivered Jesus to their will.
[KJV | EN | NT | Luke | Chapter 23 | Verse 26] And as they led him away, they laid hold upon one Simon, a Cyrenian, coming out of the country, and on him they laid the cross, that he might bear it after Jesus.
[KJV | EN | NT | Luke | Chapter 23 | Verse 27] And there followed him a great company of people, and of women, which also bewailed and lamented him.
[KJV | EN | NT | Luke | Chapter 23 | Verse 28] But Jesus turning unto them, said, Daughters of Jerusalem, weep not for me, but weep for yourselves, and for your children.
[KJV | EN | NT | Luke | Chapter 23 | Verse 29] For behold, the days are coming, in the which they shall say, Blessed are the barren, and the wombs that never bare, and the paps which never gave suck.
[KJV | EN | NT | Luke | Chapter 23 | Verse 30] Then shall they begin to say to the mountains, Fall on us; and to the hills, Cover us.
[KJV | EN | NT | Luke | Chapter 23 | Verse 31] For if they do these things in a green tree, what shall be done in the dry?
[KJV | EN | NT | Luke | Chapter 23 | Verse 32] And there were also two other, malefactors, led with him to be put to death.
[KJV | EN | NT | Luke | Chapter 23 | Verse 33] And when they were come to the place, which is called Calvary, there they crucified him, and the malefactors, one on the right hand, and the other on the left.
[KJV | EN | NT | Luke | Chapter 23 | Verse 34] Then said Jesus, Father, forgive them; for they know not what they do. And they parted his raiment, and cast lots.
[KJV | EN | NT | Luke | Chapter 23 | Verse 35] And the people stood beholding. And the rulers also with them derided him, saying, He saved others; let him save himself, if he be Christ, the chosen of God.
[KJV | EN | NT | Luke | Chapter 23 | Verse 36] And the soldiers also mocked him, coming to him, and offering him vinegar,
[KJV | EN | NT | Luke | Chapter 23 | Verse 37] and saying, If thou be the King of the Jews, save thyself.
[KJV | EN | NT | Luke | Chapter 23 | Verse 38] And a superscription also was written over him in letters of Greek, and Latin, and Hebrew, THIS IS THE KING OF THE JEWS.
[KJV | EN | NT | Luke | Chapter 23 | Verse 39] And one of the malefactors which were hanged railed on him, saying, If thou be Christ, save thyself and us.
[KJV | EN | NT | Luke | Chapter 23 | Verse 40] But the other answering rebuked him, saying, Dost not thou fear God, seeing thou art in the same condemnation?
[KJV | EN | NT | Luke | Chapter 23 | Verse 41] And we indeed justly; for we receive the due reward of our deeds: but this man hath done nothing amiss.
[KJV | EN | NT | Luke | Chapter 23 | Verse 42] And he said unto Jesus, Lord, remember me when thou comest into thy kingdom.
[KJV | EN | NT | Luke | Chapter 23 | Verse 43] And Jesus said unto him, Verily I say unto thee, To day shalt thou be with me in paradise.
[KJV | EN | NT | Luke | Chapter 23 | Verse 44] And it was about the sixth hour, and there was a darkness over all the earth until the ninth hour.
[KJV | EN | NT | Luke | Chapter 23 | Verse 45] And the sun was darkened, and the vail of the temple was rent in the midst.
[KJV | EN | NT | Luke | Chapter 23 | Verse 46] And when Jesus had cried with a loud voice, he said, Father, into thy hands I commend my spirit: and having said thus, he gave up the ghost.
[KJV | EN | NT | Luke | Chapter 23 | Verse 47] Now when the centurion saw what was done, he glorified God, saying, Certainly this was a righteous man.
[KJV | EN | NT | Luke | Chapter 23 | Verse 48] And all the people that came together to that sight, beholding the things which were done, smote their breasts, and returned.
[KJV | EN | NT | Luke | Chapter 23 | Verse 49] And all his acquaintance, and the women that followed him from Galilee, stood afar off, beholding these things.
[KJV | EN | NT | Luke | Chapter 23 | Verse 50] And behold, there was a man named Joseph, a counseller; and he was a good man, and a just:
[KJV | EN | NT | Luke | Chapter 23 | Verse 51] (the same had not consented to the counsel and deed of them;) he was of Arimathea, a city of the Jews: who also himself waited for the kingdom of God.
[KJV | EN | NT | Luke | Chapter 23 | Verse 52] This man went unto Pilate, and begged the body of Jesus.
[KJV | EN | NT | Luke | Chapter 23 | Verse 53] And he took it down, and wrapped it in linen, and laid it in a sepulchre that was hewn in stone, wherein never man before was laid.
[KJV | EN | NT | Luke | Chapter 23 | Verse 54] And that day was the preparation, and the sabbath drew on.
[KJV | EN | NT | Luke | Chapter 23 | Verse 55] And the women also, which came with him from Galilee, followed after, and beheld the sepulchre, and how his body was laid.
[KJV | EN | NT | Luke | Chapter 23 | Verse 56] And they returned, and prepared spices and ointments; and rested the sabbath day according to the commandment.
