[KJV | EN | NT | Luke | Chapter 1 | Verse 1] Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,
[KJV | EN | NT | Luke | Chapter 1 | Verse 45] And blessed is she that believed: for there shall be a performance of those things which were told her from the Lord.
[KJV | EN | NT | Luke | Chapter 1 | Verse 46] And Mary said, My soul doth magnify the Lord,
[KJV | EN | NT | Luke | Chapter 1 | Verse 47] And my spirit hath rejoiced in God my Saviour.
[KJV | EN | NT | Luke | Chapter 1 | Verse 48] For he hath regarded the low estate of his handmaiden: For behold, from henceforth all generations shall call me blessed.
[KJV | EN | NT | Luke | Chapter 1 | Verse 49] For he that is mighty hath done to me great things; And holy is his name.
[KJV | EN | NT | Luke | Chapter 1 | Verse 50] And his mercy is on them that fear him From generation to generation.
[KJV | EN | NT | Luke | Chapter 1 | Verse 51] He hath shewed strength with his arm; He hath scattered the proud in the imagination of their hearts.
[KJV | EN | NT | Luke | Chapter 1 | Verse 52] He hath put down the mighty from their seats, And exalted them of low degree.
[KJV | EN | NT | Luke | Chapter 1 | Verse 53] He hath filled the hungry with good things; And the rich he hath sent empty away.
[KJV | EN | NT | Luke | Chapter 1 | Verse 54] He hath holpen his servant Israel, In remembrance of his mercy,
[KJV | EN | NT | Luke | Chapter 1 | Verse 55] (As he spake to our fathers), To Abraham, and to his seed for ever.
[KJV | EN | NT | Luke | Chapter 1 | Verse 56] And Mary abode with her about three months, and returned to her own house.
[KJV | EN | NT | Luke | Chapter 1 | Verse 57] Now Elisabeth’s full time came that she should be delivered; and she brought forth a son.
[KJV | EN | NT | Luke | Chapter 1 | Verse 58] And her neighbours and her cousins heard how the Lord had shewed great mercy upon her; and they rejoiced with her.
[KJV | EN | NT | Luke | Chapter 1 | Verse 59] And it came to pass, that on the eighth day they came to circumcise the child; and they called him Zacharias, after the name of his father.
[KJV | EN | NT | Luke | Chapter 1 | Verse 60] And his mother answered and said, Not so; but he shall be called John.
[KJV | EN | NT | Luke | Chapter 1 | Verse 61] And they said unto her, There is none of thy kindred that is called by this name.
[KJV | EN | NT | Luke | Chapter 1 | Verse 62] And they made signs to his father, how he would have him called.
[KJV | EN | NT | Luke | Chapter 1 | Verse 63] And he asked for a writing table, and wrote, saying, His name is John. And they marvelled all.
[KJV | EN | NT | Luke | Chapter 1 | Verse 64] And his mouth was opened immediately, and his tongue loosed, and he spake, and praised God.
[KJV | EN | NT | Luke | Chapter 1 | Verse 65] And fear came on all that dwelt round about them: and all these sayings were noised abroad throughout all the hill country of Judea.
[KJV | EN | NT | Luke | Chapter 1 | Verse 66] And all they that heard them laid them up in their hearts, saying, What manner of child shall this be! And the hand of the Lord was with him.
[KJV | EN | NT | Luke | Chapter 1 | Verse 67] And his father Zacharias was filled with the Holy Ghost, and prophesied, saying,
[KJV | EN | NT | Luke | Chapter 1 | Verse 68] Blessed be the Lord God of Israel; For he hath visited and redeemed his people,
[KJV | EN | NT | Luke | Chapter 1 | Verse 69] And hath raised up a horn of salvation for us In the house of his servant David;
[KJV | EN | NT | Luke | Chapter 1 | Verse 70] (As he spake by the mouth of his holy prophets, Which have been since the world began:)
[KJV | EN | NT | Luke | Chapter 1 | Verse 71] That we should be saved from our enemies, And from the hand of all that hate us;
[KJV | EN | NT | Luke | Chapter 1 | Verse 72] To perform the mercy promised to our fathers, And to remember his holy covenant;
[KJV | EN | NT | Luke | Chapter 1 | Verse 73] The oath which he sware to our father Abraham,
[KJV | EN | NT | Luke | Chapter 1 | Verse 74] That he would grant unto us, that we being delivered out of the hand of our enemies Might serve him without fear,
[KJV | EN | NT | Luke | Chapter 1 | Verse 75] In holiness and righteousness before him, All the days of our life.
[KJV | EN | NT | Luke | Chapter 1 | Verse 76] And thou, child, shalt be called the prophet of the Highest: For thou shalt go before the face of the Lord To prepare his ways;
[KJV | EN | NT | Luke | Chapter 1 | Verse 77] To give knowledge of salvation unto his people By the remission of their sins,
[KJV | EN | NT | Luke | Chapter 1 | Verse 78] Through the tender mercy of our God; Whereby the dayspring from on high hath visited us,
[KJV | EN | NT | Luke | Chapter 1 | Verse 79] To give light to them that sit in darkness and in the shadow of death, To guide our feet into the way of peace.
[KJV | EN | NT | Luke | Chapter 1 | Verse 80] And the child grew, and waxed strong in spirit, and was in the deserts till the day of his shewing unto Israel.
