[IRV | GU | OT | Psalms | Chapter 37 | Verse 1] દુષ્ટતા આચરનારાઓને લીધે તું ખીજવાઈશ નહિ; અન્યાય કરનારાઓની ઈર્ષ્યા કરીશ નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 25] હું જુવાન હતો અને હવે હું વૃદ્ધ થયો છું; પણ ન્યાયીને તજેલો કે તેનાં સંતાનને ભીખ માગતાં મેં કદી જોયાં નથી.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 26] આખો દિવસ તે કરુણાથી વર્તે છે અને ઉછીનું આપે છે અને તેનાં સંતાન આશીર્વાદ પામેલા હોય છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 27] બુરાઈથી દૂર થા અને ભલું કર; અને સદાકાળ દેશમાં રહે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 28] કારણ કે યહોવાહ ન્યાયને ચાહે છે અને તે પોતાના વિશ્વાસુ ભક્તોને છોડી દેતા નથી. તે સદા તેઓનું રક્ષણ કરે છે, પણ દુષ્ટોનાં સંતાનનો વિનાશ કરશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 29] ન્યાયીઓ વતનનો વારસો પામશે અને તેમાં તેઓ સદાકાળ રહેશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 30] ન્યાયી પોતાને મુખે ડહાપણ ભરેલી વાત કરે છે અને તેની જીભે તે સદા ન્યાયની બાબત બોલે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 31] તેના પોતાના હૃદયમાં ઈશ્વરનો નિયમ છે; તેના પગ લપસી જશે નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 32] દુષ્ટો સદા ન્યાયી માણસો પર નજર રાખે છે અને તેઓને મારી નાખવાના લાગ શોધતા ફરે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 33] યહોવાહ ન્યાયીઓને દુષ્ટ માણસોના હાથમાં પડવા દેશે નહિ જ્યારે તેનો ન્યાય થશે, ત્યારે તે તેને દોષિત ઠરાવશે નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 34] યહોવાહની રાહ જુઓ અને તેના માર્ગને અનુસરો અને દેશનો વારસો પામવાને તે તને મોટો કરશે. જ્યારે દુષ્ટ લોકોનો નાશ થતો હશે, ત્યારે તું તે જોશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 35] અનુકૂળ ભૂમિમાં રોપેલા લીલા વૃક્ષની જેમ મેં દુષ્ટને મોટા સામર્થ્યમાં ફેલાતો જોયો.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 36] પણ જ્યારે હું ફરીથી ત્યાં થઈને પસાર થયો, ત્યારે તે ત્યાં નહોતો. મેં તેને શોધ્યો, પણ તેનો પત્તો લાગ્યો નહિ.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 37] નિર્દોષ માણસનો વિચાર કર અને જે પ્રામાણિક છે તેને જો; શાંતિપ્રિય માણસને બદલો મળશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 38] દુષ્ટો સમૂળગા વિનાશ પામશે; અંતે તેઓના વંશજોનો અંત આવશે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 39] યહોવાહ ન્યાયીઓનો ઉદ્ધાર કરે છે; સંકટ સમયે તે તેઓનું રક્ષણ કરે છે.
[IRV | GU | OT | Psalms | Chapter 37 | Verse 40] યહોવાહ તેઓને મદદ કરે છે અને તેમને છોડાવે છે. તે તેઓને દુષ્ટોથી છોડાવીને બચાવે છે કેમ કે તેઓએ તેમનો આશરો લીધો છે.
