[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 1] Now, brothers, I want to remind you of the gospel I preached to you, which you received, and in which you stand firm.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 35] But someone will ask, “How are the dead raised? With what kind of body will they come?”
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 36] You fool! What you sow does not come to life unless it dies.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 37] And what you sow is not the body that will be, but just a seed, perhaps of wheat or something else.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 38] But God gives it a body as He has designed, and to each kind of seed He gives its own body.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 39] Not all flesh is the same: Men have one kind of flesh, animals have another, birds another, and fish another.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 40] There are also heavenly bodies and earthly bodies. But the splendor of the heavenly bodies is of one degree, and the splendor of the earthly bodies is of another.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 41] The sun has one degree of splendor, the moon another, and the stars another; and star differs from star in splendor.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 42] So will it be with the resurrection of the dead: What is sown is perishable; it is raised imperishable.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 43] It is sown in dishonor; it is raised in glory. It is sown in weakness; it is raised in power.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 44] It is sown a natural body; it is raised a spiritual body. If there is a natural body, there is also a spiritual body.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 45] So it is written: “The first man Adam became a living being;” the last Adam a life-giving spirit.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 46] The spiritual, however, was not first, but the natural, and then the spiritual.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 47] The first man was of the dust of the earth, the second man from heaven.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 48] As was the earthly man, so also are those who are of the earth; and as is the heavenly man, so also are those who are of heaven.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 49] And just as we have borne the likeness of the earthly man, so also shall we bear the likeness of the heavenly man.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 50] Now I declare to you, brothers, that flesh and blood cannot inherit the kingdom of God, nor does the perishable inherit the imperishable.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 51] Listen, I tell you a mystery: We will not all sleep, but we will all be changed—
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 52] in an instant, in the twinkling of an eye, at the last trumpet. For the trumpet will sound, the dead will be raised imperishable, and we will be changed.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 53] For the perishable must be clothed with the imperishable, and the mortal with immortality.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 54] When the perishable has been clothed with the imperishable and the mortal with immortality, then the saying that is written will come to pass: “Death has been swallowed up in victory.”
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 55] “Where, O Death, is your victory? Where, O Death, is your sting?”
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 56] The sting of death is sin, and the power of sin is the law.
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 57] But thanks be to God, who gives us the victory through our Lord Jesus Christ!
[BSB | EN | NT | 1 Corinthians | Chapter 15 | Verse 58] Therefore, my beloved brothers, be steadfast and immovable. Always excel in the work of the Lord, because you know that your labor in the Lord is not in vain.
