[BSB | EN | OT | Leviticus | Chapter 11 | Verse 1] The LORD spoke again to Moses and Aaron, telling them,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 21] However, you may eat the following kinds of flying insects that walk on all fours: those having jointed legs above their feet for hopping on the ground.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 22] Of these you may eat any kind of locust, katydid, cricket, or grasshopper.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 23] All other flying insects that have four legs are detestable to you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 24] These creatures will make you unclean. Whoever touches their carcasses will be unclean until evening,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 25] and whoever picks up one of their carcasses must wash his clothes, and he will be unclean until evening.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 26] Every animal with hooves not completely divided or that does not chew the cud is unclean for you. Whoever touches any of them will be unclean.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 27] All the four-footed animals that walk on their paws are unclean for you; whoever touches their carcasses will be unclean until evening,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 28] and anyone who picks up a carcass must wash his clothes, and he will be unclean until evening. They are unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 29] The following creatures that move along the ground are unclean for you: the mole, the mouse, any kind of great lizard,
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 30] the gecko, the monitor lizard, the common lizard, the skink, and the chameleon.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 31] These animals are unclean for you among all the crawling creatures. Whoever touches them when they are dead shall be unclean until evening.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 32] When one of them dies and falls on something, that article becomes unclean; any article of wood, clothing, leather, sackcloth, or any implement used for work must be rinsed with water and will remain unclean until evening; then it will be clean.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 33] If any of them falls into a clay pot, everything in it will be unclean; you must break the pot.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 34] Any food coming into contact with water from that pot will be unclean, and any drink in such a container will be unclean.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 35] Anything upon which one of their carcasses falls will be unclean. If it is an oven or cooking pot, it must be smashed; it is unclean and will remain unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 36] Nevertheless, a spring or cistern containing water will remain clean, but one who touches a carcass in it will be unclean.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 37] If a carcass falls on any seed for sowing, the seed is clean;
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 38] but if water has been put on the seed and a carcass falls on it, it is unclean for you.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 39] If an animal that you may eat dies, anyone who touches the carcass will be unclean until evening.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 40] Whoever eats from the carcass must wash his clothes and will be unclean until evening, and anyone who picks up the carcass must wash his clothes and will be unclean until evening.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 41] Every creature that moves along the ground is detestable; it must not be eaten.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 42] Do not eat any creature that moves along the ground, whether it crawls on its belly or walks on four or more feet; for such creatures are detestable.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 43] Do not defile yourselves by any crawling creature; do not become unclean or defiled by them.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 44] For I am the LORD your God; consecrate yourselves, therefore, and be holy, because I am holy. You must not defile yourselves by any creature that crawls along the ground.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 45] For I am the LORD, who brought you up out of the land of Egypt so that I would be your God; therefore be holy, because I am holy.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 46] This is the law regarding animals, birds, all living creatures that move in the water, and all creatures that crawl along the ground.
[BSB | EN | OT | Leviticus | Chapter 11 | Verse 47] You must distinguish between the unclean and the clean, between animals that may be eaten and those that may not.’”
