[IRV | GU | OT | Genesis | Chapter 4 | Verse 1] આદમે પોતાની પત્ની હવાને જાણી અને તે ગર્ભવતી થઈ અને તેણે પુત્ર કાઈનને જન્મ આપ્યો. તેણે કહ્યું, “ઈશ્વરની કૃપાથી મને દીકરો જન્મ્યો છે.”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 13] કાઈને ઈશ્વરને કહ્યું કે, “હું સહન કરું તે કરતાં તમે મને વધારે સજા કરી છે.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 14] તમે મને આજે અહીંથી હાંકી કાઢ્યો છે અને હવે તમારી આગળથી મારે સંતાવાનું, પૃથ્વી પર ભટકવાનું તથા નાસતા ફરવાનું થશે. હવે જે કોઈ મને જોશે તે મને મારી નાખશે.”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 15] ઈશ્વરે તેને કહ્યું કે, “જે કોઈ તને મારી નાખશે, તેને સાત ગણી સજા થશે.” પછી ઈશ્વરે કાઈનને ઓળખવા સારુ તેના શરીર પર ચિહ્ન મૂક્યું કે જે કોઈ તેને જુએ, તે તેને મારી નાખે નહિ.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 16] કાઈન ઈશ્વરની સમક્ષતામાંથી ચાલ્યો ગયો. અને જઈને એદનની પૂર્વના નોદ દેશમાં રહ્યો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 17] કાઈને તેની પત્ની સાથે વૈવાહિક સંબંધ બાંધ્યો અને તે ગર્ભવતી થઈ. તેણે હનોખને જન્મ આપ્યો. કાઈને એક નગર બાંધ્યું અને તેનું નામ પોતાના દીકરાના નામ પરથી હનોખ નગર રાખ્યું.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 18] હનોખથી ઇરાદ જન્મ્યો. ઇરાદ મહૂયાએલનો પિતા હતો. મહૂયાએલ મથૂશાએલનો પિતા હતો. મથૂશાએલ લામેખનો પિતા હતો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 19] લામેખે બે સ્ત્રીઓ સાથે લગ્ન કર્યાં: એકનું નામ આદા અને બીજીનું નામ સિલ્લાહ હતું.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 20] આદાએ યાબાલને જન્મ આપ્યો. તે તંબુઓમાં રહેનારાઓનો તથા ગોવાળિયાનો આદિપિતા હતો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 21] તેના ભાઈનું નામ યૂબાલ હતું. તે તાર તથા પવનથી વાગતાં વાંજિત્રો વગાડનારાઓનો આદિપિતા હતો.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 22] સિલ્લાહએ પણ તૂબાલ-કાઈનને જન્મ આપ્યો. જે સર્વ તાંબાના તથા લોખંડનાં હથિયાર બનાવનાર હતો. તૂબાલ-કાઈનની બહેન નાઅમાહ હતી.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 23] લામેખે પોતાની પત્નીઓને કહ્યું કે, “આદા તથા સિલ્લાહ, હું જે કહું તે સાંભળો, હે લામેખની પત્નીઓ માંરે જે કહેવું પડે છે તે કાળજીપૂર્વક સાંભળો. મને ઘાયલ કરનાર એક માણસને, મેં મારી નાખ્યો છે, મને જખમી કરનાર એક જુવાનને મેં મારી નાખ્યો છે.
[IRV | GU | OT | Genesis | Chapter 4 | Verse 24] જો કાઈનને મારવાનો બદલો સાત ગણો લેવાય, તો લામેખનો સિત્તોતેર ગણો લેવાશે.”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 25] પછી આદમથી સગર્ભા થયેલી તેની પત્ની હવાએ બીજા એક દીકરાને જન્મ આપ્યો. તેનું નામ શેથ રાખવામાં આવ્યું. ત્યારે હવાના ઉદ્દગાર આ હતા: “કાઈને હાબેલને મારી નાખ્યો હતો. એ હાબેલના બદલામાં ઈશ્વરે મને બીજો દીકરો આપ્યો છે.”
[IRV | GU | OT | Genesis | Chapter 4 | Verse 26] શેથની પત્નીએ પણ દીકરાને જન્મ આપ્યો. તેણે તેનું નામ અનોશ રાખ્યું. અનોશના જન્મ પછી લોકોમાં ઈશ્વરની ઉપાસના કરવાની શરૂઆત થઈ.
