[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 1] পরে যখন সদাপ্রভু ঘুর্ণিঝড়ে এলিয়কে স্বর্গে তুলে নিতে চাইলেন তখন এলিয় ও ইলীশায় গিল্‌গল থেকে বের হলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 12] আর ইলীশায় তা দেখে চিৎকার করে বললেন, “হে আমার পিতা, হে আমার পিতা, হে ইস্রায়েলের সমস্ত রথ ও তার ঘোড়াচালকরা।” পরে তিনি আর তাঁকে দেখতে পেলেন না; তখন তিনি নিজের কাপড় ধরে ছিঁড়ে দুভাগ করলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 13] আর তিনি এলিয়ের গা থেকে পড়ে যাওয়া চাদরখানা তুলে নিলেন এবং ফিরে যর্দ্দনের ধারে গিয়ে দাঁড়ালেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 14] পরে সেই চাদরখানা দিয়ে তিনি জলে আঘাত করে বললেন, “এলিয়ের ঈশ্বর সদাপ্রভু কোথায়?” আর তিনিও জলে আঘাত করলে জল দুদিকে ভাগ হয়ে গেল এবং ইলীশায় পার হয়ে গেলেন।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 15] তখন যিরীহোর যে ভাববাদীদের সন্তানেরা সেখানে দাঁড়িয়ে ছিল তারা বলল, “এলিয়ের আত্মা ইলীশায়ের উপর এসেছে।” পরে তারা তাঁর সঙ্গে দেখা করে তাঁর সামনে মাটিতে প্রণাম করল।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 16] আর তাঁকে বলল, “দেখুন, এখানে আপনার পঞ্চাশজন শক্তিশালী দাস আছে; অনুরোধ করি, তারা আপনার প্রভুকে খুঁজতে যাক; কি জানি, সদাপ্রভুর আত্মা তাঁকে তুলে নিয়ে গিয়ে কোন পর্বতে কিংবা কোন উপত্যকায় ফেলে গেছেন।” তিনি বললেন, “পাঠিও না।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 17] তবুও তারা তাঁকে পীড়াপীড়ি করলে তিনি লজ্জায় পড়ে বললেন, “পাঠাও।” অতএব তারা পঞ্চাশজন লোক পাঠালো; তারা তিন দিন ধরে খোঁজ করেও তাঁকে পেল না।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 18] পরে তারা ইলীশায়ের কাছে ফিরে এলো; ইলীশায় তখন যিরীহোতে ছিলেন। তিনি বললেন, “আমি তোমাদেরকে বলেছিলাম যে যেতে হবে না।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 19] পরে নগরের লোকেরা ইলীশায়কে বলল, “অনুরোধ করি, দেখুন, এই নগরের জায়গাটা চমৎকার ঠিকই, এটা তো প্রভু দেখছেন; কিন্তু এর জল ভাল নয় আর জমি ফলবান না।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 20] তিনি বললেন, “আমার কাছে একটা নতুন ভাঁড় এনে তাতে লবণ রাখ।” পরে তাঁর কাছে তা আনল।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 21] তিনি বাইরে বেরিয়ে জলের উনুইর কাছে গিয়ে তার মধ্যে লবণ ফেলে দিয়ে বললেন, “সদাপ্রভু বলেন, ‘আমি এই জল ভাল করে দিলাম, আজ থেকে এটা আর মৃত্যু ঘটাবে না এবং ফলও নষ্ট হবে না’।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 22] ইলীশায়ের সেই কথামত আজ পর্যন্ত সেই জল ভালই আছে।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 23] পরে তিনি সেখান থেকে বৈথেলে গেলেন; আর তিনি পথে যাওয়ার দিন নগর থেকে অনেকগুলো ছেলে এসে তাঁকে ঠাট্টা করে বলতে লাগল, “ও টাকপড়া, উঠে আয়; ও টাকপড়া, উঠে আয়।”
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 24] তখন তিনি পিছনের দিকে মুখ ফিরিয়ে তাদেরকে দেখলেন এবং সদাপ্রভুর নামে তাদেরকে অভিশাপ দিলেন; আর বন থেকে দুটি ভাল্লূকী বেরিয়ে এসে তাদের মধ্য থেকে বিয়াল্লিশজন বালককে আহত করলো।
[IRV | BN | OT | 2 Kings | Chapter 2 | Verse 25] এরপর তিনি সেখান থেকে কর্মিল পর্বতে গেলেন এবং সেখান থেকে শমরিয়াতে ফিরে আসলেন।
