[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 1] Then on a day Ionathan the sonne of Saul sayde vnto the yong man that bare his armour, Come and let vs goe ouer towarde the Philistims garison, that is yonder on the other side, but he tolde not his father.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 30] Howe much more, if the people had eaten to day of the spoyle of their enemies which they found? for had there not bene nowe a greater slaughter among the Philistims?
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 31] And they smote the Philistims that day, from Michmash to Aiialon: and the people were exceeding faint.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 32] So the people turned to the spoile, and tooke sheepe, and oxen, and calues, and slewe them on the ground, and the people did eate them with the blood.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 33] Then men tolde Saul, saying, Beholde, the people sinne against the Lord, in that they eate with the blood. And he saide, Ye haue trespassed: roule a great stone vnto me this day.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 34] Againe Saul said, Goe abroade among the people, and bid them bring me euery man his oxe, and euery man his sheepe, and slay them here, and eate and sinne not against the Lord in eating with the blood. And ye people brought euery man his oxe in his hand that night, and slew them there.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 35] Then Saul made an altar vnto the Lord, and that was the first altar that he made vnto the Lord.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 36] And Saul saide, Let vs goe downe after the Philistims by night, and spoyle them vntill the morning shine, and let vs not leaue a man of them. And they saide, Doe whatsoeuer thou thinkest best. Then saide the Priest, Let vs drawe neere hither vnto God.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 37] So Saul asked of God, saying, Shall I goe downe after ye Philistims? wilt thou deliuer them into the hands of Israel? But he answered him not at that time.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 38] And Saul said, All ye chiefe of the people, come ye hither, and knowe, and see by whom this sinne is done this day.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 39] For as the Lord liueth, which saueth Israel, though it be done by Ionathan my sonne, he shall dye the death. But none of all the people answered him.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 40] Then he saide vnto all Israel, Be ye on one side, and I and Ionathan my sonne will be on the other side. And the people saide vnto Saul, Doe what thou thinkest best.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 41] Then Saul said vnto the Lord God of Israel, Giue a perfite lot. And Ionathan and Saul were taken, but the people escaped.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 42] And Saul saide, Cast lot betweene me and Ionathan my sonne. And Ionathan was taken.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 43] Then Saul said to Ionathan, Tell me what thou hast done. And Ionathan tolde him, and said, I tasted a litle hony with the ende of the rod, that was in mine hand, and loe, I must die.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 44] Againe Saul answered, God doe so and more also, vnlesse thou die the death, Ionathan.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 45] And the people said vnto Saul, Shall Ionathan die, who hath so mightily deliuered Israel? God forbid. As the Lord liueth, there shall not one heare of his head fall to the ground: for he hath wrought with God this day. So the people deliuered Ionathan that he dyed not.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 46] Then Saul came vp from the Philistims: and the Philistims went to their owne place.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 47] So Saul helde the kingdome ouer Israel, and fought against all his enemies on euery side, against Moab, and against the children of Ammon, and against Edom, and against the Kings of Zobah, and against the Philistims: and whithersoeuer he went, he handled them as wicked men.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 48] He gathered also an hoste and smote Amalek, and deliuered Israel out of the handes of them that spoyled them.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 49] Nowe the sonnes of Saul were Ionathan, and Ishui, and Malchishua: and the names of his two daughters, the elder was called Merab, and the yonger was named Michal.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 50] And the name of Sauls wife was Ahinoam the daughter of Ahimaaz: and the name of his chiefe captaine was Abner the sonne of Ner, Sauls vncle.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 51] And Kish was Sauls father: and Ner the father of Abner was the sonne of Abiel.
[GNV | EN | OT | 1 Samuel | Chapter 14 | Verse 52] And there was sore warre against the Philistims all the dayes of Saul: and whomsoeuer Saul sawe to be a strong man, and meete for the warre, he tooke him vnto him.
