[DRA | EN | OT | Daniel | Chapter 11 | Verse 1] And from the first year of Darius the Mede I stood up that he might be strengthened and confirmed.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 19] And he shall turn his face to the empire of his own land, and he shall stumble, and fall, and shall not be found.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 20] And there shall stand up in his place, one most vile, and unworthy of kingly honour: and in a few days he shall be destroyed, not in rage nor in battle.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 21] And there shall stand up in his place one despised, and the kingly honour shall not be given him: and he shall come privately, and shall obtain the kingdom by fraud.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 22] And the arms of the fighter shall be overcome before his face, and shall be broken; yea also the prince of the covenant.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 23] And after friendships, he will deal deceitfully with him: and he shall go up, and shall overcome with a small people.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 24] And he shall enter into rich and plentiful cities: and he shall do that which his fathers never did, nor his fathers’ fathers: he shall scatter their spoils, and their prey, and their riches, and shall forecast devices against the best fenced places: and this until a time.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 25] And his strength and his heart shall be stirred up against the king of the south with a great army: and the king of the south shall be stirred up to battle with many and very strong succours: and they shall not stand, for they shall form designs against him.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 26] And they that eat bread with him, shall destroy him, and his army shall be overthrown: and many shall fall down slain.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 27] And the heart of the two kings shall be to do evil, and they shall speak lies at one table, and they shall not prosper: because as yet the end is unto another time.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 28] And he shall return into his land with much riches: and his heart shall be against the holy covenant, and he shall succeed and shall return into his own land.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 29] At the time appointed he shall return, and he shall come to the south, but the latter time shall not be like the former.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 30] And the galleys and the Romans shall come upon him, and he shall be struck, and shall return, and shall have indignation against the covenant of the sanctuary, and he shall succeed: and he shall return and shall devise against them that have forsaken the covenant of the sanctuary.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 31] And arms shall stand on his part, and they shall defile the sanctuary of strength, and shall take away the continual sacrifice, and they shall place there the abomination unto desolation.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 32] And such as deal wickedly against the covenant shall deceitfully dissemble: but the people that know their God shall prevail and succeed.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 33] And they that are learned among the people shall teach many: and they shall fall by the sword, and by fire, and by captivity, and by spoil for many days.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 34] And when they shall have fallen they shall be relieved with a small help: and many shall be joined to them deceitfully.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 35] And some of the learned shall fall, that they may be tried, and may be chosen, and made white even to the appointed time, because yet there shall be another time.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 36] And the king shall do according to his will, and he shall be lifted up, and shall magnify himself against every god: and he shall speak great things against the God of gods, and shall prosper, till the wrath be accomplished. For the determination is made.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 37] And he shall make no account of the God of his fathers: and he shall follow the lust of women, and he shall not regard any gods: for he shall rise up against all things.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 38] But he shall worship the god Maozim in his place: and a god whom his fathers knew not, he shall worship with gold, and silver, and precious stones, and things of great price.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 39] And he shall do this to fortify Maozim with a strange god, whom he hath acknowledged, and he shall increase glory and shall give them power over many, and shall divide the land gratis.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 40] And at the time prefixed the king of the south shall fight against him, and the king of the north shall come against him like a tempest, with chariots, and with horsemen, and with a great navy, and he shall enter into the countries, and shall destroy, and pass through.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 41] And he shall enter into the glorious land, and many shall fall: and these only shall be saved out of his hand, Edom, and Moab, and the principality of the children of Ammon.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 42] And he shall lay his hand upon the lands: and the land of Egypt shall not escape.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 43] And he shall have power over the treasures of gold, and of silver, and all the precious things of Egypt: and he shall pass through Libya, and Ethiopia.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 44] And tidings out of the east, and out of the north shall trouble him: and he shall come with a great multitude to destroy and slay many.
[DRA | EN | OT | Daniel | Chapter 11 | Verse 45] And he shall fix his tabernacle Apadno between the seas, upon a glorious and holy mountain: and he shall come even to the top thereof, and none shall help him.
