[ASV | EN | NT | Luke | Chapter 10 | Verse 1] Now after these things the Lord appointed seventy others also, and sent them two and two before his face into every city and place, whither he himself was about to come.
[ASV | EN | NT | Luke | Chapter 10 | Verse 23] And turning to the disciples, he said privately, Blessed are the eyes which see the things that ye see:
[ASV | EN | NT | Luke | Chapter 10 | Verse 24] for I say unto you, that many prophets and kings desired to see the things which ye see, and saw them not; and to hear the things which ye hear, and heard them not.
[ASV | EN | NT | Luke | Chapter 10 | Verse 25] And behold, a certain lawyer stood up, making trial of him, and saying, Teacher, what shall I do to inherit eternal life?
[ASV | EN | NT | Luke | Chapter 10 | Verse 26] And he said unto him, What is written in the law? how readest thou?
[ASV | EN | NT | Luke | Chapter 10 | Verse 27] And he answered and said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbor as thyself.
[ASV | EN | NT | Luke | Chapter 10 | Verse 28] And he said unto him, Thou hast answered right: this do, and thou shalt live.
[ASV | EN | NT | Luke | Chapter 10 | Verse 29] But he, desiring to justify himself, said unto Jesus, And who is my neighbor?
[ASV | EN | NT | Luke | Chapter 10 | Verse 30] And Jesus made answer and said, A certain man was going down from Jerusalem to Jericho; and he fell among robbers, who both stripped him and beat him, and departed, leaving him half dead.
[ASV | EN | NT | Luke | Chapter 10 | Verse 31] And by chance a certain priest was going down that way: and when he saw him, he passed by on the other side.
[ASV | EN | NT | Luke | Chapter 10 | Verse 32] And in like manner a Levite also, when he was at the place, came and saw him, and passed by on the other side.
[ASV | EN | NT | Luke | Chapter 10 | Verse 33] But a certain Samaritan, as he journeyed, came where he was: and when he saw him, he was moved with compassion,
[ASV | EN | NT | Luke | Chapter 10 | Verse 34] and came to him, and bound up his wounds, pouring on them oil and wine; and he set him on his own beast, and brought him to an inn, and took care of him.
[ASV | EN | NT | Luke | Chapter 10 | Verse 35] And on the morrow when he departed, he took out two denarii, and gave them to the host, and said unto him, Take care of him; and whatsoever thou spendest more, I, when I come back again, will repay thee.
[ASV | EN | NT | Luke | Chapter 10 | Verse 36] Which now of these three, thinkest thou, proved neighbor unto him that fell among the robbers?
[ASV | EN | NT | Luke | Chapter 10 | Verse 37] Then he said, He that showed mercy on him. Then Jesus said unto him, Go, and do thou likewise.
[ASV | EN | NT | Luke | Chapter 10 | Verse 38] Now it came to pass, as they went on their way, that he entered into a certain village: and a certain woman named Martha received him into her house.
[ASV | EN | NT | Luke | Chapter 10 | Verse 39] And she had a sister called Mary, who also sat at the Jesus’ feet, and heard his word.
[ASV | EN | NT | Luke | Chapter 10 | Verse 40] But Martha was cumbered about much serving; and she came up to him, and said, Lord, dost thou not care that my sister did leave me to serve alone? bid her therefore that she help me.
[ASV | EN | NT | Luke | Chapter 10 | Verse 41] But Jesus answered and said unto her, Martha, Martha, thou art anxious and troubled about many things:
[ASV | EN | NT | Luke | Chapter 10 | Verse 42] but one thing is needful: and Mary hath chosen the good part, which shall not be taken away from her.
