[ASV | EN | NT | Luke | Chapter 11 | Verse 1] And it came to pass, as he was praying in a certain place, that when he ceased, one of his disciples said unto him, Lord, teach us to pray, even as John also taught his disciples.
[ASV | EN | NT | Luke | Chapter 11 | Verse 29] And when the multitudes were gathering together unto him, he began to say, This generation is evil: it seeketh after a sign; and there shall no sign be given to it but the sign of Jonah the prophet.
[ASV | EN | NT | Luke | Chapter 11 | Verse 30] For even as Jonah became a sign unto the Ninevites, so shall also the Son of man be to this generation.
[ASV | EN | NT | Luke | Chapter 11 | Verse 31] The queen of the south shall rise up in the judgment with the men of this generation, and shall condemn them: for she came from the ends of the earth to hear the wisdom of Solomon; and behold, something greater than Solomon is here.
[ASV | EN | NT | Luke | Chapter 11 | Verse 32] The men of Nineveh shall stand up in the judgment with this generation, and shall condemn it: for they repented at the preaching of Jonah; and behold, something greater than Jonah is here.
[ASV | EN | NT | Luke | Chapter 11 | Verse 33] And no man, when he hath lighted a lamp, putteth it in a cellar, neither under the bushel, but on the stand, that they which enter in may see the light.
[ASV | EN | NT | Luke | Chapter 11 | Verse 34] The lamp of the body is the eye: when therefore thine eye is single, thy whole body also is full of light; but when it is evil, thy body also is full of darkness.
[ASV | EN | NT | Luke | Chapter 11 | Verse 35] Look therefore whether the light that is in thee be not darkness.
[ASV | EN | NT | Luke | Chapter 11 | Verse 36] If therefore thy whole body be full of light, having no part dark, it shall be wholly full of light, as when the lamp with its bright shining doth give thee light.
[ASV | EN | NT | Luke | Chapter 11 | Verse 37] Now as he spake, a certain Pharisee asked him to dine with him: and he went in, and sat down to meat.
[ASV | EN | NT | Luke | Chapter 11 | Verse 38] And when the Pharisee saw it, he marveled that he had not first bathed himself before dinner.
[ASV | EN | NT | Luke | Chapter 11 | Verse 39] And the Lord said unto him, Now ye the Pharisees cleanse the outside of the cup and of the platter; but your inward part is full of extortion and wickedness.
[ASV | EN | NT | Luke | Chapter 11 | Verse 40] Ye foolish ones, did not he that made the outside make the inside also?
[ASV | EN | NT | Luke | Chapter 11 | Verse 41] But give for alms those things which are within; and behold, all things are clean unto you.
[ASV | EN | NT | Luke | Chapter 11 | Verse 42] But woe unto you Pharisees! for ye tithe mint and rue and every herb, and pass over justice and the love of God: these ought ye to have done, and not to leave the other undone.
[ASV | EN | NT | Luke | Chapter 11 | Verse 43] Woe unto you Pharisees! for ye love the chief seats in the synagogues, and the salutations in the marketplaces.
[ASV | EN | NT | Luke | Chapter 11 | Verse 44] Woe unto you, scribes and Pharisees, hypocrites! for ye are as the tombs which appear not, and the men walking over them know it not.
[ASV | EN | NT | Luke | Chapter 11 | Verse 45] And answering, one of the lawyers saith unto him, Teacher, in saying this thou reproachest us also.
[ASV | EN | NT | Luke | Chapter 11 | Verse 46] And he said, Woe unto you lawyers also! for ye load men with burdens grievous to be borne, and ye yourselves touch not the burdens with one of your fingers.
[ASV | EN | NT | Luke | Chapter 11 | Verse 47] Woe unto you! for ye build the tombs of the prophets, and your fathers killed them.
[ASV | EN | NT | Luke | Chapter 11 | Verse 48] So ye bear witness and consent unto the works of your fathers: for they killed them, and ye build their tombs.
[ASV | EN | NT | Luke | Chapter 11 | Verse 49] Therefore also said the wisdom of God, I will send unto them prophets and apostles; and some of them they shall kill and persecute;
[ASV | EN | NT | Luke | Chapter 11 | Verse 50] that the blood of all the prophets, which was shed from the foundation of the world, may be required of this generation;
[ASV | EN | NT | Luke | Chapter 11 | Verse 51] from the blood of Abel unto the blood of Zechariah, who perished between the altar and the sanctuary: yea, I say unto you, it shall be required of this generation.
[ASV | EN | NT | Luke | Chapter 11 | Verse 52] Woe unto you lawyers! for ye took away the key of knowledge: ye entered not in yourselves, and them that were entering in ye hindered.
[ASV | EN | NT | Luke | Chapter 11 | Verse 53] And as he said these things unto them, the scribes and the Pharisees began to press upon him vehemently, and to provoke him to speak of many things;
[ASV | EN | NT | Luke | Chapter 11 | Verse 54] laying wait for him, seeking to catch something out of his mouth, that they might accuse him.
