[ASV | EN | NT | Luke | Chapter 24 | Verse 1] But on the first day of the week, at early dawn, they came unto the tomb, bringing the spices which they had prepared, and certain others with them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 29] And they constrained him, saying, Abide with us; for it is toward evening, and the day is far spent. And he went in to abide with them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 30] And it came to pass, when he had sat down with them to meat, he took the bread and blessed; and breaking it he gave to them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 31] And their eyes were opened, and they knew him; and he vanished out of their sight.
[ASV | EN | NT | Luke | Chapter 24 | Verse 32] And they said one to another, Was not our heart burning within us, while he spake to us in the way, and while he opened to us the scriptures?
[ASV | EN | NT | Luke | Chapter 24 | Verse 33] And they rose up that very hour, and returned to Jerusalem, and found the eleven gathered together, and them that were with them,
[ASV | EN | NT | Luke | Chapter 24 | Verse 34] saying, The Lord is risen indeed, and hath appeared to Simon.
[ASV | EN | NT | Luke | Chapter 24 | Verse 35] And they rehearsed the things that happened in the way, and how he was known of them in the breaking of the bread.
[ASV | EN | NT | Luke | Chapter 24 | Verse 36] And as they spake these things, Jesus himself stood in the midst of them, and saith unto them, Peace be unto you.
[ASV | EN | NT | Luke | Chapter 24 | Verse 37] But they were terrified and affrighted, and supposed that they beheld a spirit.
[ASV | EN | NT | Luke | Chapter 24 | Verse 38] And he said unto them, Why are ye troubled? and wherefore do questionings arise in your hearts?
[ASV | EN | NT | Luke | Chapter 24 | Verse 39] See my hands and my feet, that it is I myself: handle me, and see; for a spirit hath not flesh and bones, as ye behold me having.
[ASV | EN | NT | Luke | Chapter 24 | Verse 40] And when he had said this, he showed them his hands and his feet.
[ASV | EN | NT | Luke | Chapter 24 | Verse 41] And while they still disbelieved for joy, and wondered, he said unto them, Have ye here anything to eat?
[ASV | EN | NT | Luke | Chapter 24 | Verse 42] And they gave him a piece of a broiled fish, and of a honeycomb.
[ASV | EN | NT | Luke | Chapter 24 | Verse 43] And he took them, and ate before them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 44] And he said unto them, These are the words which I spake unto you, while I was yet with you, that all things must needs be fulfilled, which are written in the law of Moses, and the prophets, and the psalms, concerning me.
[ASV | EN | NT | Luke | Chapter 24 | Verse 45] Then opened he their mind, that they might understand the scriptures;
[ASV | EN | NT | Luke | Chapter 24 | Verse 46] and he said unto them, Thus it is written, and thus it behooved the Christ to suffer, and rise again from the dead the third day;
[ASV | EN | NT | Luke | Chapter 24 | Verse 47] and that repentance and remission of sins should be preached in his name unto all the nations, beginning from Jerusalem.
[ASV | EN | NT | Luke | Chapter 24 | Verse 48] And ye are witnesses of these things.
[ASV | EN | NT | Luke | Chapter 24 | Verse 49] And behold, I send the promise of my Father upon you: but tarry ye in the city of Jerusalem, until ye be clothed with power from on high.
[ASV | EN | NT | Luke | Chapter 24 | Verse 50] And he led them out as far as to Bethany: and he lifted up his hands, and blessed them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 51] And it came to pass, while he blessed them, he parted from them, and was carried up into heaven.
[ASV | EN | NT | Luke | Chapter 24 | Verse 52] And they worshiped him, and returned to Jerusalem with great joy:
[ASV | EN | NT | Luke | Chapter 24 | Verse 53] and were continually in the temple, praising and blessing God. Amen.
