[ASV | EN | NT | Luke | Chapter 6 | Verse 1] Now it came to pass on a second-first sabbath, that he was going through the grainfields; and his disciples plucked the ears, and did eat, rubbing them in their hands.
[ASV | EN | NT | Luke | Chapter 6 | Verse 32] And if ye love them that love you, what thank have ye? for even sinners love those that love them.
[ASV | EN | NT | Luke | Chapter 6 | Verse 33] And if ye do good to them that do good to you, what thank have ye? for even sinners do the same.
[ASV | EN | NT | Luke | Chapter 6 | Verse 34] And if ye lend to them of whom ye hope to receive back, what thank have ye? for even sinners lend to sinners, to receive again as much.
[ASV | EN | NT | Luke | Chapter 6 | Verse 35] But love your enemies, and do them good, and lend, never despairing; and your reward shall be great, and ye shall be sons of the Most High: for he is kind toward the unthankful and evil.
[ASV | EN | NT | Luke | Chapter 6 | Verse 36] Be ye therefore merciful, even as your Father also is merciful.
[ASV | EN | NT | Luke | Chapter 6 | Verse 37] And judge not, and ye shall not be judged: condemn not, and ye shall not be condemned: release, and ye shall be released:
[ASV | EN | NT | Luke | Chapter 6 | Verse 38] give, and it shall be given unto you; good measure, pressed down, and shaken together, and running over, shall they give into your bosom. For with the same measure ye mete it shall be measured to you again.
[ASV | EN | NT | Luke | Chapter 6 | Verse 39] And he spake a parable unto them, Can the blind guide the blind? shall they not both fall into a pit?
[ASV | EN | NT | Luke | Chapter 6 | Verse 40] The disciple is not above his teacher: but everyone when he is perfected shall be as his teacher.
[ASV | EN | NT | Luke | Chapter 6 | Verse 41] And why beholdest thou the mote that is in thy brother’s eye, but considerest not the beam that is in thine own eye?
[ASV | EN | NT | Luke | Chapter 6 | Verse 42] Or how canst thou say to thy brother, Brother, let me cast out the mote that is in thine eye, when thou thyself beholdest not the beam that is in thine own eye? Thou hypocrite, cast out first the beam out of thine own eye, and then shalt thou see clearly to cast out the mote that is in thy brother’s eye.
[ASV | EN | NT | Luke | Chapter 6 | Verse 43] For there is no good tree that bringeth forth corrupt fruit; nor a corrupt tree that bringeth forth good fruit.
[ASV | EN | NT | Luke | Chapter 6 | Verse 44] For each tree is known by its own fruit. For of thorns men do not gather figs, nor of a bramble bush gather they grapes.
[ASV | EN | NT | Luke | Chapter 6 | Verse 45] The good man out of the good treasure of his heart bringeth forth that which is good; and the evil man out of the evil treasure of his heart bringeth forth that which is evil: for out of the abundance of the heart his mouth speaketh.
[ASV | EN | NT | Luke | Chapter 6 | Verse 46] And why call ye me, Lord, Lord, and do not the things which I say?
[ASV | EN | NT | Luke | Chapter 6 | Verse 47] Everyone that cometh unto me, and heareth my words, and doeth them, I will show you to whom he is like:
[ASV | EN | NT | Luke | Chapter 6 | Verse 48] he is like a man building a house, who dug and went deep, and laid a foundation upon the rock: and when a flood arose, the stream brake against that house, and could not shake it: for it had been founded upon the rock.
[ASV | EN | NT | Luke | Chapter 6 | Verse 49] But he that heareth, and doeth not, is like a man that built a house upon the earth without a foundation; against which the stream brake, and straightaway it fell; and the ruin of that house was great.
