[ERV | EN | NT | Luke | Chapter 9 | Verse 1] And he called the twelve together, and gave them power and authority over all devils, and to cure diseases.
[ERV | EN | NT | Luke | Chapter 9 | Verse 30] And behold, there talked with him two men, which were Moses and Elijah;
[ERV | EN | NT | Luke | Chapter 9 | Verse 31] who appeared in glory, and spake of his decease which he was about to accomplish at Jerusalem.
[ERV | EN | NT | Luke | Chapter 9 | Verse 32] Now Peter and they that were with him were heavy with sleep: but when they were fully awake, they saw his glory, and the two men that stood with him.
[ERV | EN | NT | Luke | Chapter 9 | Verse 33] And it came to pass, as they were parting from him, Peter said unto Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elijah: not knowing what he said.
[ERV | EN | NT | Luke | Chapter 9 | Verse 34] And while he said these things, there came a cloud, and overshadowed them: and they feared as they entered into the cloud.
[ERV | EN | NT | Luke | Chapter 9 | Verse 35] And a voice came out of the cloud, saying, This is my Son, my chosen: hear ye him.
[ERV | EN | NT | Luke | Chapter 9 | Verse 36] And when the voice came, Jesus was found alone. And they held their peace, and told no man in those days any of the things which they had seen.
[ERV | EN | NT | Luke | Chapter 9 | Verse 37] And it came to pass, on the next day, when they were come down from the mountain, a great multitude met him.
[ERV | EN | NT | Luke | Chapter 9 | Verse 38] And behold, a man from the multitude cried, saying, Master, I beseech thee to look upon my son; for he is mine only child:
[ERV | EN | NT | Luke | Chapter 9 | Verse 39] and behold, a spirit taketh him, and he suddenly crieth out; and it teareth him that he foameth, and it hardly departeth from him, bruising him sorely.
[ERV | EN | NT | Luke | Chapter 9 | Verse 40] And I besought thy disciples to cast it out; and they could not.
[ERV | EN | NT | Luke | Chapter 9 | Verse 41] And Jesus answered and said, O faithless and perverse generation, how long shall I be with you, and bear with you? bring hither thy son.
[ERV | EN | NT | Luke | Chapter 9 | Verse 42] And as he was yet a coming, the devil dashed him down, and tare him grievously. But Jesus rebuked the unclean spirit, and healed the boy, and gave him back to his father.
[ERV | EN | NT | Luke | Chapter 9 | Verse 43] And they were all astonished at the majesty of God. But while all were marveling at all the things which he did, he said unto his disciples,
[ERV | EN | NT | Luke | Chapter 9 | Verse 44] Let these words sink into your ears: for the Son of man shall be delivered up into the hands of men.
[ERV | EN | NT | Luke | Chapter 9 | Verse 45] But they understood not this saying, and it was concealed from them, that they should not perceive it: and they were afraid to ask him about this saying.
[ERV | EN | NT | Luke | Chapter 9 | Verse 46] And there arose a reasoning among them, which of them should be greatest.
[ERV | EN | NT | Luke | Chapter 9 | Verse 47] But when Jesus saw the reasoning of their heart, he took a little child, and set him by his side,
[ERV | EN | NT | Luke | Chapter 9 | Verse 48] and said unto them, Whosoever shall receive this little child in my name receiveth me: and whosoever shall receive me receiveth him that sent me: for he that is least among you all, the same is great.
[ERV | EN | NT | Luke | Chapter 9 | Verse 49] And John answered and said, Master, we saw one casting out devils in thy name; and we forbade him, because he followeth not with us.
[ERV | EN | NT | Luke | Chapter 9 | Verse 50] But Jesus said unto him, Forbid him not: for he that is not against you is for you.
[ERV | EN | NT | Luke | Chapter 9 | Verse 51] And it came to pass, when the days were well-nigh come that he should be received up, he stedfastly set his face to go to Jerusalem,
[ERV | EN | NT | Luke | Chapter 9 | Verse 52] and sent messengers before his face: and they went, and entered into a village of the Samaritans, to make ready for him.
[ERV | EN | NT | Luke | Chapter 9 | Verse 53] And they did not receive him, because his face was as though he were going to Jerusalem.
[ERV | EN | NT | Luke | Chapter 9 | Verse 54] And when his disciples James and John saw this, they said, Lord, wilt thou that we bid fire to come down from heaven, and consume them?
[ERV | EN | NT | Luke | Chapter 9 | Verse 55] But he turned, and rebuked them.
[ERV | EN | NT | Luke | Chapter 9 | Verse 56] And they went to another village.
[ERV | EN | NT | Luke | Chapter 9 | Verse 57] And as they went in the way, a certain man said unto him, I will follow thee whithersoever thou goest.
[ERV | EN | NT | Luke | Chapter 9 | Verse 58] And Jesus said unto him, The foxes have holes, and the birds of the heaven have nests; but the Son of man hath not where to lay his head.
[ERV | EN | NT | Luke | Chapter 9 | Verse 59] And he said unto another, Follow me. But he said, Lord, suffer me first to go and bury my father.
[ERV | EN | NT | Luke | Chapter 9 | Verse 60] But he said unto him, Leave the dead to bury their own dead; but go thou and publish abroad the kingdom of God.
[ERV | EN | NT | Luke | Chapter 9 | Verse 61] And another also said, I will follow thee, Lord; but first suffer me to bid farewell to them that are at my house.
[ERV | EN | NT | Luke | Chapter 9 | Verse 62] But Jesus said unto him, No man, having put his hand to the plough, and looking back, is fit for the kingdom of God.
