[ERV | EN | NT | Luke | Chapter 20 | Verse 1] And it came to pass, on one of the days, as he was teaching the people in the temple, and preaching the gospel, there came upon him the chief priests and the scribes with the elders;
[ERV | EN | NT | Luke | Chapter 20 | Verse 19] And the scribes and the chief priests sought to lay hands on him in that very hour; and they feared the people: for they perceived that he spake this parable against them.
[ERV | EN | NT | Luke | Chapter 20 | Verse 20] And they watched him, and sent forth spies, which feigned themselves to be righteous, that they might take hold of his speech, so as to deliver him up to the rule and to the authority of the governor.
[ERV | EN | NT | Luke | Chapter 20 | Verse 21] And they asked him, saying, Master, we know that thou sayest and teachest rightly, and acceptest not the person of any, but of a truth teachest the way of God:
[ERV | EN | NT | Luke | Chapter 20 | Verse 22] Is it lawful for us to give tribute unto Caesar, or not?
[ERV | EN | NT | Luke | Chapter 20 | Verse 23] But he perceived their craftiness, and said unto them,
[ERV | EN | NT | Luke | Chapter 20 | Verse 24] Shew me a penny. Whose image and superscription hath it? And they said, Caesar’ s.
[ERV | EN | NT | Luke | Chapter 20 | Verse 25] And he said unto them, Then render unto Caesar the things that are Caesar’s, and unto God the things that are God’s.
[ERV | EN | NT | Luke | Chapter 20 | Verse 26] And they were not able to take hold of the saying before the people: and they marveled at his answer, and held their peace.
[ERV | EN | NT | Luke | Chapter 20 | Verse 27] And there came to him certain of the Sadducees, they which say that there is no resurrection; and they asked him,
[ERV | EN | NT | Luke | Chapter 20 | Verse 28] saying, Master, Moses wrote unto us, that if a man’ s brother die, having a wife, and he be childless, his brother should take the wife, and raise up seed unto his brother.
[ERV | EN | NT | Luke | Chapter 20 | Verse 29] There were therefore seven brethren: and the first took a wife, and died childless;
[ERV | EN | NT | Luke | Chapter 20 | Verse 30] and the second;
[ERV | EN | NT | Luke | Chapter 20 | Verse 31] and the third took her; and likewise the seven also left no children, and died.
[ERV | EN | NT | Luke | Chapter 20 | Verse 32] Afterward the woman also died.
[ERV | EN | NT | Luke | Chapter 20 | Verse 33] In the resurrection therefore whose wife of them shall she be? for the seven had her to wife.
[ERV | EN | NT | Luke | Chapter 20 | Verse 34] And Jesus said unto them, The sons of this world marry, and are given in marriage:
[ERV | EN | NT | Luke | Chapter 20 | Verse 35] but they that are accounted worthy to attain to that world, and the resurrection from the dead, neither marry, nor are given in marriage:
[ERV | EN | NT | Luke | Chapter 20 | Verse 36] for neither can they die any more: for they are equal unto the angels; and are sons of God, being sons of the resurrection.
[ERV | EN | NT | Luke | Chapter 20 | Verse 37] But that the dead are raised, even Moses shewed, in the place concerning the Bush, when he calleth the Lord the God of Abraham, and the God of Isaac, and the God of Jacob.
[ERV | EN | NT | Luke | Chapter 20 | Verse 38] Now he is not the God of the dead, but of the living: for all live unto him.
[ERV | EN | NT | Luke | Chapter 20 | Verse 39] And certain of the scribes answering said, Master, thou hast well said.
[ERV | EN | NT | Luke | Chapter 20 | Verse 40] For they durst not any more ask him any question.
[ERV | EN | NT | Luke | Chapter 20 | Verse 41] And he said unto them, How say they that the Christ is David’s son?
[ERV | EN | NT | Luke | Chapter 20 | Verse 42] For David himself saith in the book of Psalms, The Lord said unto my Lord, Sit thou on my right hand,
[ERV | EN | NT | Luke | Chapter 20 | Verse 43] Till I make thine enemies the footstool of thy feet.
[ERV | EN | NT | Luke | Chapter 20 | Verse 44] David therefore calleth him Lord, and how is he his son?
[ERV | EN | NT | Luke | Chapter 20 | Verse 45] And in the hearing of all the people he said unto his disciples,
[ERV | EN | NT | Luke | Chapter 20 | Verse 46] Beware of the scribes, which desire to walk in long robes, and love salutations in the marketplaces, and chief seats in the synagogues, and chief places at feasts;
[ERV | EN | NT | Luke | Chapter 20 | Verse 47] which devour widows’ houses, and for a pretence make long prayers: these shall receive greater condemnation.
