[GNV | EN | NT | John | Chapter 1 | Verse 1] In the beginning was that Word, and that Word was with God, and that Word was God.
[GNV | EN | NT | John | Chapter 1 | Verse 20] And he confessed and denied not, and said plainely, I am not that Christ.
[GNV | EN | NT | John | Chapter 1 | Verse 21] And they asked him, What then? Art thou Elias? And he said, I am not. Art thou that Prophet? And he answered, No.
[GNV | EN | NT | John | Chapter 1 | Verse 22] Then said they vnto him, Who art thou, that we may giue an answere to them that sent vs? What sayest thou of thy selfe?
[GNV | EN | NT | John | Chapter 1 | Verse 23] He said, I am the voyce of him that cryeth in the wildernesse, Make straight the way of the Lord, as said the Prophet Esaias.
[GNV | EN | NT | John | Chapter 1 | Verse 24] Nowe they which were sent, were of the Pharises.
[GNV | EN | NT | John | Chapter 1 | Verse 25] And they asked him, and saide vnto him, Why baptizest thou then, if thou be not that Christ, neither Elias, nor that Prophet?
[GNV | EN | NT | John | Chapter 1 | Verse 26] Iohn answered them, saying, I baptize with water: but there is one among you, whom ye knowe not.
[GNV | EN | NT | John | Chapter 1 | Verse 27] He it is that commeth after me, which was before me, whose shoe latchet I am not worthie to vnloose.
[GNV | EN | NT | John | Chapter 1 | Verse 28] These things were done in Bethabara beyond Iordan, where Iohn did baptize.
[GNV | EN | NT | John | Chapter 1 | Verse 29] The next day Iohn, seeth Iesus comming vnto him, and saith, Beholde that Lambe of God, which taketh away the sinne of the world.
[GNV | EN | NT | John | Chapter 1 | Verse 30] This is he of whom I saide, After me commeth a man, which was before me: for he was better then I.
[GNV | EN | NT | John | Chapter 1 | Verse 31] And I knewe him not: but because he should be declared to Israel, therefore am I come, baptizing with water.
[GNV | EN | NT | John | Chapter 1 | Verse 32] So Iohn bare recorde, saying, I behelde that Spirit come downe from heauen, like a doue, and it abode vpon him,
[GNV | EN | NT | John | Chapter 1 | Verse 33] And I knewe him not: but he that sent me to baptize with water, he saide vnto me, Vpon whom thou shalt see that Spirit come downe, and tary still on him, that is he which baptizeth with the holy Ghost.
[GNV | EN | NT | John | Chapter 1 | Verse 34] And I sawe, and bare record that this is that Sonne of God.
[GNV | EN | NT | John | Chapter 1 | Verse 35] The next day, Iohn stoode againe, and two of his disciples.
[GNV | EN | NT | John | Chapter 1 | Verse 36] And he behelde Iesus walking by, and said, Beholde that Lambe of God.
[GNV | EN | NT | John | Chapter 1 | Verse 37] And the two disciples heard him speake, and followed Iesus.
[GNV | EN | NT | John | Chapter 1 | Verse 38] Then Iesus turned about, and saw them follow, and saide vnto them, What seeke ye? And they saide vnto him, Rabbi (which is to say by interpretation, Master) where dwellest thou?
[GNV | EN | NT | John | Chapter 1 | Verse 39] He saide vnto them, Come, and see. They came and sawe where hee dwelt, and abode with him that day: for it was about the tenth houre.
[GNV | EN | NT | John | Chapter 1 | Verse 40] Andrew, Simon Peters brother, was one of the two which had heard it of Iohn, and that followed him.
[GNV | EN | NT | John | Chapter 1 | Verse 41] The same founde his brother Simon first, and said vnto him, We haue founde that Messias, which is by interpretation, that Christ.
[GNV | EN | NT | John | Chapter 1 | Verse 42] And he brought him to Iesus. And Iesus behelde him, and saide, Thou art Simon the sonne of Iona: thou shalt be called Cephas, which is by interpretation, a stone.
[GNV | EN | NT | John | Chapter 1 | Verse 43] The day following, Iesus woulde goe into Galile, and founde Philip, and said vnto him, Followe me.
[GNV | EN | NT | John | Chapter 1 | Verse 44] Nowe Philip was of Bethsaida, the citie of Andrew and Peter.
[GNV | EN | NT | John | Chapter 1 | Verse 45] Philippe founde Nathanael, and saide vnto him, Wee haue founde him of whom Moses did write in the Lawe, and the Prophetes, Iesus that sonne of Ioseph, that was of Nazareth.
[GNV | EN | NT | John | Chapter 1 | Verse 46] Then Nathanael sayde vnto him, Can there any good thing come out of Nazareth? Philip saide to him, Come, and see.
[GNV | EN | NT | John | Chapter 1 | Verse 47] Iesus sawe Nathanael comming to him, and saide of him, Beholde in deede an Israelite, in whom is no guile.
[GNV | EN | NT | John | Chapter 1 | Verse 48] Nathanael sayde vnto him, Whence knewest thou mee? Iesus answered, and sayd vnto him, Before that Philip called thee, when thou wast vnder the figge tree, I sawe thee.
[GNV | EN | NT | John | Chapter 1 | Verse 49] Nathanael answered, and saide vnto him, Rabbi, thou art that Sonne of God: thou art that King of Israel.
[GNV | EN | NT | John | Chapter 1 | Verse 50] Iesus answered, and sayde vnto him, Because I sayde vnto thee, I sawe thee vnder the figtree, beleeuest thou? thou shalt see greater things then these.
[GNV | EN | NT | John | Chapter 1 | Verse 51] And he saide vnto him, Verely, verely I say vnto you, hereafter shall yee see heauen open, and the Angels of God ascending, and descending vpon that Sonne of man.
