[GNV | EN | NT | John | Chapter 11 | Verse 1] And a certaine man was sicke, named Lazarus of Bethania, the towne of Marie, and her sister Martha.
[GNV | EN | NT | John | Chapter 11 | Verse 29] And when she heard it, shee arose quickly, and came vnto him.
[GNV | EN | NT | John | Chapter 11 | Verse 30] For Iesus was not yet come into the towne, but was in the place where Martha met him.
[GNV | EN | NT | John | Chapter 11 | Verse 31] The Iewes then which were with her in the house, and comforted her, when they sawe Marie, that she rose vp hastily, and went out, folowed her, saying, She goeth vnto the graue, to weepe there.
[GNV | EN | NT | John | Chapter 11 | Verse 32] Then when Mary was come where Iesus was, and sawe him, she fell downe at his feete, saying vnto him, Lord, if thou haddest bene here, my brother had not bene dead.
[GNV | EN | NT | John | Chapter 11 | Verse 33] When Iesus therefore saw her weepe, and the Iewes also weepe which came with her, hee groned in the spirit, and was troubled in himselfe,
[GNV | EN | NT | John | Chapter 11 | Verse 34] And saide, Where haue ye layde him? They said vnto him, Lord, come and see.
[GNV | EN | NT | John | Chapter 11 | Verse 35] And Iesus wept.
[GNV | EN | NT | John | Chapter 11 | Verse 36] Then saide the Iewes, Beholde, how he loued him.
[GNV | EN | NT | John | Chapter 11 | Verse 37] And some of them saide, Coulde not he, which opened the eyes of the blinde, haue made also, that this man should not haue died?
[GNV | EN | NT | John | Chapter 11 | Verse 38] Iesus therefore againe groned in himselfe, and came to the graue. And it was a caue, and a stone was layde vpon it.
[GNV | EN | NT | John | Chapter 11 | Verse 39] Iesus saide, Take ye away the stone. Martha the sister of him that was dead, said vnto him, Lord, he stinketh alreadie: for he hath bene dead foure dayes.
[GNV | EN | NT | John | Chapter 11 | Verse 40] Iesus saide vnto her, Saide I not vnto thee, that if thou diddest beleeue, thou shouldest see the glorie of God?
[GNV | EN | NT | John | Chapter 11 | Verse 41] Then they tooke away the stone from the place where the dead was layde. And Iesus lift vp his eyes, and saide, Father, I thanke thee, because thou hast heard me.
[GNV | EN | NT | John | Chapter 11 | Verse 42] I knowe that thou hearest me alwayes, but because of the people that stand by, I said it, that they may beleeue, that thou hast sent me.
[GNV | EN | NT | John | Chapter 11 | Verse 43] As hee had spoken these things, hee cried with a loude voyce, Lazarus, come foorth.
[GNV | EN | NT | John | Chapter 11 | Verse 44] Then he that was dead, came forth, bound hande and foote with bandes, and his face was bound with a napkin. Iesus said vnto them, Loose him, and let him goe.
[GNV | EN | NT | John | Chapter 11 | Verse 45] Then many of the Iewes, which came to Mary, and had seene the thinges, which Iesus did, beleeued in him.
[GNV | EN | NT | John | Chapter 11 | Verse 46] But some of them went their way to the Pharises, and told them what things Iesus had done.
[GNV | EN | NT | John | Chapter 11 | Verse 47] Then gathered the hie Priests, and the Pharises a councill, and said, What shall we doe? For this man doeth many miracles.
[GNV | EN | NT | John | Chapter 11 | Verse 48] If we let him thus alone, all men will beleeue in him, and the Romanes will come and take away both our place, and the nation.
[GNV | EN | NT | John | Chapter 11 | Verse 49] Then one of them named Caiaphas, which was the hie Priest that same yere, said vnto them, Ye perceiue nothing at all,
[GNV | EN | NT | John | Chapter 11 | Verse 50] Nor yet doe you consider that it is expedient for vs, that one man die for the people, and that the whole nation perish not.
[GNV | EN | NT | John | Chapter 11 | Verse 51] This spake hee not of himselfe: but being hie Priest that same yere, he prophecied that Iesus should die for that nation:
[GNV | EN | NT | John | Chapter 11 | Verse 52] And not for that nation onely, but that he shoulde gather together in one the children of God, which were scattered.
[GNV | EN | NT | John | Chapter 11 | Verse 53] Then from that day foorth they consulted together, to put him to death.
[GNV | EN | NT | John | Chapter 11 | Verse 54] Iesus therefore walked no more openly among the Iewes, but went thence vnto a countrey neere to the wildernes, into a citie called Ephraim, and there continued with his disciples.
[GNV | EN | NT | John | Chapter 11 | Verse 55] And the Iewes Passeouer was at hande, and many went out of the countrey vp to Hierusalem before the Passeouer, to purifie themselues.
[GNV | EN | NT | John | Chapter 11 | Verse 56] Then sought they for Iesus, and spake among themselues, as they stoode in the Temple, What thinke ye, that he cometh not to the feast?
[GNV | EN | NT | John | Chapter 11 | Verse 57] Now both the high Priestes and the Pharises had giuen a commandement, that if any man knew where he were, he should shew it, that they might take him.
