[GNV | EN | NT | John | Chapter 8 | Verse 1] And Iesus went vnto the mount of Oliues,
[GNV | EN | NT | John | Chapter 8 | Verse 23] And hee saide vnto them, Ye are from beneath, I am from aboue: ye are of this world, I am not of this worlde.
[GNV | EN | NT | John | Chapter 8 | Verse 24] I said therefore vnto you, That ye shall die in your sinnes: for except ye beleeue, that I am he, ye shall die in your sinnes.
[GNV | EN | NT | John | Chapter 8 | Verse 25] Then saide they vnto him, Who art thou? And Iesus saide vnto them, Euen the same thing that I said vnto you from the beginning.
[GNV | EN | NT | John | Chapter 8 | Verse 26] I haue many things to say, and to iudge of you: but he that sent me, is true, and the things that I haue heard of him, those speake I to the world.
[GNV | EN | NT | John | Chapter 8 | Verse 27] They vnderstoode not that hee spake to them of the Father.
[GNV | EN | NT | John | Chapter 8 | Verse 28] Then said Iesus vnto them, When ye haue lift vp the Sonne of man, then shall ye know that I am he, and that I doe nothing of my selfe, but as my Father hath taught me, so I speake these things.
[GNV | EN | NT | John | Chapter 8 | Verse 29] For he that sent me, is with me: the Father hath not left me alone, because I do alwayes those things that please him.
[GNV | EN | NT | John | Chapter 8 | Verse 30] As hee spake these thinges, many beleeued in him.
[GNV | EN | NT | John | Chapter 8 | Verse 31] Then saide Iesus to the Iewes which beleeued in him, If ye continue in my worde, ye are verely my disciples,
[GNV | EN | NT | John | Chapter 8 | Verse 32] And shall know the trueth, and the trueth shall make you free.
[GNV | EN | NT | John | Chapter 8 | Verse 33] They answered him, Wee be Abrahams seede, and were neuer bonde to any man: why sayest thou then, Ye shalbe made free?
[GNV | EN | NT | John | Chapter 8 | Verse 34] Iesus answered them, Verely, verely I say vnto you, that whosoeuer committeth sinne, is the seruant of sinne.
[GNV | EN | NT | John | Chapter 8 | Verse 35] And the seruant abideth not in the house for euer: but the Sonne abideth for euer.
[GNV | EN | NT | John | Chapter 8 | Verse 36] If that Sonne therefore shall make you free, ye shalbe free in deede.
[GNV | EN | NT | John | Chapter 8 | Verse 37] I know that ye are Abrahams seede, but yee seeke to kill mee, because my worde hath no place in you.
[GNV | EN | NT | John | Chapter 8 | Verse 38] I speake that which I haue seene with my Father: and ye doe that which ye haue seene with your father.
[GNV | EN | NT | John | Chapter 8 | Verse 39] They answered, and saide vnto him, Abraham is our father. Iesus said vnto them, If ye were Abrahams children, ye woulde doe the workes of Abraham.
[GNV | EN | NT | John | Chapter 8 | Verse 40] But nowe ye goe about to kill mee, a man that haue told you the trueth, which I haue heard of God: this did not Abraham.
[GNV | EN | NT | John | Chapter 8 | Verse 41] Ye do the workes of your father. Then said they to him, We are not borne of fornication: we haue one Father, which is God.
[GNV | EN | NT | John | Chapter 8 | Verse 42] Therefore Iesus sayde vnto them, If God were your Father, then woulde ye loue mee: for I proceeded foorth, and came from God, neither came I of my selfe, but he sent me.
[GNV | EN | NT | John | Chapter 8 | Verse 43] Why doe ye not vnderstande my talke? because ye cannot heare my worde.
[GNV | EN | NT | John | Chapter 8 | Verse 44] Ye are of your father the deuill, and the lustes of your father ye will doe: hee hath bene a murtherer from the beginning, and abode not in the trueth, because there is no trueth in him. When hee speaketh a lie, then speaketh hee of his owne: for he is a liar, and the father thereof.
[GNV | EN | NT | John | Chapter 8 | Verse 45] And because I tell you the trueth, yee beleeue me not.
[GNV | EN | NT | John | Chapter 8 | Verse 46] Which of you can rebuke me of sinne? and if I say the trueth, why do ye not beleeue me?
[GNV | EN | NT | John | Chapter 8 | Verse 47] He that is of God, heareth Gods wordes: yee therefore heare them not, because ye are not of God.
[GNV | EN | NT | John | Chapter 8 | Verse 48] Then answered the Iewes, and said vnto him, Say we not well that thou art a Samaritane, and hast a deuil?
[GNV | EN | NT | John | Chapter 8 | Verse 49] Iesus answered, I haue not a deuil, but I honour my Father, and ye haue dishonoured me.
[GNV | EN | NT | John | Chapter 8 | Verse 50] And I seeke not mine owne praise: but there is one that seeketh it, and iudgeth.
[GNV | EN | NT | John | Chapter 8 | Verse 51] Verely, verely I say vnto you, If a man keepe my word, he shall neuer see death.
[GNV | EN | NT | John | Chapter 8 | Verse 52] Then said the Iewes to him, Now know we that thou hast a deuill. Abraham is dead, and the Prophets: and thou sayest, If a man keepe my worde, he shall neuer taste of death.
[GNV | EN | NT | John | Chapter 8 | Verse 53] Art thou greater then our father Abraham, which is dead? and the Prophets are dead: whome makest thou thy selfe?
[GNV | EN | NT | John | Chapter 8 | Verse 54] Iesus answered, If I honour my selfe, mine honour is nothing worth: it is my Father that honoureth me, whome ye say, that hee is your God.
[GNV | EN | NT | John | Chapter 8 | Verse 55] Yet ye haue not knowen him: but I knowe him, and if I should say I know him not, I should be a liar like vnto you: but I knowe him, and keepe his worde.
[GNV | EN | NT | John | Chapter 8 | Verse 56] Your father Abraham reioyced to see my day, and he sawe it, and was glad.
[GNV | EN | NT | John | Chapter 8 | Verse 57] Then sayd ye Iewes vnto him, Thou art not yet fiftie yeere olde, and hast thou seene Abraham?
[GNV | EN | NT | John | Chapter 8 | Verse 58] Iesus sayd vnto them, Verely, verely I say vnto you, before Abraham was, I am.
[GNV | EN | NT | John | Chapter 8 | Verse 59] Then tooke they vp stones, to cast at him, but Iesus hid himselfe, and went out of the Temple: And hee passed through the middes of them, and so went his way.
