[GNV | EN | NT | John | Chapter 19 | Verse 1] Then Pilate tooke Iesus and scourged him.
[GNV | EN | NT | John | Chapter 19 | Verse 24] Therefore they sayde one to another, Let vs not deuide it, but cast lots for it, whose it shall be. This was that the Scripture might be fulfilled, which sayth, They parted my garments among them, and on my coate did cast lots. So the souldiers did these things in deede.
[GNV | EN | NT | John | Chapter 19 | Verse 25] Then stoode by the crosse of Iesus his mother, and his mothers sister, Marie the wife of Cleopas, and Marie Magdalene.
[GNV | EN | NT | John | Chapter 19 | Verse 26] And when Iesus sawe his mother, and the disciple standing by, whom he loued, he said vnto his mother, Woman, beholde thy sonne.
[GNV | EN | NT | John | Chapter 19 | Verse 27] Then saide he to the disciple, Beholde thy mother: and from that houre, the disciple tooke her home vnto him.
[GNV | EN | NT | John | Chapter 19 | Verse 28] After, when Iesus knew that all things were performed, that the Scripture might be fulfilled, he said, I thirst.
[GNV | EN | NT | John | Chapter 19 | Verse 29] And there was set a vessell full of vineger: and they filled a spondge with vineger: and put it about an Hyssope stalke, and put it to his mouth.
[GNV | EN | NT | John | Chapter 19 | Verse 30] Nowe when Iesus had receiued of the vineger, he saide, It is finished, and bowed his head, and gaue vp the ghost.
[GNV | EN | NT | John | Chapter 19 | Verse 31] The Iewes then (because it was the Preparation, that the bodies should not remaine vpon the crosse on the Sabbath day: for that Sabbath was an hie day) besought Pilate that their legges might be broken, and that they might be taken downe.
[GNV | EN | NT | John | Chapter 19 | Verse 32] Then came the souldiers and brake the legges of the first, and of the other, which was crucified with Iesus.
[GNV | EN | NT | John | Chapter 19 | Verse 33] But when they came to Iesus, and saw that he was dead alreadie, they brake not his legges.
[GNV | EN | NT | John | Chapter 19 | Verse 34] But one of the souldiers with a speare pearced his side, and foorthwith came there out blood and water.
[GNV | EN | NT | John | Chapter 19 | Verse 35] And he that sawe it, bare recorde, and his record is true: and he knoweth that he saith true, that ye might beleeue it.
[GNV | EN | NT | John | Chapter 19 | Verse 36] For these things were done, that the Scripture shoulde be fulfilled, Not a bone of him shalbe broken.
[GNV | EN | NT | John | Chapter 19 | Verse 37] And againe an other Scripture saith, They shall see him whom they haue thrust through.
[GNV | EN | NT | John | Chapter 19 | Verse 38] And after these things, Ioseph of Arimathea (who was a disciple of Iesus, but secretly for feare of the Iewes) besought Pilate that he might take downe the bodie of Iesus. And Pilate gaue him licence. He came then and tooke Iesus body.
[GNV | EN | NT | John | Chapter 19 | Verse 39] And there came also Nicodemus (which first came to Iesus by night) and brought of myrrhe and aloes mingled together about an hundreth pound.
[GNV | EN | NT | John | Chapter 19 | Verse 40] Then tooke they the body of Iesus, and wrapped it in linnen clothes with the odours, as the maner of the Iewes is to burie.
[GNV | EN | NT | John | Chapter 19 | Verse 41] And in that place where Iesus was crucified, was a garden, and in the garden a newe sepulchre, wherein was neuer man yet laid.
[GNV | EN | NT | John | Chapter 19 | Verse 42] There then laide they Iesus, because of the Iewes Preparation day, for the sepulchre was neere.
