[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The sons of Judah: Perez, Hezron, Carmi, Hur, and Shobal.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 17] The sons of Ezrah: Jether, Mered, Epher, and Jalon; and Mered’s wife bore Miriam, Shammai, and Ishbah the father of Eshtemoa.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 18] His wife the Jewess bore Jered the father of Gedor, Heber the father of Soco, and Jekuthiel the father of Zanoah. These are the sons of Bithiah the daughter of Pharaoh, whom Mered took.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 19] The sons of the wife of Hodiah, the sister of Naham, were the fathers of Keilah the Garmite and Eshtemoa the Maacathite.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 20] The sons of Shimon: Amnon, Rinnah, Ben Hanan, and Tilon. The sons of Ishi: Zoheth, and Ben Zoheth.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 21] The sons of Shelah the son of Judah: Er the father of Lecah, Laadah the father of Mareshah, and the families of the house of those who worked fine linen, of the house of Ashbea;
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 22] and Jokim, and the men of Cozeba, and Joash, and Saraph, who had dominion in Moab, and Jashubilehem. These records are ancient.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 23] These were the potters, and the inhabitants of Netaim and Gederah; they lived there with the king for his work.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 24] The sons of Simeon: Nemuel, Jamin, Jarib, Zerah, Shaul;
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 25] Shallum his son, Mibsam his son, and Mishma his son.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 26] The sons of Mishma: Hammuel his son, Zaccur his son, Shimei his son.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 27] Shimei had sixteen sons and six daughters; but his brothers didn’t have many children, and all their family didn’t multiply like the children of Judah.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 28] They lived at Beersheba, Moladah, Hazarshual,
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 29] at Bilhah, at Ezem, at Tolad,
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 30] at Bethuel, at Hormah, at Ziklag,
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 31] at Beth Marcaboth, Hazar Susim, at Beth Biri, and at Shaaraim. These were their cities until David’s reign.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 32] Their villages were Etam, Ain, Rimmon, Tochen, and Ashan, five cities;
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 33] and all their villages that were around the same cities, as far as Baal. These were their settlements, and they kept their genealogy.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 34] Meshobab, Jamlech, Joshah the son of Amaziah,
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 35] Joel, Jehu the son of Joshibiah, the son of Seraiah, the son of Asiel,
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 36] Elioenai, Jaakobah, Jeshohaiah, Asaiah, Adiel, Jesimiel, Benaiah,
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 37] and Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah—
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 38] these mentioned by name were princes in their families. Their fathers’ houses increased greatly.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 39] They went to the entrance of Gedor, even to the east side of the valley, to seek pasture for their flocks.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 40] They found rich, good pasture, and the land was wide, and quiet, and peaceful, for those who lived there before were descended from Ham.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 41] These written by name came in the days of Hezekiah king of Judah, and struck their tents and the Meunim who were found there; and they destroyed them utterly to this day, and lived in their place, because there was pasture there for their flocks.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 42] Some of them, even of the sons of Simeon, five hundred men, went to Mount Seir, having for their captains Pelatiah, Neariah, Rephaiah, and Uzziel, the sons of Ishi.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 43] They struck the remnant of the Amalekites who escaped, and have lived there to this day.
