[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 1] And the children of the Prophets saide vnto Elisha, Behold, we pray thee, the place where we dwell with thee, is too litle for vs.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 17] Then Elisha prayed, and saide, Lord, I beseech thee, open his eyes, that he may see. And the Lord opened the eyes of the seruant, and he looked, and beholde, the mountaine was full of horses and charets of fyre round about Elisha.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 18] So they came downe to him, but Elisha prayed vnto the Lord, and said, Smite this people, I pray thee, with blindnesse. And he smote them with blindnes, according to the worde of Elisha.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 19] And Elisha said vnto them, This is not the way, neither is this the citie: follow me, and I will leade you to the man whome ye seeke. But he ledde them to Samaria.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 20] And when they were come to Samaria, Elisha saide, Lord, open their eyes that they may see. And the Lord opened their eyes, and they saw, and beholde, they were in the mids of Samaria.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 21] And the King of Israel sayde vnto Elisha when he sawe them, My father, shall I smite them, shall I smite them?
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 22] And he answered, Thou shalt not smite them: doest thou not smite them that thou hast taken with thy sworde, and with thy bowe? but set bread and water before them, that they may eate and drinke and goe to their master.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 23] And he made great preparation for them: and when they had eaten and drunken, he sent them away: and they went to their master. So ye bands of Aram came no more into the land of Israel.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 24] But afterward Ben-hadad King of Aram gathered all his hoste, and went vp, and besieged Samaria.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 25] So there was a great famine in Samaria: for loe, they besieged it vntill an asses head was at foure score pieces of siluer, and the fourth part of a kab of doues doung at fiue pieces of siluer.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 26] And as the King of Israel was going vpon the wall, there cryed a woman vnto him, saying, Helpe, my lord, O King.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 27] And he said, Seeing the Lord doeth not succour thee, howe shoulde I helpe thee with the barne, or with the wine presse?
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 28] Also the King said vnto her, What ayleth thee? And she answered, This woman sayde vnto me, Giue thy sonne, that we may eate him to day, and we will eate my sonne to morowe,
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 29] So we sod my sonne, and did eate him: and I saide to her the day after, Giue thy sonne, that we may eate him, but she hath hid her sonne.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 30] And when the King had heard the wordes of the woman, he rent his clothes, (and as he went vpon the wall, the people looked, and behold, he had sackecloth within vpon his flesh)
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 31] And he saide, God doe so to me and more also, if the head of Elisha the sonne of Shaphat shall stande on him this day.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 32] (Nowe Elisha sate in his house, and the Elders sate with him.) And the King sent a man before him: but before the messenger came to him, he saide to the Elders, See ye not howe this murtherers sonne hath sent to take away mine head? take heede when the messenger commeth, and shut the doore and handle him roughly at the doore: is not the sounde of his masters feete behinde him?
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 33] While he yet talked with them, beholde, the messenger came downe vnto him, and saide, Behold, this euill commeth of the Lord: should I attende on the Lord any longer?
