[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 1] And one of the wiues of the sonnes of the Prophets cryed vnto Elisha, saying, Thy seruant mine husband is dead, and thou knowest, that thy seruant did feare the Lord: and the creditour is come to take my two sonnes to bee his bondmen.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 14] Againe he sayde, What is then to be done for her? Then Gehazi answered, In deede she hath no sonne, and her husband is olde.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 15] Then said he, Cal her. And hee called her, and shee stoode in the doore.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 16] And he said, At this time appointed, according to the time of life, thou shalt embrace a sonne. And she sayd, Oh my Lord, thou man of God, doe not lye vnto thine handmayd.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 17] So the woman conceiued, and bare a sonne at that same season, according to the time of life, that Elisha had sayd vnto her.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 18] And when the childe was growen, it fell on a day, that he went out to his father, and to the reapers.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 19] And he sayde to his father, Mine head, mine head. Who sayd to his seruant, Beare him to his mother.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 20] And hee tooke him and brought him to his mother, and hee sate on her knees till noone, and dyed.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 21] Then shee went vp, and layed him on the bed of the man of God, and shut the doore vpon him, and went out.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 22] Then she called to her husband, and sayd, Send with me, I pray thee, one of the yong men and one of the asses: for I will haste to the man of God, and come againe.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 23] And he sayd, Wherefore wilt thou goe to him to day? it is neither newe moone nor Sabbath day. And she answered, All shalbe well.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 24] Then she sadled an asse, and sayde to her seruant, Driue, and goe forward: staye not for me to get vp, except I bid thee.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 25] So she went, and came vnto the man of God to mount Carmel. And when the man of God sawe her ouer against him, he sayd to Gehazi his seruant, Beholde, the Shunammite.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 26] Runne nowe, I say, to meete her, and say vnto her, Art thou in health? is thine husband in health? and is the child in health? And she answered, We are in health.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 27] And when shee came to the man of God vnto the moutaine, she caught him by his feete: and Gehazi went to her, to thrust her away: but the man of God said, Let her alone: for her soule is vexed within her, and the Lord hath hid it from me, and hath not told it mee.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 28] Then she said, Did I desire a sonne of my lord? did I not say, Deceiue me not?
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 29] Then he sayd to Gehazi, Gird thy loynes, and take my staffe in thine hand, and goe thy way: if thou meete any, salute him not: and if any salute thee, answere him not: and laye my staffe vpon the face of the childe.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 30] And the mother of the childe sayde, As the Lord liueth, and as thy soule liueth, I will not leaue thee. Therefore he arose, and followed her.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 31] But Gehazi was gone before them, and had layed the staffe vpon the face of the childe, but he neither spake nor heard: wherefore hee returned to meete him, and told him, saying, The childe is not waken.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 32] Then came Elisha into the house, and beholde, the childe was dead, and layed vpon his bedde.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 33] He went in therefore, and shut the doore vpon them twayne, and prayed vnto the Lord.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 34] After he went vp, and lay vpon the child, and put his mouth on his mouth, and his eyes vpon his eies, and his hands vpon his handes, and stretched himselfe vpon him, and the flesh of the child waxed warme.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 35] And hee went from him, and walked vp and downe in the house, and went vp and spred himselfe vpon him: then the childe neesed seuen times, and opened his eyes.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 36] Then he called Gehazi, and sayd, Call this Shunammite. So he called her, which came in vnto him. And he said vnto her, Take thy sonne.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 37] And she came, and fell at his feete, and bowed her selfe to the ground, and tooke vp her sonne, and went out.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 38] Afterward Elisha returned to Gilgal, and a famine was in the land, and the children of the Prophets dwelt with him. And hee sayd vnto his seruant, Set on the great pot, and seethe pottage for the children of the Prophets.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 39] And one went out into the fielde, to gather herbes, and founde, as it were, a wilde vine, and gathered thereof wilde gourdes his garment ful, and came and shred them into the pot of pottage: for they knew it not.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 40] So they powred out for the men to eate: and when they did eate of the pottage, they cryed out, and sayde, O thou man of God, death is in the pot: and they could not eate thereof.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 41] Then he said, Bring meale. And hee cast it into the potte, and sayd, Powre out for the people, that they may eate: and there was none euill in the pot.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 42] Then came a man from Baal-shalisha, and brought the man of God bread of the first fruits, euen twenty loaues of barley, and full eares of corne in the huske. And hee saide, Giue vnto the people, that they may eate.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 43] And his seruant answered, How shoulde I set this before an hundreth men? He sayd againe, Giue it vnto the people, that they may eate: for thus sayth the Lord, They shall eate, and there shall remaine.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 44] So he set it before them, and they did eate, and left ouer, according to the word of the Lord.
