[YLT | EN | OT | Judges | Chapter 1 | Verse 1] And it cometh to pass, after the death of Joshua, that the sons of Israel ask at Jehovah, saying, 'Who doth go up for us unto the Canaanite, at the commencement, to fight against it?'
[YLT | EN | OT | Judges | Chapter 1 | Verse 13] And Othniel son of Kenaz, younger brother of Caleb, doth capture it, and he giveth to him Achsah his daughter for a wife.
[YLT | EN | OT | Judges | Chapter 1 | Verse 14] And it cometh to pass in her coming in, that she persuadeth him to ask from her father the field, and she lighteth from off the ass, and Caleb saith to her, 'What — to thee?'
[YLT | EN | OT | Judges | Chapter 1 | Verse 15] And she saith to him, 'Give to me a blessing; when the south land thou hast given me — then thou hast given to me springs of water; and Caleb giveth to her the upper springs and the lower springs.
[YLT | EN | OT | Judges | Chapter 1 | Verse 16] And the sons of the Kenite, father-in-law of Moses, have gone up out of the city of palms with the sons of Judah [to] the wilderness of Judah, which [is] in the south of Arad, and they go and dwell with the people.
[YLT | EN | OT | Judges | Chapter 1 | Verse 17] And Judah goeth with Simeon his brother, and they smite the Canaanite inhabiting Zephath, and devote it; and [one] calleth the name of the city Hormah.
[YLT | EN | OT | Judges | Chapter 1 | Verse 18] And Judah captureth Gaza and its border, and Askelon and its border, and Ekron and its border;
[YLT | EN | OT | Judges | Chapter 1 | Verse 19] and Jehovah is with Judah, and he occupieth the hill-country, but not to dispossess the inhabitants of the valley, for they have chariots of iron.
[YLT | EN | OT | Judges | Chapter 1 | Verse 20] And they give to Caleb Hebron, as Moses hath spoken, and he dispossesseth thence the three sons of Anak.
[YLT | EN | OT | Judges | Chapter 1 | Verse 21] And the Jebusite, inhabiting Jerusalem, the sons of Benjamin have not dispossessed; and the Jebusite dwelleth with the sons of Benjamin, in Jerusalem, till this day.
[YLT | EN | OT | Judges | Chapter 1 | Verse 22] And the house of Joseph go up — even they — to Beth-El, and Jehovah [is] with them;
[YLT | EN | OT | Judges | Chapter 1 | Verse 23] and the house of Joseph cause [men] to spy about Beth-El (and the name of the city formerly is Luz),
[YLT | EN | OT | Judges | Chapter 1 | Verse 24] and the watchers see a man coming out from the city, and say to him, 'Shew us, we pray thee, the entrance of the city, and we have done with thee kindness.'
[YLT | EN | OT | Judges | Chapter 1 | Verse 25] And he sheweth them the entrance of the city, and they smite the city by the mouth of the sword, and the man and all his family they have sent away;
[YLT | EN | OT | Judges | Chapter 1 | Verse 26] and the man goeth to the land of the Hittites, and buildeth a city, and calleth its name Luz — it [is] its name unto this day.
[YLT | EN | OT | Judges | Chapter 1 | Verse 27] And Manasseh hath not occupied Beth-Shean and its towns, and Taanach and its towns, and the inhabitants of Dor and its towns, and the inhabitants of Iblaim and its towns, and the inhabitants of Megiddo and its towns, and the Canaanite is desirous to dwell in that land;
[YLT | EN | OT | Judges | Chapter 1 | Verse 28] and it cometh to pass, when Israel hath been strong, that he setteth the Canaanite to tribute, and hath not utterly dispossessed it.
[YLT | EN | OT | Judges | Chapter 1 | Verse 29] And Ephraim hath not dispossessed the Canaanite who is dwelling in Gezer, and the Canaanite dwelleth in its midst, in Gezer.
[YLT | EN | OT | Judges | Chapter 1 | Verse 30] Zebulun hath not dispossessed the inhabitants of Kitron, and the inhabitants of Nahalol, and the Canaanite dwelleth in its midst, and they become tributary.
[YLT | EN | OT | Judges | Chapter 1 | Verse 31] Asher hath not dispossessed the inhabitants of Accho, and the inhabitants of Zidon, and Ahlab, and Achzib, and Helbah, and Aphik, and Rehob;
[YLT | EN | OT | Judges | Chapter 1 | Verse 32] and the Asherite dwelleth in the midst of the Canaanite, the inhabitants of the land, for it hath not dispossessed them.
[YLT | EN | OT | Judges | Chapter 1 | Verse 33] Naphtali hath not dispossessed the inhabitants of Beth-Shemesh, and the inhabitants of Beth-Anath, and he dwelleth in the midst of the Canaanite, the inhabitants of the land; and the inhabitants of Beth-Shemesh and of Beth-Anath have become tributary to them.
[YLT | EN | OT | Judges | Chapter 1 | Verse 34] And the Amorites press the sons of Dan to the mountain, for they have not suffered them to go down to the valley;
[YLT | EN | OT | Judges | Chapter 1 | Verse 35] and the Amorite is desirous to dwell in mount Heres, in Aijalon, and in Shaalbim, and the hand of the house of Joseph is heavy, and they become tributary;
[YLT | EN | OT | Judges | Chapter 1 | Verse 36] and the border of the Amorite [is] from the ascent of Akrabbim, from the rock and upward.
