[YLT | EN | OT | Judges | Chapter 9 | Verse 1] and Abimelech son of Jerubbaal goeth to Shechem, unto his mother's brethren, and speaketh unto them, and unto all the family of the house of his mother's father, saying,
[YLT | EN | OT | Judges | Chapter 9 | Verse 18] and ye have risen against the house of my father to-day, and slay his sons, seventy men, on one stone, and cause Abimelech son of his handmaid to reign over the masters of Shechem, because he [is] your brother —
[YLT | EN | OT | Judges | Chapter 9 | Verse 19] yea, if in truth and in sincerity ye have acted with Jerubbaal and with his house this day, rejoice ye in Abimelech, and he doth rejoice — even he — in you;
[YLT | EN | OT | Judges | Chapter 9 | Verse 20] and if not — fire cometh out from Abimelech and devoureth the masters of Shechem and the house of Millo, and fire cometh out from the masters of Shechem and from the house of Millo, and devoureth Abimelech.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 21] And Jotham hasteth, and fleeth, and goeth to Beer, and dwelleth there, from the face of Abimelech his brother.
[YLT | EN | OT | Judges | Chapter 9 | Verse 22] And Abimelech is prince over Israel three years,
[YLT | EN | OT | Judges | Chapter 9 | Verse 23] and God sendeth an evil spirit between Abimelech and the masters of Shechem, and the masters of Shechem deal treacherously with Abimelech,
[YLT | EN | OT | Judges | Chapter 9 | Verse 24] for the coming in of the violence [to] the seventy sons of Jerubbaal, and of their blood to place [it] on Abimelech their brother, who slew them, and on the masters of Shechem, who strengthened his hands to slay his brethren.
[YLT | EN | OT | Judges | Chapter 9 | Verse 25] And the masters of Shechem set for him ambushes on the top of the hills, and rob every one who passeth over by them in the way, and it is declared to Abimelech.
[YLT | EN | OT | Judges | Chapter 9 | Verse 26] And Gaal son of Ebed cometh — also his brethren — and they pass over into Shechem, and the masters of Shechem trust in him,
[YLT | EN | OT | Judges | Chapter 9 | Verse 27] and go out into the field, and gather their vineyards, and tread, and make praises, and go into the house of their god, and eat and drink, and revile Abimelech.
[YLT | EN | OT | Judges | Chapter 9 | Verse 28] And Gaal son of Ebed saith, 'Who [is] Abimelech, and who [is] Shechem, that we serve him? is [he] not son of Jerubbaal? and Zebul his commander? Serve ye the men of Hamor father of Shechem, and wherefore do we serve him — we?
[YLT | EN | OT | Judges | Chapter 9 | Verse 29] and oh that this people were in my hand — then I turn Abimelech aside;' and he saith to Abimelech, 'Increase thy host, and come out.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 30] And Zebul, prince of the city, heareth the words of Gaal son of Ebed, and his anger burneth,
[YLT | EN | OT | Judges | Chapter 9 | Verse 31] and he sendeth messengers unto Abimelech deceitfully, saying, 'Lo, Gaal son of Ebed and his brethren are coming into Shechem, and lo, they are fortifying the city against thee;
[YLT | EN | OT | Judges | Chapter 9 | Verse 32] and, now, rise by night, thou and the people who [are] with thee, and lay wait in the field,
[YLT | EN | OT | Judges | Chapter 9 | Verse 33] and it hath been, in the morning, about the rising of the sun, thou dost rise early, and hast pushed against the city; and lo, he and the people who [are] with him are going out unto thee — and thou hast done to him as thy hand doth find.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 34] And Abimelech riseth, and all the people who [are] with him, by night, and they lay wait against Shechem — four detachments;
[YLT | EN | OT | Judges | Chapter 9 | Verse 35] and Gaal son of Ebed goeth out, and standeth at the opening of the gate of the city, and Abimelech riseth — also the people who [are] with him — from the ambush,
[YLT | EN | OT | Judges | Chapter 9 | Verse 36] and Gaal seeth the people, and saith unto Zebul, 'Lo, people are coming down from the top of the hills;' and Zebul saith unto him, 'The shadow of the hills thou art seeing like men.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 37] And Gaal addeth yet to speak, and saith, 'Lo, people are coming down from the high part of the land, and another detachment is coming by the way of the oak of Meonenim.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 38] And Zebul saith unto him, 'Where [is] now thy mouth, in that thou sayest, Who [is] Abimelech that we serve him? is not this the people against which thou hast kicked? go out, I pray thee now, and fight against it.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 39] And Gaal goeth out before the masters of Shechem, and fighteth against Abimelech,
[YLT | EN | OT | Judges | Chapter 9 | Verse 40] and Abimelech pursueth him, and he fleeth from his presence, and many fall wounded — unto the opening of the gate.
[YLT | EN | OT | Judges | Chapter 9 | Verse 41] And Abimelech abideth in Arumah, and Zebul casteth out Gaal and his brethren from dwelling in Shechem.
[YLT | EN | OT | Judges | Chapter 9 | Verse 42] And it cometh to pass, on the morrow, that the people go out to the field, and they declare [it] to Abimelech,
[YLT | EN | OT | Judges | Chapter 9 | Verse 43] and he taketh the people, and divideth them into three detachments, and layeth wait in a field, and looketh, and lo, the people are coming out from the city, and he riseth against them, and smiteth them.
[YLT | EN | OT | Judges | Chapter 9 | Verse 44] And Abimelech and the detachments who [are] with him have pushed on, and stand at the opening of the gate of the city, and the two detachments have pushed against all who are in the field, and smite them,
[YLT | EN | OT | Judges | Chapter 9 | Verse 45] and Abimelech hath fought against the city all that day, and captureth the city, and the people who [are] in it he hath slain, and he breaketh down the city, and soweth it [with] salt.
[YLT | EN | OT | Judges | Chapter 9 | Verse 46] And all the masters of the tower of Shechem hear, and go in unto the high place of the house of the god Berith,
[YLT | EN | OT | Judges | Chapter 9 | Verse 47] and it is declared to Abimelech that all the masters of the tower of Shechem have gathered themselves together,
[YLT | EN | OT | Judges | Chapter 9 | Verse 48] and Abimelech goeth up to mount Zalmon, he and all the people who [are] with him, and Abimelech taketh the great axe in his hand, and cutteth off a bough of the trees, and lifteth it up, and setteth [it] on his shoulder, and saith unto the people who [are] with him, 'What ye have seen I have done — haste, do ye like it.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 49] And all the people also cut down each one his bough, and go after Abimelech, and set [them] at the high place, and burn by these the high place with fire, and also all the men of the tower of Shechem die, about a thousand men and women.
[YLT | EN | OT | Judges | Chapter 9 | Verse 50] And Abimelech goeth unto Thebez, and encampeth against Thebez, and captureth it,
[YLT | EN | OT | Judges | Chapter 9 | Verse 51] and a strong tower hath been in the midst of the city, and thither flee do all the men and the women, and all the masters of the city, and they shut [it] behind them, and go up on the roof of the tower.
[YLT | EN | OT | Judges | Chapter 9 | Verse 52] And Abimelech cometh unto the tower, and fighteth against it, and draweth nigh unto the opening of the tower to burn it with fire,
[YLT | EN | OT | Judges | Chapter 9 | Verse 53] and a certain woman doth cast a piece of a rider on the head of Abimelech, and breaketh his skull,
[YLT | EN | OT | Judges | Chapter 9 | Verse 54] and he calleth hastily unto the young man bearing his weapons, and saith to him, 'Draw thy sword, and thou hast put me to death, lest they say of me — A woman slew him;' and his young man pierced him through, and he dieth.
[YLT | EN | OT | Judges | Chapter 9 | Verse 55] And the men of Israel see that Abimelech [is] dead, and go each one to his place;
[YLT | EN | OT | Judges | Chapter 9 | Verse 56] and God turneth back the evil of Abimelech which he did to his father to slay his seventy brethren;
[YLT | EN | OT | Judges | Chapter 9 | Verse 57] and all the evil of the men of Shechem hath God turned back on their head, and come unto them doth the cursing of Jotham son of Jerubbaal.
