[YLT | EN | NT | Acts | Chapter 16 | Verse 1] And he came to Derbe and Lystra, and lo, a certain disciple was there, by name Timotheus son of a certain woman, a believing Jewess, but of a father, a Greek,
[YLT | EN | NT | Acts | Chapter 16 | Verse 17] she having followed Paul and us, was crying, saying, 'These men are servants of the Most High God, who declare to us a way of salvation;'
[YLT | EN | NT | Acts | Chapter 16 | Verse 18] and this she was doing for many days, but Paul having been grieved, and having turned, said to the spirit, 'I command thee, in the name of Jesus Christ, to come forth from her;' and it came forth the same hour.
[YLT | EN | NT | Acts | Chapter 16 | Verse 19] And her masters having seen that the hope of their employment was gone, having caught Paul and Silas, drew [them] to the market-place, unto the rulers,
[YLT | EN | NT | Acts | Chapter 16 | Verse 20] and having brought them to the magistrates, they said, 'These men do exceedingly trouble our city, being Jews;
[YLT | EN | NT | Acts | Chapter 16 | Verse 21] and they proclaim customs that are not lawful for us to receive nor to do, being Romans.'
[YLT | EN | NT | Acts | Chapter 16 | Verse 22] And the multitude rose up together against them, and the magistrates having torn their garments from them, were commanding to beat [them] with rods,
[YLT | EN | NT | Acts | Chapter 16 | Verse 23] many blows also having laid upon them, they cast them to prison, having given charge to the jailor to keep them safely,
[YLT | EN | NT | Acts | Chapter 16 | Verse 24] who such a charge having received, did put them to the inner prison, and their feet made fast in the stocks.
[YLT | EN | NT | Acts | Chapter 16 | Verse 25] And at midnight Paul and Silas praying, were singing hymns to God, and the prisoners were hearing them,
[YLT | EN | NT | Acts | Chapter 16 | Verse 26] and suddenly a great earthquake came, so that the foundations of the prison were shaken, opened also presently were all the doors, and of all — the bands were loosed;
[YLT | EN | NT | Acts | Chapter 16 | Verse 27] and the jailor having come out of sleep, and having seen the doors of the prison open, having drawn a sword, was about to kill himself, supposing the prisoners to be fled,
[YLT | EN | NT | Acts | Chapter 16 | Verse 28] and Paul cried out with a loud voice, saying, 'Thou mayest not do thyself any harm, for we are all here.'
[YLT | EN | NT | Acts | Chapter 16 | Verse 29] And, having asked for a light, he sprang in, and trembling he fell down before Paul and Silas,
[YLT | EN | NT | Acts | Chapter 16 | Verse 30] and having brought them forth, said, 'Sirs, what must I do — that I may be saved?'
[YLT | EN | NT | Acts | Chapter 16 | Verse 31] and they said, 'Believe on the Lord Jesus Christ, and thou shalt be saved — thou and thy house;'
[YLT | EN | NT | Acts | Chapter 16 | Verse 32] and they spake to him the word of the Lord, and to all those in his household;
[YLT | EN | NT | Acts | Chapter 16 | Verse 33] and having taken them, in that hour of the night, he did bathe [them] from the blows, and was baptized, himself and all his presently,
[YLT | EN | NT | Acts | Chapter 16 | Verse 34] having brought them also into his house, he set food before [them], and was glad with all the household, he having believed in God.
[YLT | EN | NT | Acts | Chapter 16 | Verse 35] And day having come, the magistrates sent the rod-bearers, saying, 'Let those men go;'
[YLT | EN | NT | Acts | Chapter 16 | Verse 36] and the jailor told these words unto Paul — 'The magistrates have sent, that ye may be let go; now, therefore, having gone forth go on in peace;'
[YLT | EN | NT | Acts | Chapter 16 | Verse 37] and Paul said to them, 'Having beaten us publicly uncondemned — men, Romans being — they did cast [us] to prison, and now privately do they cast us forth! why no! but having come themselves, let them bring us forth.'
[YLT | EN | NT | Acts | Chapter 16 | Verse 38] And the rod-bearers told to the magistrates these sayings, and they were afraid, having heard that they are Romans,
[YLT | EN | NT | Acts | Chapter 16 | Verse 39] and having come, they besought them, and having brought [them] forth, they were asking [them] to go forth from the city;
[YLT | EN | NT | Acts | Chapter 16 | Verse 40] and they, having gone forth out of the prison, entered into [the house of] Lydia, and having seen the brethren, they comforted them, and went forth.
