[YLT | EN | NT | Acts | Chapter 10 | Verse 1] And there was a certain man in Caesarea, by name Cornelius, a centurion from a band called Italian,
[YLT | EN | NT | Acts | Chapter 10 | Verse 28] And he said unto them, 'Ye know how it is unlawful for a man, a Jew, to keep company with, or to come unto, one of another race, but to me God did shew to call no man common or unclean;
[YLT | EN | NT | Acts | Chapter 10 | Verse 29] therefore also without gainsaying I came, having been sent for; I ask, therefore, for what matter ye did send for me?'
[YLT | EN | NT | Acts | Chapter 10 | Verse 30] And Cornelius said, 'Four days ago till this hour, I was fasting, and [at] the ninth hour praying in my house, and, lo, a man stood before me in bright clothing,
[YLT | EN | NT | Acts | Chapter 10 | Verse 31] and he said, Cornelius, thy prayer was heard, and thy kind acts were remembered before God;
[YLT | EN | NT | Acts | Chapter 10 | Verse 32] send, therefore, to Joppa, and call for Simon, who is surnamed Peter; this one doth lodge in the house of Simon a tanner, by the sea, who having come, shall speak to thee;
[YLT | EN | NT | Acts | Chapter 10 | Verse 33] at once, therefore, I sent to thee; thou also didst do well, having come; now, therefore, are we all before God present to hear all things that have been commanded thee by God.'
[YLT | EN | NT | Acts | Chapter 10 | Verse 34] And Peter having opened his mouth, said, 'Of a truth, I perceive that God is no respecter of persons,
[YLT | EN | NT | Acts | Chapter 10 | Verse 35] but in every nation he who is fearing Him, and is working righteousness, is acceptable to Him;
[YLT | EN | NT | Acts | Chapter 10 | Verse 36] the word that he sent to the sons of Israel, proclaiming good news — peace through Jesus Christ (this one is Lord of all,)
[YLT | EN | NT | Acts | Chapter 10 | Verse 37] ye — ye have known; — the word that came throughout all Judea, having begun from Galilee, after the baptism that John preached;
[YLT | EN | NT | Acts | Chapter 10 | Verse 38] Jesus who [is] from Nazareth — how God did anoint him with the Holy Spirit and power; who went through, doing good, and healing all those oppressed by the devil, because God was with him;
[YLT | EN | NT | Acts | Chapter 10 | Verse 39] and we — we are witnesses of all things that he did, both in the country of the Jews, and in Jerusalem, — whom they did slay, having hanged upon a tree.
[YLT | EN | NT | Acts | Chapter 10 | Verse 40] 'This one God did raise up the third day, and gave him to become manifest,
[YLT | EN | NT | Acts | Chapter 10 | Verse 41] not to all the people, but to witnesses, to those having been chosen before by God — to us who did eat with [him], and did drink with him, after his rising out of the dead;
[YLT | EN | NT | Acts | Chapter 10 | Verse 42] and he commanded us to preach to the people, and to testify fully that it is he who hath been ordained by God judge of living and dead —
[YLT | EN | NT | Acts | Chapter 10 | Verse 43] to this one do all the prophets testify, that through his name every one that is believing in him doth receive remission of sins.'
[YLT | EN | NT | Acts | Chapter 10 | Verse 44] While Peter is yet speaking these sayings, the Holy spirit fell upon all those hearing the word,
[YLT | EN | NT | Acts | Chapter 10 | Verse 45] and those of the circumcision believing were astonished — as many as came with Peter — because also upon the nations the gift of the Holy Spirit hath been poured out,
[YLT | EN | NT | Acts | Chapter 10 | Verse 46] for they were hearing them speaking with tongues and magnifying God.
[YLT | EN | NT | Acts | Chapter 10 | Verse 47] Then answered Peter, 'The water is any one able to forbid, that these may not be baptized, who the Holy Spirit did receive — even as also we?'
[YLT | EN | NT | Acts | Chapter 10 | Verse 48] he commanded them also to be baptized in the name of the Lord; then they besought him to remain certain days.
