[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 1] وَٱرْتَحَلَ بَنُو إِسْرَائِيلَ وَنَزَلُوا فِي عَرَبَاتِ مُوآبَ مِنْ عَبْرِ أُرْدُنِّ أَرِيحَا.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 14] فَقَامَ رُؤَسَاءُ مُوآبَ وَأَتَوْا إِلَى بَالَاقَ وَقَالُوا: «أَبَى بَلْعَامُ أَنْ يَأْتِيَ مَعَنَا».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 15] فَعَادَ بَالَاقُ وَأَرْسَلَ أَيْضًا رُؤَسَاءَ أَكْثَرَ وَأَعْظَمَ مِنْ أُولَئِكَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 16] فَأَتَوْا إِلَى بَلْعَامَ وَقَالُوا لَهُ: «هَكَذَا قَالَ بَالَاقُ بْنُ صِفُّورَ: لَا تَمْتَنِعْ مِنَ ٱلْإِتْيَانِ إِلَيَّ،
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 17] لِأَنِّي أُكْرِمُكَ إِكْرَامًا عَظِيمًا، وَكُلَّ مَا تَقُولُ لِي أَفْعَلُهُ. فَتَعَالَ ٱلْآنَ ٱلْعَنْ لِي هَذَا ٱلشَّعْبَ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 18] فَأَجَابَ بَلْعَامُ وَقَالَ لِعَبِيدِ بَالَاقَ: «وَلَوْ أَعْطَانِي بَالَاقُ مِلْءَ بَيْتِهِ فِضَّةً وَذَهَبًا لَا أَقْدِرُ أَنْ أَتَجَاوَزَ قَوْلَ ٱلرَّبِّ إِلَهِي لِأَعْمَلَ صَغِيرًا أَوْ كَبِيرًا.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 19] فَٱلْآنَ ٱمْكُثُوا هُنَا أَنْتُمْ أَيْضًا هَذِهِ ٱللَّيْلَةَ لِأَعْلَمَ مَاذَا يَعُودُ ٱلرَّبُّ يُكَلِّمُنِي بِهِ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 20] فَأَتَى ٱللهُ إِلَى بَلْعَامَ لَيْلًا وَقَالَ لَهُ: «إِنْ أَتَى ٱلرِّجَالُ لِيَدْعُوكَ فَقُمِ ٱذْهَبْ مَعَهُمْ، إِنَّمَا تَعْمَلُ ٱلْأَمْرَ ٱلَّذِي أُكَلِّمُكَ بِهِ فَقَطْ». أتان بلعام
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 21] فَقَامَ بَلْعَامُ صَبَاحًا وَشَدَّ عَلَى أَتَانِهِ وَٱنْطَلَقَ مَعَ رُؤَسَاءِ مُوآبَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 22] فَحَمِيَ غَضَبُ ٱللهِ لِأَنَّهُ مُنْطَلِقٌ، وَوَقَفَ مَلَاكُ ٱلرَّبِّ فِي ٱلطَّرِيقِ لِيُقَاوِمَهُ وَهُوَ رَاكِبٌ عَلَى أَتَانِهِ وَغُلَامَاهُ مَعَهُ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 23] فَأَبْصَرَتِ ٱلْأَتَانُ مَلَاكَ ٱلرَّبِّ وَاقِفًا فِي ٱلطَّرِيقِ وَسَيْفُهُ مَسْلُولٌ فِي يَدِهِ، فَمَالَتِ ٱلْأَتَانُ عَنِ ٱلطَّرِيقِ وَمَشَتْ فِي ٱلْحَقْلِ. فَضَرَبَ بَلْعَامُ ٱلْأَتَانَ لِيَرُدَّهَا إِلَى ٱلطَّرِيقِ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 24] ثُمَّ وَقَفَ مَلَاكُ ٱلرَّبِّ فِي خَنْدَقٍ لِلْكُرُومِ، لَهُ حَائِطٌ مِنْ هُنَا وَحَائِطٌ مِنْ هُنَاكَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 25] فَلَمَّا أَبْصَرَتِ ٱلْأَتَانُ مَلَاكَ ٱلرَّبِّ زَحَمَتِ ٱلْحَائِطَ، وَضَغَطَتْ رِجْلَ بَلْعَامَ بِٱلْحَائِطِ، فَضَرَبَهَا أَيْضًا.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 26] ثُمَّ ٱجْتَازَ مَلَاكُ ٱلرَّبِّ أَيْضًا وَوَقَفَ فِي مَكَانٍ ضَيِّقٍ حَيْثُ لَيْسَ سَبِيلٌ لِلنُّكُوبِ يَمِينًا أَوْ شِمَالًا.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 27] فَلَمَّا أَبْصَرَتِ ٱلْأَتَانُ مَلَاكَ ٱلرَّبِّ، رَبَضَتْ تَحْتَ بَلْعَامَ. فَحَمِيَ غَضَبُ بَلْعَامَ وَضَرَبَ ٱلْأَتَانَ بِٱلْقَضِيبِ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 28] فَفَتَحَ ٱلرَّبُّ فَمَ ٱلْأَتَانِ، فَقَالَتْ لِبَلْعَامَ: «مَاذَا صَنَعْتُ بِكَ حَتَّى ضَرَبْتَنِي ٱلْآنَ ثَلَاثَ دَفَعَاتٍ؟».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 29] فَقَالَ بَلْعَامُ لِلْأَتَانِ: «لِأَنَّكِ ٱزْدَرَيْتِ بِي. لَوْ كَانَ فِي يَدِي سَيْفٌ لَكُنْتُ ٱلْآنَ قَدْ قَتَلْتُكِ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 30] فَقَالَتِ ٱلْأَتَانُ لِبَلْعَامَ: «أَلَسْتُ أَنَا أَتَانَكَ ٱلَّتِي رَكِبْتَ عَلَيْهَا مُنْذُ وُجُودِكَ إِلَى هَذَا ٱلْيَوْمِ؟ هَلْ تَعَوَّدْتُ أَنْ أَفْعَلَ بِكَ هَكَذَا؟» فَقَالَ: «لَا».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 31] ثُمَّ كَشَفَ ٱلرَّبُّ عَنْ عَيْنَيْ بَلْعَامَ، فَأَبْصَرَ مَلَاكَ ٱلرَّبِّ وَاقِفًا فِي ٱلطَّرِيقِ وَسَيْفُهُ مَسْلُولٌ فِي يَدِهِ، فَخَرَّ سَاجِدًا عَلَى وَجْهِهِ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 32] فَقَالَ لَهُ مَلَاكُ ٱلرَّبِّ: «لِمَاذَا ضَرَبْتَ أَتَانَكَ ٱلْآنَ ثَلَاثَ دَفَعَاتٍ؟ هَأَنَذَا قَدْ خَرَجْتُ لِلْمُقَاوَمَةِ لِأَنَّ ٱلطَّرِيقَ وَرْطَةٌ أَمَامِي،
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 33] فَأَبْصَرَتْنِي ٱلْأَتَانُ وَمَالَتْ مِنْ قُدَّامِي ٱلْآنَ ثَلَاثَ دَفَعَاتٍ. وَلَوْ لَمْ تَمِلْ مِنْ قُدَّامِي لَكُنْتُ ٱلْآنَ قَدْ قَتَلْتُكَ وَٱسْتَبْقَيْتُهَا».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 34] فَقَالَ بَلْعَامُ لِمَلَاكِ ٱلرَّبِّ: «أَخْطَأْتُ. إِنِّي لَمْ أَعْلَمْ أَنَّكَ وَاقِفٌ تِلْقَائِي فِي ٱلطَّرِيقِ. وَٱلْآنَ إِنْ قَبُحَ فِي عَيْنَيْكَ فَإِنِّي أَرْجِعُ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 35] فَقَالَ مَلَاكُ ٱلرَّبِّ لِبَلْعَامَ: «ٱذْهَبْ مَعَ ٱلرِّجَالِ، وَإِنَّمَا تَتَكَلَّمُ بِٱلْكَلَامِ ٱلَّذِي أُكَلِّمُكَ بِهِ فَقَطْ». فَٱنْطَلَقَ بَلْعَامُ مَعَ رُؤَسَاءِ بَالَاقَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 36] فَلَمَّا سَمِعَ بَالَاقُ أَنَّ بَلْعَامَ جَاءَ، خَرَجَ لِٱسْتِقْبَالِهِ إِلَى مَدِينَةِ مُوآبَ ٱلَّتِي عَلَى تَخْمِ أَرْنُونَ ٱلَّذِي فِي أَقْصَى ٱلتُّخُومِ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 37] فَقَالَ بَالَاقُ لِبَلْعَامَ: «أَلَمْ أُرْسِلْ إِلَيْكَ لِأَدْعُوَكَ؟ لِمَاذَا لَمْ تَأْتِ إِلَيَّ؟ أَحَقًّا لَا أَقْدِرُ أَنْ أُكْرِمَكَ؟»
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 38] فَقَالَ بَلْعَامُ لِبَالَاقَ: «هَأَنَذَا قَدْ جِئْتُ إِلَيْكَ. أَلَعَلِّي ٱلْآنَ أَسْتَطِيعُ أَنْ أَتَكَلَّمَ بِشَيْءٍ؟ اَلْكَلَامُ ٱلَّذِي يَضَعُهُ ٱللهُ فِي فَمِي بِهِ أَتَكَلَّمُ».
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 39] فَٱنْطَلَقَ بَلْعَامُ مَعَ بَالَاقَ وَأَتَيَا إِلَى قَرْيَةِ حَصُوتَ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 40] فَذَبَحَ بَالَاقُ بَقَرًا وَغَنَمًا، وَأَرْسَلَ إِلَى بَلْعَامَ وَإِلَى ٱلرُّؤَسَاءِ ٱلَّذِينَ مَعَهُ.
[VANDYKE | AR | OT | Numbers | Chapter 22 | Verse 41] وَفِي ٱلصَّبَاحِ أَخَذَ بَالَاقُ بَلْعَامَ وَأَصْعَدَهُ إِلَى مُرْتَفَعَاتِ بَعْلٍ، فَرَأَى مِنْ هُنَاكَ أَقْصَى ٱلشَّعْبِ.
