[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 1] ਫੇਰ ਉਹ ਮਨੁੱਖ ਮੈਨੂੰ ਭਵਨ ਦੇ ਦਰਵਾਜ਼ੇ ਤੇ ਮੋੜ ਲਿਆਇਆ ਅਤੇ ਵੇਖੋ, ਹੈਕਲ ਦੀ ਸਰਦਲ ਦੇ ਹੇਠੋਂ ਪਾਣੀ ਪੂਰਬ ਵੱਲ ਵਗ ਰਿਹਾ ਸੀ, ਕਿਉਂ ਜੋ ਭਵਨ ਦਾ ਮੂੰਹ ਪੂਰਬ ਵੱਲ ਸੀ ਅਤੇ ਪਾਣੀ ਭਵਨ ਦੇ ਸੱਜੇ ਪਾਸੇ ਦੇ ਹੇਠਾਂ ਤੋਂ ਜਗਵੇਦੀ ਦੇ ਦੱਖਣ ਵੱਲੋਂ ਵਗ ਕੇ ਜਾਂਦਾ ਸੀ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 14] ਤੁਸੀਂ ਸਾਰੇ ਇੱਕੋ ਜਿੰਨਾਂ ਦੇਸ ਮਿਰਾਸ ਵਿੱਚ ਲਵੋਗੇ, ਜਿਸ ਦੇ ਬਾਰੇ ਮੈਂ ਸਹੁੰ ਖਾਧੀ ਕਿ ਤੁਹਾਡੇ ਪੁਰਖਿਆਂ ਨੂੰ ਦੇਵਾਂ ਅਤੇ ਇਹ ਦੇਸ ਤੁਹਾਡੀ ਮਿਰਾਸ ਹੋਵੇਗਾ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 15] ਦੇਸ ਦੀ ਹੱਦ ਇਹ ਹੋਵੇਗੀ, - ਉਤਰ ਵੱਲ ਵੱਡੇ ਸਾਗਰ ਤੋਂ ਲੈ ਕੇ ਹਥਲੋਨ ਤੋਂ ਹੁੰਦੀ ਹੋਈ ਸਦਾਦ ਦੇ ਲਾਂਘੇ ਤੱਕ,
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 16] ਹਮਾਥ, ਬੇਰੋਥਾਹ, ਸਿਬਰਈਮ ਜੋ ਦੰਮਿਸ਼ਕ ਦੀ ਹੱਦ ਅਤੇ ਹਮਾਥ ਦੀ ਹੱਦ ਦੇ ਵਿਚਕਾਰ ਹੈ ਅਤੇ ਹਸੇਰ-ਹੱਤੀਕੋਨ ਜੋ ਹੌਰਾਨ ਦੀ ਹੱਦ ਤੇ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 17] ਸਾਗਰ ਤੋਂ ਹੱਦ ਇਹ ਹੋਵੇਗੀ, ਅਰਥਾਤ ਹਸਰ-ਏਨੋਨ ਦੰਮਿਸ਼ਕ ਦੀ ਹੱਦ ਅਤੇ ਉਤਰ ਵੱਲ ਉੱਤਰੀ ਦਿਸ਼ਾ ਵੱਲ ਹਮਾਥ ਦੀ ਹੱਦ। ਉੱਤਰੀ ਦਿਸ਼ਾ ਇਹੀ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 18] ਪੂਰਬੀ ਹੱਦ ਹੌਰਾਨ ਤੇ ਦੰਮਿਸ਼ਕ ਅਤੇ ਗਿਲਆਦ ਦੇ ਵਿਚਕਾਰ ਤੋਂ ਅਤੇ ਇਸਰਾਏਲ ਦੀ ਧਰਤੀ ਦੇ ਵਿਚਕਾਰ ਤੋਂ ਯਰਦਨ ਉੱਤੇ ਹੋਵੇਗੀ, ਉੱਤਰੀ ਹੱਦ ਤੋਂ ਪੂਰਬੀ ਸਾਗਰ ਤੱਕ ਮਿਣਨਾ। ਇਹੀ ਪੂਰਬੀ ਹੱਦ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 19] ਦੱਖਣੀ ਦਿਸ਼ਾ ਵੱਲ ਦੱਖਣੀ ਹੱਦ ਇਹੀ ਹੈ, ਅਰਥਾਤ ਤਾਮਾਰ ਤੋਂ ਮਰੀਬੋਥ-ਕਾਦੇਸ਼ ਦੇ ਪਾਣੀ ਤੱਕ ਅਤੇ ਮਿਸਰ ਨਦੀ ਤੋਂ ਹੋ ਕੇ ਵੱਡੇ ਸਾਗਰ ਤੱਕ ਦੱਖਣੀ ਦਿਸ਼ਾ ਇਹੀ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 20] ਪੱਛਮੀ ਦਿਸ਼ਾ ਵੱਲ ਵੱਡਾ ਸਾਗਰ ਹੋਵੇਗਾ, ਦੱਖਣੀ ਹੱਦ ਤੋਂ ਲੈ ਕੇ ਹਮਾਥ ਦੇ ਦਰਵਾਜ਼ੇ ਤੱਕ। ਇਹੀ ਪੱਛਮੀ ਹੱਦ ਹੈ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 21] ਸੋ ਤੁਸੀਂ ਇਸ ਦੇਸ ਨੂੰ ਇਸਰਾਏਲ ਦੇ ਗੋਤਾਂ ਦੇ ਅਨੁਸਾਰ ਆਪਸ ਵਿੱਚ ਵੰਡ ਲੈਣਾ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 22] ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਤੁਸੀਂ ਆਪਣੇ ਅਤੇ ਉਹਨਾਂ ਓਪਰਿਆਂ ਦੇ ਵਿਚਕਾਰ ਜਿਹੜੇ ਤੁਹਾਡੇ ਨਾਲ ਵੱਸਦੇ ਹਨ ਅਤੇ ਜਿਹਨਾਂ ਦੀ ਅੰਸ ਤੁਹਾਡੇ ਵਿਚਕਾਰ ਜੰਮੇਗੀ, ਦੇਸ ਵੰਡਣ ਲਈ ਪਰਚੀਆਂ ਪਾਵੋਗੇ ਅਤੇ ਉਹ ਤੁਹਾਡੇ ਲਈ ਦੇਸੀ ਇਸਰਾਏਲੀਆਂ ਵਾਂਗੂੰ ਹੋਣਗੇ। ਉਹ ਤੁਹਾਡੇ ਨਾਲ ਇਸਰਾਏਲ ਦੇ ਗੋਤਾਂ ਦੇ ਵਿੱਚ ਮਿਰਾਸ ਪ੍ਰਾਪਤ ਕਰਨਗੇ।
[IRV | PA | OT | Ezekiel | Chapter 47 | Verse 23] ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਜਿਸ ਗੋਤ ਵਿੱਚ ਕੋਈ ਓਪਰਾ ਵੱਸਦਾ ਹੋਵੇਗਾ, ਉਸੇ ਵਿੱਚ ਤੁਸੀਂ ਉਹ ਨੂੰ ਮਿਰਾਸ ਦਿਓਗੇ, ਪ੍ਰਭੂ ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
