[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 1] So all Israel were reckoned by genealogies; and, behold, they are written in the book of the kings of Israel; and Judah was carried away captive to Babylon because of their transgression.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 27] And they lodged round about the house of God, because the charge thereof was upon them, and to them pertained the opening thereof morning by morning.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 28] And certain of them had charge of the vessels of service; for by tale were they brought in and by tale were they taken out.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 29] Some of them also were appointed over the furniture, and over all the holy vessels, and over the fine flour, and the wine, and the oil, and the frankincense, and the spices.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 30] And some of the sons of the priests prepared the confection of the spices.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 31] And Mattithiah, one of the Levites, who was the firstborn of Shallum the Korahite, had the set office over the things that were baked on griddles.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 32] And some of their brethren, of the sons of the Kohathites, were over the showbread, to prepare it every sabbath.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 33] And these are the singers, heads of fathers' houses of the Levites, who dwelt in the chambers and were free from other service; for they were employed in their work day and night.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 34] These were heads of fathers' houses of the Levites, by their generations, chief men; these dwelt at Jerusalem.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 35] And in Gibeon there dwelt the father of Gibeon, Jeiel, whose wife's name was Maacah;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 36] and his first-born son Abdon, and Zur, and Kish, and Baal, and Ner, and Nadab;
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 37] and Gedor, and Ahio, and Zechariah, and Mikloth.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 38] And Mikloth begot Shimeam. And they also dwelt with their brethren in Jerusalem, over against their brethren.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 39] And Ner begot Kish; and Kish begot Saul; and Saul begot Jonathan, and Malchi-shua, and Abinadab, and Eshbaal.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 40] And the son of Jonathan was Merib-baal; and Merib-baal begot Micah.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 41] And the sons of Micah: Pithon, and Melech, and Taharea, and Ahaz.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 42] And Ahaz begot Jarah; and Jarah begot Alemeth, and Azmaveth, and Zimri; and Zimri begot Moza.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 43] And Moza begot Binea; and Rephaiah his son, Eleasah his son, Azel his son.
[JPS | EN | OT | 1 Chronicles | Chapter 9 | Verse 44] And Azel had six sons, whose names are these: Azrikam, Bocru, and Ishmael, and Sheariah, and Obadiah, and Hanan; these were the sons of Azel.
