[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The sons of Judah: Perez, Hezron, and Carmi, and Hur, and Shobal.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 21] The sons of Shelah the son of Judah: Er the father of Lecah, and Ladah the father of Mareshah, and the families of the house of them that wrought fine linen, of the house of Ashbea;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 22] and Jokim, and the men of Cozeba, and Joash, and Saraph, who had dominion in Moab, and Jashubi-lehem. And the records are ancient.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 23] These were the potters, and those that dwelt among plantations and hedges; there they dwelt occupied in the king's work.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 24] The sons of Simeon: Nemuel, and Jamim, Jarib, Zerah, Shaul;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 25] Shallum his son, Mibsam his son, Mishma his son.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 26] And the sons of Mishma: Hammuel his son, Zaccur his son, Shimei his son.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 27] And Shimei had sixteen sons and six daughters; but his brethren had not many children, neither did all their family multiply, like to the children of Judah.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 28] And they dwelt at Beer-sheba, and Moladah, and Hazar-shual;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 29] and at Bilhah, and at Ezem, and at Tolad;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 30] and at Bethuel, and at Hormah, and at Ziklag;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 31] and at Beth-marcaboth, and Hazar-susim, and at Beth-biri, and at Shaaraim. These were their cities unto the reign of David.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 32] And their villages were Etam, and Ain, Rimmon, and Tochen, and Ashan, five cities;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 33] and all their villages that were round about the same cities, unto Baal. These were their habitations, and they have their genealogy.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 34] And Meshobab, and Jamlech, and Joshah the son of Amaziah;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 35] and Joel, and Jehu the son of Joshibiah, the son of Seraiah, the son of Asiel;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 36] and Elioenai, and Jaakobah, and Jeshoaiah, and Asaiah, and Adiel, and Jesimiel, and Benaiah;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 37] and Ziza the son of Shiphi, the son of Allon, the son of Jedaiah, the son of Shimri, the son of Shemaiah;
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 38] these mentioned by name were princes in their families; and their fathers' houses increased greatly.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 39] And they went to the entrance of Gedor, even unto the east side of the valley, to seek pasture for their flocks.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 40] And they found fat pasture and good, and the land was wide, and quiet, and peaceable; for they that dwelt there aforetime were of Ham.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 41] And these written by name came in the days of Hezekiah king of Judah, and smote their tents, and the Meunim that were found there, and destroyed them utterly, unto this day, and dwelt in their stead; because there was pasture there for their flocks.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 42] And some of them, even of the sons of Simeon, five hundred men, went to mount Seir, having for their captains Pelatiah, and Neariah, and Rephaiah, and Uzziel, the sons of Ishi.
[JPS | EN | OT | 1 Chronicles | Chapter 4 | Verse 43] And they smote the remnant of the Amalekites that escaped, and dwelt there unto this day.
