[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 1] And they brought in the ark of God, and set it in the midst of the tent that David had pitched for it, and they offered burnt-offerings and peace-offerings before God.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 18] Saying: 'Unto thee will I give the land of Canaan, the lot of your inheritance.'
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 19] When ye were but a few men in number, yea, very few, and sojourners in it,
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 20] And when they went about from nation to nation, and from one kingdom to another people,
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 21] He suffered no man to do them wrong, yea, for their sake He reproved kings:
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 22] 'Touch not Mine anointed ones, and do My prophets no harm.'
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 23] Sing unto the LORD, all the earth; proclaim His salvation from day to day.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 24] Declare His glory among the nations, His marvellous works among all the peoples.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 25] For great is the LORD, and highly to be praised; He also is to be feared above all gods.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 26] For all the gods of the peoples are things of nought; but the LORD made the heavens.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 27] Honour and majesty are before Him; strength and gladness are in His place.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 28] Ascribe unto the LORD, ye kindreds of the peoples, ascribe unto the LORD glory and strength.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 29] Ascribe unto the LORD the glory due unto His name; bring an offering, and come before Him; worship the LORD in the beauty of holiness.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 30] Tremble before Him, all the earth; the world also is established that it cannot be moved.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 31] Let the heavens be glad, and let the earth rejoice; and let them say among the nations: 'The LORD reigneth.'
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 32] Let the sea roar, and the fulness thereof; let the field exult, and all that is therein;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 33] Then shall the trees of the wood sing for joy, before the LORD, for He is come to judge the earth.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 34] O give thanks unto the LORD; for He is good; for His mercy endureth for ever.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 35] And say ye: 'Save us, O God of our salvation, and gather us together and deliver us from the nations, that we may give thanks unto Thy holy name, that we may triumph in Thy praise.'
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 36] Blessed be the LORD, the God of Israel, from everlasting even to everlasting. And all the people said: 'Amen,' and praised the LORD.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 37] So he left there, before the ark of the covenant of the LORD, Asaph and his brethren, to minister before the ark continually, as every day's work required;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 38] and Obed-edom with their brethren, threescore and eight; Obed-edom also the son of Jedithun and Hosah to be door-keepers;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 39] and Zadok the priest, and his brethren the priests, before the tabernacle of the LORD in the high place that was at Gibeon,
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 40] to offer burnt-offerings unto the LORD upon the altar of burnt-offering continually morning and evening, even according to all that is written in the Law of the LORD, which He commanded unto Israel;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 41] and with them Heman and Jeduthun, and the rest that were chosen, who were mentioned by name, to give thanks to the LORD, because His mercy endureth for ever;
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 42] and with them Heman and Jeduthun, to sound aloud with trumpets and cymbals, and with instruments for the songs of God; and the sons of Jeduthun to be at the gate.
[JPS | EN | OT | 1 Chronicles | Chapter 16 | Verse 43] And all the people departed every man to his house; and David returned to bless his house.
