[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] (5-27) The sons of Levi: Gershon, Kohath, and Merari.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] (6-4) The sons of Merari: Mahli, and Mushi. And these are the families of the Levites according to their fathers' houses.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] (6-5) Of Gershom: Libni his son, Jahath his son, Zimmah his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] (6-6) Joah his son, Iddo his son, Zerah his son, Jeatherai his son.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] (6-7) The sons of Kohath: Amminadab his son, Korah his son, Assir his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] (6-8) Elkanah his son, and Ebiasaph his son, and Assir his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] (6-9) Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] (6-10) And the sons of Elkanah: Amasai, and Ahimoth.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] (6-11) As for Elkanah: the sons of Elkanah: Zophai his son, and Nahath his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] (6-12) Eliab his son, Jeroham his son, Elkanah his son.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] (6-13) And the sons of Samuel: the first-born Vashni; then Abiah.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 29] (6-14) The sons of Merari: Mahli; Libni his son, Shimei his son, Uzzah his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 30] (6-15) Shimea his son, Haggiah his son, Asaiah his son.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 31] (6-16) And these are they whom David set over the service of song in the house of the LORD, after that the ark had rest.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 32] (6-17) And they ministered with song before the tabernacle of the tent of meeting, until Solomon had built the house of the LORD in Jerusalem; and they took their station at their service according to their order.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 33] (6-18) And these are they that took their station, and their sons. Of the sons of the Kohathites: Heman the singer, the son of Joel, the son of Samuel;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 34] (6-19) the son of Elkanah, the son of Jeroham, the son of Eliel, the son of Toah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 35] (6-20) the son of Zuph, the son of Elkanah, the son of Mahath, the son of Amasai;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 36] (6-21) the son of Elkanah, the son of Joel, the son of Azariah, the son of Zephaniah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 37] (6-22) the son of Tahath, the son of Assir, the son of Ebiasaph, the son of Korah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 38] (6-23) the son of Izhar, the son of Kohath, the son of Levi, the son of Israel.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 39] (6-24) And his brother Asaph, who stood on his right hand; even Asaph the son of Berechiah, the son of Shimea;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 40] (6-25) the son of Michael, the son of Baaseiah, the son of Malchijah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 41] (6-26) the son of Ethni, the son of Zerah, the son of Adaiah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 42] (6-27) the son of Ethan, the son of Zimmah, the son of Shimei;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 43] (6-28) the son of Jahath, the son of Gershom, the son of Levi.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 44] (6-29) And on the left hand their brethren the sons of Merari: Ethan the son of Kishi, the son of Abdi, the son of Malluch;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 45] (6-30) the son of Hashabiah, the son of Amaziah, the son of Hilkiah;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 46] (6-31) the son of Amzi, the son of Bani, the son of Shemer;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 47] (6-32) the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 48] (6-33) And their brethren the Levites were appointed for all the service of the tabernacle of the house of God.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 49] (6-34) But Aaron and his sons offered upon the altar of burnt-offering, and upon the altar of incense, for all the work of the most holy place, and to make atonement for Israel, according to all that Moses the servant of God had commanded.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 50] (6-35) And these are the sons of Aaron: Eleazar his son, Phinehas his son, Abishua his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 51] (6-36) Bukki his son, Uzzi his son, Zerahiah his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 52] (6-37) Meraioth his son, Amariah his son, Ahitub his son;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 53] (6-38) Zadok his son, Ahimaaz his son.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 54] (6-39) Now these are their dwelling-places according to their encampments in their borders: to the sons of Aaron, of the families of the Kohathites, for theirs was the first lot,
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 55] (6-40) to them they gave Hebron in the land of Judah, and the open land round about it;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 56] (6-41) but the fields of the city, and the villages thereof, they gave to Caleb the son of Jephunneh.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 57] (6-42) And to the sons of Aaron they gave the city of refuge, Hebron; Libnah also with the open land about it, and Jattir, and Eshtemoa with the open land about it;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 58] (6-43) and Hilen with the open land about it, Debir with the open land about it;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 59] (6-44) and Ashan with the open land about it, and Beth-shemesh with the open land about it;
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 60] (6-45) and out of the tribe of Benjamin: Geba with the open land about it, and Alemeth with the open land about it, and Anathoth with the open land about it. All their cities throughout their families were thirteen cities.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 61] (6-46) And unto the rest of the sons of Kohath were given by lot, out of the family of the tribe, out of the half-tribe, the half of Manasseh, ten cities.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 62] (6-47) And to the sons of Gershom, according to their families, out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 63] (6-48) Unto the sons of Merari were given by lot, according to their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 64] (6-49) So the children of Israel gave to the Levites the cities with the open land about them.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 65] (6-50) And they gave by lot out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Benjamin, these cities which are mentioned by name.
[JPS | EN | OT | 1 Chronicles | Chapter 6 | Verse 66] (6-51) And some of the families of the sons of Kohath had cities of their borders out of the tribe of Ephraim.
