[IRV | PA | NT | John | Chapter 15 | Verse 1] ਯਿਸੂ ਨੇ ਕਿਹਾ, “ਮੈਂ ਅੰਗੂਰ ਦੀ ਸੱਚੀ ਵੇਲ ਹਾਂ, ਮੇਰਾ ਪਿਤਾ ਬਾਗਵਾਨ ਹੈ।”
[IRV | PA | NT | John | Chapter 15 | Verse 15] ਮੈਂ ਤੁਹਾਨੂੰ ਹੁਣ ਦਾਸ ਕਹਿ ਕੇ ਨਹੀਂ ਬੁਲਾਉਂਦਾ ਕਿਉਂਕਿ ਇੱਕ ਦਾਸ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਉਸਦਾ ਮਾਲਕ ਕੀ ਕਰ ਰਿਹਾ ਹੈ। ਪਰ ਹੁਣ ਮੈਂ ਤੁਹਾਨੂੰ ਆਪਣਾ ਮਿੱਤਰ ਕਹਿ ਕੇ ਬੁਲਾਵਾਂਗਾ। ਕਿਉਂਕਿ ਜੋ ਕੁਝ ਮੈਂ ਆਪਣੇ ਪਿਤਾ ਕੋਲੋਂ ਸੁਣਿਆ ਹੈ ਤੁਹਾਨੂੰ ਸਭ ਕੁਝ ਦੱਸ ਦਿੱਤਾ ਹੈ।
[IRV | PA | NT | John | Chapter 15 | Verse 16] “ਤੁਸੀਂ ਮੈਨੂੰ ਨਹੀਂ ਚੁਣਿਆ, ਪਰ ਮੈਂ ਤੁਹਾਨੂੰ ਚੁਣਿਆ ਹੈ। ਮੈਂ ਤੁਹਾਨੂੰ ਠਹਿਰਾਇਆ ਹੈ ਤਾਂ ਕਿ ਤੁਸੀਂ ਜਾਓ ਅਤੇ ਫਲਦਾਰ ਹੋ ਸਕੋ। ਤੁਹਾਡਾ ਫਲ ਸਦਾ ਤੁਹਾਡੇ ਜੀਵਨ ਵਿੱਚ ਰਹੇ ਤਾਂ ਜੋ ਕੁਝ ਵੀ ਤੁਸੀਂ ਮੇਰੇ ਨਾਮ ਵਿੱਚ ਮੰਗੋਂ ਪਿਤਾ ਤੁਹਾਨੂੰ ਦੇਵੇ।”
[IRV | PA | NT | John | Chapter 15 | Verse 17] ਇੱਕ ਦੂਜੇ ਨਾਲ ਪਿਆਰ ਕਰੋ, ਇਹ ਮੇਰਾ ਤੁਹਾਨੂੰ ਹੁਕਮ ਹੈ।
[IRV | PA | NT | John | Chapter 15 | Verse 18] ਜੇਕਰ ਸੰਸਾਰ ਤੁਹਾਡੇ ਨਾਲ ਨਫ਼ਰਤ ਕਰਦਾ ਹੈ ਤਾਂ ਤੁਹਾਨੂੰ ਯਾਦ ਰੱਖਣਾ ਚਾਹੀਦਾ ਕਿ ਪਹਿਲਾਂ ਸੰਸਾਰ ਨੇ ਮੇਰੇ ਨਾਲ ਵੀ ਨਫ਼ਰਤ ਕਰਦਾ ਸੀ।
[IRV | PA | NT | John | Chapter 15 | Verse 19] ਜੇਕਰ ਤੁਸੀਂ ਸੰਸਾਰ ਦੇ ਹੁੰਦੇ ਤਾਂ ਦੁਨੀਆਂ ਤੁਹਾਨੂੰ ਆਪਣਿਆਂ ਵਾਗੂੰ ਪਿਆਰ ਕਰਦੀ। ਪਰ ਤੁਸੀਂ ਸੰਸਾਰ ਦੇ ਨਹੀਂ ਹੋ ਕਿਉਂਕਿ ਮੈਂ ਤੁਹਾਨੂੰ ਇਸ ਸੰਸਾਰ ਵਿੱਚੋਂ ਚੁਣਿਆ ਹੈ ਇਸੇ ਕਾਰਣ ਸੰਸਾਰ ਨੇ ਤੁਹਾਡੇ ਤੋਂ ਨਫ਼ਰਤ ਕੀਤੀ।
[IRV | PA | NT | John | Chapter 15 | Verse 20] ਯਾਦ ਕਰੋ ਮੈਂ ਤੁਹਾਨੂੰ ਕੀ ਕਿਹਾ ਸੀ: ਇੱਕ ਦਾਸ ਆਪਣੇ ਮਾਲਕ ਨਾਲੋਂ ਵੱਡਾ ਨਹੀਂ ਹੁੰਦਾ। ਜੇਕਰ ਲੋਕਾਂ ਨੇ ਮੈਨੂੰ ਕਸ਼ਟ ਦਿੱਤੇ ਹਨ, ਤਾਂ ਉਹ ਤੁਹਾਨੂੰ ਵੀ ਕਸ਼ਟ ਦੇਣਗੇ। ਜੇਕਰ ਉਨ੍ਹਾਂ ਨੇ ਮੇਰੇ ਬਚਨ ਨੂੰ ਮੰਨਿਆ, ਉਹ ਤੁਹਾਡੇ ਬਚਨ ਦੀ ਵੀ ਪਾਲਣਾ ਕਰਣਗੇ।
[IRV | PA | NT | John | Chapter 15 | Verse 21] ਪਰ ਇਹ ਸਭ ਕੁਝ ਮੇਰੇ ਨਾਮ ਦੇ ਕਾਰਣ ਲੋਕ ਤੁਹਾਡੇ ਨਾਲ ਕਰਨਗੇ ਕਿਉਂਕਿ ਉਹ ਉਸ ਨੂੰ ਨਹੀਂ ਜਾਣਦੇ ਜਿਸ ਨੇ ਮੈਨੂੰ ਭੇਜਿਆ ਹੈ।
[IRV | PA | NT | John | Chapter 15 | Verse 22] ਜੇਕਰ ਮੈਂ ਨਾ ਆਇਆ ਹੁੰਦਾ ਅਤੇ ਇਸ ਦੁਨੀਆਂ ਦੇ ਲੋਕਾਂ ਨਾਲ ਗੱਲ ਨਾ ਕੀਤੀ ਹੁੰਦੀ, ਤਾਂ ਉਹ ਪਾਪਾਂ ਦੇ ਦੋਸ਼ੀ ਨਾ ਹੁੰਦੇ। ਹੁਣ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਕਿਹਾ ਹੈ, ਹੁਣ ਉਨ੍ਹਾਂ ਕੋਲ ਆਪਣੇ ਪਾਪਾਂ ਲਈ ਕੋਈ ਬਹਾਨਾ ਨਹੀਂ ਹੈ।
[IRV | PA | NT | John | Chapter 15 | Verse 23] ਉਹ ਵਿਅਕਤੀ ਜੋ ਮੇਰੇ ਨਾਲ ਵੈਰ ਕਰਦਾ, ਮੇਰੇ ਪਿਤਾ ਨਾਲ ਵੀ ਵੈਰ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | John | Chapter 15 | Verse 24] ਮੈਂ ਉਹ ਗੱਲਾਂ ਕੀਤੀਆਂ ਹਨ ਜੋ ਕਿਸੇ ਨੇ ਨਹੀਂ ਕੀਤੀਆਂ। ਜੇਕਰ ਮੈਂ ਉਹ ਗੱਲਾਂ ਨਾ ਕੀਤੀਆਂ ਹੁੰਦੀਆਂ, ਫ਼ੇਰ ਉਹ ਪਾਪਾਂ ਦੇ ਦੋਸ਼ੀ ਨਾ ਹੁੰਦੇ। ਪਰ ਹੁਣ ਉਨ੍ਹਾਂ ਨੇ ਇਹ ਗੱਲਾਂ ਵੇਖੀਆਂ ਹਨ, ਜੋ ਮੈਂ ਕੀਤੀਆਂ ਹਨ। ਪਰ ਹਾਲੇ ਵੀ ਉਹ ਮੇਰੇ ਨਾਲ, ਇਥੋਂ ਤੱਕ ਕਿ ਮੇਰੇ ਪਿਤਾ ਨਾਲ ਵੀ ਵੈਰ ਕਰਦੇ ਹਨ।
[IRV | PA | NT | John | Chapter 15 | Verse 25] ਪਰ ਇਹ ਇਸ ਲਈ ਹੋਇਆ ਹੈ ਕਿਉਂਕਿ ਜੋ ਭਵਿੱਖਬਾਣੀ ਉਨ੍ਹਾਂ ਦੀ ਬਿਵਸਥਾ ਵਿੱਚ ਲਿਖੀ ਹੋਈ ਸੱਚ ਹੋ ਜਾਵੇ। “ਉਨ੍ਹਾਂ ਨੇ ਬਿਨ੍ਹਾਂ ਕਾਰਨ ਤੋਂ ਮੇਰੇ ਨਾਲ ਨਫ਼ਰਤ ਕੀਤੀ।”
[IRV | PA | NT | John | Chapter 15 | Verse 26] ਮੈਂ ਤੁਹਾਨੂੰ ਪਿਤਾ ਵੱਲੋਂ ਸਹਾਇਕ ਭੇਜਾਂਗਾ। ਉਹ ਸਹਾਇਕ ਸੱਚ ਦਾ ਆਤਮਾ ਹੈ ਜੋ ਪਿਤਾ ਕੋਲੋਂ ਆਉਂਦਾ ਹੈ। ਜਦੋਂ ਉਹ ਆਵੇਗਾ ਤਾਂ ਉਹ ਮੇਰੇ ਹੱਕ ਵਿੱਚ ਗਵਾਹੀ ਦੇਵੇਗਾ।
[IRV | PA | NT | John | Chapter 15 | Verse 27] ਅਤੇ ਤੁਸੀਂ ਵੀ ਮੇਰੇ ਗਵਾਹ ਹੋਵੋਗੇ ਕਿਉਂਕਿ ਤੁਸੀਂ ਸ਼ੁਰੂ ਤੋਂ ਮੇਰੇ ਨਾਲ ਹੋ।
