[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These are the sons of Israel: Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 22] And Segub begat Jair, who had three and twenty cities in the land of Gilead.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 23] And Geshur and Aram took the towns of Jair from them, with Kenath, and the villages thereof, even threescore cities. All these were the sons of Machir the father of Gilead.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 24] And after that Hezron was dead in Caleb-ephrathah, then Abijah Hezron’s wife bare him Ashhur the father of Tekoa.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 25] And the sons of Jerahmeel the firstborn of Hezron were Ram the firstborn, and Bunah, and Oren, and Ozem, Ahijah.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 26] And Jerahmeel had another wife, whose name was Atarah; she was the mother of Onam.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 27] And the sons of Ram the firstborn of Jerahmeel were Maaz, and Jamin, and Eker.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 28] And the sons of Onam were Shammai, and Jada. And the sons of Shammai: Nadab, and Abishur.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 29] And the name of the wife of Abishur was Abihail; and she bare him Ahban, and Molid.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 30] And the sons of Nadab: Seled, and Appaim; but Seled died without children.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 31] And the sons of Appaim: Ishi. And the sons of Ishi: Sheshan. And the sons of Sheshan: Ahlai.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 32] And the sons of Jada the brother of Shammai: Jether, and Jonathan; and Jether died without children.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 33] And the sons of Jonathan: Peleth, and Zaza. These were the sons of Jerahmeel.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 34] Now Sheshan had no sons, but daughters. And Sheshan had a servant, an Egyptian, whose name was Jarha.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 35] And Sheshan gave his daughter to Jarha his servant to wife; and she bare him Attai.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 36] And Attai begat Nathan, and Nathan begat Zabad,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 37] and Zabad begat Ephlal, and Ephlal begat Obed,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 38] and Obed begat Jehu, and Jehu begat Azariah,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 39] and Azariah begat Helez, and Helez begat Eleasah,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 40] and Eleasah begat Sismai, and Sismai begat Shallum,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 41] and Shallum begat Jekamiah, and Jekamiah begat Elishama.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 42] And the sons of Caleb the brother of Jerahmeel were Mesha his firstborn, who was the father of Ziph; and the sons of Mareshah the father of Hebron.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 43] And the sons of Hebron: Korah, and Tappuah, and Rekem, and Shema.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 44] And Shema begat Raham, the father of Jorkeam; and Rekem begat Shammai.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 45] And the son of Shammai was Maon; and Maon was the father of Beth-zur.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 46] And Ephah, Caleb’s concubine, bare Haran, and Moza, and Gazez; and Haran begat Gazez.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 47] And the sons of Jahdai: Regem, and Jotham, and Geshan, and Pelet, and Ephah, and Shaaph.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 48] Maacah, Caleb’s concubine, bare Sheber and Tirhanah.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 49] She bare also Shaaph the father of Madmannah, Sheva the father of Machbenah, and the father of Gibea; and the daughter of Caleb was Achsah.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 50] These were the sons of Caleb, the son of Hur, the firstborn of Ephrathah: Shobal the father of Kiriath-jearim,
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 51] Salma the father of Beth-lehem, Hareph the father of Beth-gader.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 52] And Shobal the father of Kiriath-jearim had sons: Haroeh, half of the Menuhoth.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 53] And the families of Kiriath-jearim: The Ithrites, and the Puthites, and the Shumathites, and the Mishraites; of them came the Zorathites and the Eshtaolites.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 54] The sons of Salma: Beth-lehem, and the Netophathites, Atroth-beth-joab, and half of the Manahathites, the Zorites.
[ASV | EN | OT | 1 Chronicles | Chapter 2 | Verse 55] And the families of scribes that dwelt at Jabez: the Tirathites, the Shimeathites, the Sucathites. These are the Kenites that came of Hammath, the father of the house of Rechab.
