[BBE | EN | OT | Joshua | Chapter 21 | Verse 1] Then the heads of the families of the Levites came to Eleazar the priest and Joshua, the son of Nun, and to the heads of families of the tribes of the children of Israel;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 17] And from the tribe of Benjamin they gave Gibeon and Geba with their grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 18] Anathoth and Almon with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 19] Thirteen towns with their grass-lands were given to the children of Aaron, the priests.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 20] The rest of the families of the children of Kohath, the Levites, were given towns from the tribe of Ephraim.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 21] And they gave them Shechem with its grass-lands in the hill-country of Ephraim, the town where the taker of life might be safe, and Gezer with its grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 22] And Kibzaim and Beth-horon with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 23] And from the tribe of Dan, Elteke and Gibbethon with their grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 24] Aijalon and Gath-rimmon with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 25] And from the half-tribe of Manasseh, Taanach and Gath-rimmon with their grass-lands, two towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 26] All the towns of the rest of the families of the children of Kohath were ten with their grass-lands.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 27] And to the children of Gershon, of the families of the Levites, they gave from the half-tribe of Manasseh, Golan in Bashan with its grass-lands, the town where the taker of life might be safe, and Ashtaroth with its grass-lands, two towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 28] And from the tribe of Issachar, Kishion and Daberath with their grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 29] Jarmuth and En-gannim with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 30] And from the tribe of Asher, Mishal and Abdon, with their grass-lands:
[BBE | EN | OT | Joshua | Chapter 21 | Verse 31] Helkath and Rehob with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 32] And from the tribe of Naphtali, Kedesh in Galilee with its grass-lands, the town where the taker of life might be safe, and Hammoth-dor and Kartan with their grass-lands, three towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 33] All the towns of the Gershonites with their families were thirteen with their grass-lands.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 34] And to the rest of the Levites, that is, the families of the children of Merari, they gave from the tribe of Zebulun, Jokneam and Kartah with their grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 35] Dimnah and Nahalal with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 36] And from the tribe of Reuben, Bezer and Jahaz with their grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 37] Kedemoth and Mephaath with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 38] And from the tribe of Gad, Ramoth in Gilead, the town where the taker of life might be safe, and Mahanaim with their grass-lands;
[BBE | EN | OT | Joshua | Chapter 21 | Verse 39] Heshbon and Jazer with their grass-lands, four towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 40] All these towns were given to the children of Merari by their families, that is, the rest of the families of the Levites; and their heritage was twelve towns.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 41] All the towns of the Levites, among the heritage of the children of Israel, were forty-eight towns with their grass-lands.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 42] Every one of these towns had grass-lands round it.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 43] So the Lord gave to Israel all the land which he gave by oath to their fathers; so it became their heritage and their living-place.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 44] And the Lord gave them peace on every side, as he had said to their fathers: all those who were against them gave way before them, for the Lord gave them all up into their hands.
[BBE | EN | OT | Joshua | Chapter 21 | Verse 45] The Lord kept faith with the house of Israel about all the good which he said he would do for them, and all his words came true.
