[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These [are] sons of Israel: Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 24] And after the death of Hezron in Caleb-Ephratah, then the wife of Hezron, Abijah, even beareth to him Asshur, father of Tekoa.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 25] And sons of Jerahmeel, first-born of Hezron, are: the first-born Ram, and Bunah, and Oren, and Ozem, Ahijah.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 26] And Jerahmeel hath another wife, and her name [is] Atarah, she [is] mother of Onam.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 27] And sons of Ram, first-born of Jerahmeel, are Maaz, and Jamin, and Eker.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 28] And sons of Onam are Shammai and Jada. And sons of Shammai: Nadab and Abishur.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 29] And the name of the wife of Abishur [is] Abihail, and she beareth to him Ahban and Molid.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 30] And sons of Nadab: Seled, and Appaim; and Seled dieth without sons.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 31] And sons of Appaim: Ishi. And sons of Ishi: Sheshan. And sons of Sheshan: Ahlai.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 32] And sons of Jada, brother of Shammai: Jether, and Jonathan: and Jether dieth without sons.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 33] And sons of Jonathan: Peleth, and Zaza. These were sons of Jerahmeel.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 34] And Sheshan had no sons, but daughters, and Sheshan hath a servant, an Egyptian, and his name [is] Jarha,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 35] and Sheshan giveth his daughter to Jarha his servant for a wife, and she beareth to him Attai;
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 36] and Attai begat Nathan, and Nathan begat Zabad,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 37] and Zabad begat Ephlal, and Ephlal begat Obed,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 38] and Obed begat Jehu,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 39] and Jehu begat Azariah, and Azariah begat Helez, and Helez begat Eleasah,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 40] and Eleasah begat Sismai, and Sismai begat Shallum,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 41] and Shallum begat Jekamiah, and Jekamiah begat Elishama.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 42] And sons of Caleb brother of Jerahmeel: Mesha his first-born, he [is] father of Ziph; and sons of Mareshah: Abi-Hebron.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 43] And sons of Hebron: Korah, and Tappuah, and Rekem, and Shema.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 44] And Shema begat Raham father of Jorkoam, and Rekem begat Shammai.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 45] And a son of Shammai [is] Maon, and Maon [is] father of Beth-Zur.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 46] And Ephah concubine of Caleb bare Haran, and Moza, and Gazez; and Haran begat Gazez.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 47] And sons of Jahdai: Regem, and Jotham, and Geshem, and Pelet, and Ephah, and Shaaph.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 48] The concubine of Caleb, Maachah, bare Sheber and Tirhanah;
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 49] and she beareth Shaaph father of Madmannah, Sheva father of Machbenah, and father of Gibea; and a daughter of Caleb [is] Achsa.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 50] These were sons of Caleb son of Hur, first-born of Ephrathah: Shobal father of Kirjath-Jearim,
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 51] Salma father of Beth-Lehem, Hareph father of Beth-Gader.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 52] And there are sons to Shobal father of Kirjath-Jearim: Haroeh, half of the Menuhothite;
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 53] and the families of Kirjath-Jearim: the Ithrite, and the Puhite, and the Shumathite, and the Mishraite: from these went out the Zareathite, and the Eshtaulite.
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 54] Sons of Salma: Beth-Lehem, and the Netophathite, Atroth, Beth-Joab, and half of the Menuhothite, the Zorite;
[YLT | EN | OT | 1 Chronicles | Chapter 2 | Verse 55] and the families of the scribes the inhabitants of Jabez: Tirathites, Shimeathites, Suchathites. They [are] the Kenites, those coming of Hammath father of the house of Rechab.
