[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] And gathered are all Israel unto David to Hebron, saying, 'Lo, thy bone and thy flesh [are] we;
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 21] Of the three by the two he is honoured, and becometh their head; and unto the [first] three he hath not come.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 22] Benaiah son of Jehoiada, son of a man of valour, of great deeds, from Kabzeel: he hath smitten the two lion-like Moabites, and he hath gone down and smitten the lion in the midst of the pit, in the day of snow.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 23] And he hath smitten the man, the Egyptian — a man of measure, five by the cubit — and in the hand of the Egyptian [is] a spear like a beam of weavers, and he goeth down unto him with a rod, and taketh violently away the spear out of the hand of the Egyptian, and slayeth him with his own spear.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 24] These [things] hath Benaiah son of Jehoiada done, and hath a name among the three mighty ones.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 25] Of the thirty, lo, he [is] honoured, and unto the [first] three he hath not come, and David setteth him over his guard.
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 26] And the mighty ones of the forces [are] Asahel brother of Joab, Elhanan son of Dodo of Beth-Lehem,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 27] Shammoth the Harorite, Helez the Pelonite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 28] Ira son of Ikkesh the Tekoite, Abi-Ezer the Annethothite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 29] Sibbecai the Hushathite, Ilai the Ahohite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 30] Maharai the Netophathite, Heled son of Baanah the Netophathite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 31] Ithai son of Ribai of Gibeah, of the sons of Benjamin, Benaiah the Pirathonite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 32] Hurai of the brooks of Gaash, Abiel the Arbathite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 33] Azmaveth the Baharumite, Eliahba the Shaalbonite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 34] the sons of Hashem the Gizonite, Jonathan son of Shage the Hararite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 35] Ahiam son of Sacar the Hararite, Eliphal son of Ur,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 36] Hepher the Mecherathite, Ahijah the Pelonite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 37] Hezor the Carmelite, Naarai son of Ezbai,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 38] Joel brother of Nathan, Mibhar son of Haggeri,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 39] Zelek the Ammonite, Naharai the Berothite, bearer of the weapons of Joab son of Zeruiah,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 40] Ira the Ithrite, Gareb the Ithrite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 41] Uriah the Hittite, Zabad son of Ahlai,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 42] Adina son of Shiza the Reubenite, head of the Reubenites, and by him thirty,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 43] Hanan son of Maachah, and Joshaphat the Mithnite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 44] Uzzia the Ashterathite, Shama and Jehiel sons of Hothan the Aroerite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 45] Jediael son of Shimri, and Joha his brother the Tizite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 46] Eliel the Mahavite, and Jeribai, and Joshaviah, sons of Elnaam, and Ithmah the Moabite,
[YLT | EN | OT | 1 Chronicles | Chapter 11 | Verse 47] Eliel, and Obed, and Jaasiel the Mesobaite.
