[IRV | UR | OT | Isaiah | Chapter 45 | Verse 1] ख़ुदावन्द अपने मम्सूह ख़ोरस के हक़ में यूँ फ़रमाता है कि मैंने उसका दहना हाथ पकड़ा कि उम्मतों को उसके सामने ज़ेर करूँ और बादशाहों की कमरें खुलवा डालूँ और दरवाज़ों को उसके लिए खोल दूँ और फाटक बन्द न किए जाएँ,
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 14] ख़ुदावन्द यूँ फ़रमाता है, कि “मिस्र की दौलत, और कूश की तिजारत, और सबा के कद्दावर लोग तेरे पास आएँगे और तेरे होंगे; वह तेरी पैरवी करेंगे, वह बेड़ियाँ पहने हुए अपना मुल्क छोड़कर आयेंगे और तेरे सामने सिज्दा करेंगे; वह तेरी मिन्नत करेंगे और कहेंगे, यक़ीनन ख़ुदा तुझमें है और कोई दूसरा नहीं और उसके सिवा कोई ख़ुदा नहीं।”
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 15] ऐ इस्राईल के ख़ुदा, ऐ नजात देनेवाले, यक़ीनन तू पोशीदा ख़ुदा है।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 16] बुत बनानेवाले सब के सब पशेमाँ और सरासीमा होंगे, वह सब के सब शर्मिन्दा होंगे।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 17] लेकिन ख़ुदावन्द इस्राईल को बचा कर हमेशा की नजात बख़्शेगा; तुम हमेशा से हमेशा तक कभी पशेमाँ और सरासीमा न होगे।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 18] क्यूँकि ख़ुदावन्द जिसने आसमान पैदा किए, वही ख़ुदा है; उसी ने ज़मीन बनाई और तैयार की, उसी ने उसे क़ाईम किया; उसने उसे सुन्सान पैदा नहीं किया बल्कि उसको आबादी के लिए आरास्ता किया। वह यूँ फ़रमाता है, कि “मैं ख़ुदावन्द हूँ, और मेरे 'अलावाह और कोई नहीं।”
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 19] मैंने ज़मीन की किसी तारीक जगह में, पोशीदगी में तो कलाम नहीं किया; मैंने या'क़ूब की नस्ल को नहीं फ़रमाया कि 'अबस मेरे तालिब हो। मैं ख़ुदावन्द सच कहता हूँ, और रास्ती की बातें बयान फ़रमाता हूँ।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 20] तुम जो क़ौमों में से बच निकले हो! जमा' होकर आओ मिलकर नज़दीक हो वह जो अपनी लकड़ी की खोदी हुई मूरत ख़ुदा के नाम से लिए फिरते हैं, और ऐसे मा'बूद से जो बचा नहीं सकता दुआ करते हैं, अक़्ल से ख़ाली हैं।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 21] तुम 'ऐलान करो और उनको नज़दीक लाओ; हाँ, वह एक साथ मशवरत करें, किसने पहले ही से ये ज़ाहिर किया? किसने पिछले दिनों में इसकी ख़बर पहले ही से दी है? क्या मैं ख़ुदावन्द ही ने ये नहीं किया? इसलिए मेरे 'अलावाह कोई ख़ुदा नहीं है; सादिक़ — उल — क़ौल और नजात देनेवाला ख़ुदा मेरे 'अलावाह कोई नहीं।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 22] 'ऐ इन्तिहा — ए — ज़मीन के सब रहनेवालो, तुम मेरी तरफ़ मुत्वज्जिह हो और नजात पाओ, क्यूँकि मैं ख़ुदा हूँ और मेरे 'अलावाह कोई नहीं।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 23] मैंने अपनी ज़ात की क़सम खाई है, कलाम — ए — सिद्क़ मेरे मुँह से निकला है और वह टलेगा नहीं', कि 'हर एक घुटना मेरे सामने झुकेगा और हर एक ज़बान मेरी क़सम खाएगी।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 24] मेरे हक़ में हर एक कहेगा कि यक़ीनन ख़ुदावन्द ही में रास्तबाज़ी और तवानाई है, उसी के पास वह आएगा और सब जो उससे बेज़ार थे पशेमाँ होंगे।
[IRV | UR | OT | Isaiah | Chapter 45 | Verse 25] इस्राईल की कुल नस्ल ख़ुदावन्द में सादिक़ ठहरेगी और उस पर फ़ख़्र करेगी।
