[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 1] And Jesus went out, and departed from the temple: and his disciples came to him to show him the buildings of the temple.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 24] For false Christs will arise, and false prophets, and will show great signs and wonders; so that, if it were possible, they would deceive the very elect.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 25] Behold, I have told you before.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 26] Wherefore, if they shall say to you, Behold, he is in the desert; go not forth: behold, he is in the secret chambers; believe it not.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 27] For as the lightning cometh out of the east, and shineth even to the west; so shall also the coming of the Son of man be.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 28] For wherever the carcass is, there will the eagles be collected.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 29] Immediately after the tribulation of those days, shall the sun be darkened, and the moon shall not give her light, and the stars shall fall from heaven, and the powers of the heavens shall be shaken:
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 30] And then shall appear the sign of the Son of man in heaven: and then shall all the tribes of the earth mourn, and they shall see the Son of man coming in the clouds of heaven with power and great glory.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 31] And he will send his angels with a great sound of a trumpet, and they will gather his elect from the four winds, from one end of heaven to the other.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 32] Now learn a parable of the fig-tree; When its branch is yet tender and putteth forth leaves, ye know that summer is nigh:
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 33] So likewise ye, when ye shall see all these things, know that it is near, even at the doors.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 34] Verily I say to you, This generation shall not pass, till all these things shall be fulfilled.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 35] Heaven and earth shall pass away, but my words shall not pass away.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 36] But of that day and hour knoweth no man , no, not the angels of heaven, but my Father only.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 37] But as the days of Noah were , so will also the coming of the Son of man be.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 38] For as in the days that were before the flood, they were eating and drinking, marrying and giving in marriage, until the day that Noah entered into the ark,
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 39] And knew not until the flood came, and took them all away: so also will be the coming of the Son of man.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 40] Then will two be in the field; the one shall be taken, and the other left.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 41] Two women will be grinding at the mill; the one shall be taken, and the other left.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 42] Watch therefore; for ye know not what hour your Lord cometh.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 43] But know this, that if the master of the house knew in what watch the thief would come, he would watch, and would not suffer his house to be broken up.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 44] Therefore be ye also ready: for in such an hour as ye think not, the Son of man cometh.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 45] Who then is a faithful and wise servant, whom his Lord hath made ruler over his household, to give them food in due season?
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 46] Blessed is that servant, whom his lord, when he cometh, shall find so doing.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 47] Verily I say to you, that he will make him ruler over all his goods.
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 48] But if that evil servant shall say in his heart, My Lord delayeth his coming;
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 49] And shall begin to beat his fellow-servants, and to eat and drink with the drunken;
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 50] The Lord of that servant will come in a day when he looketh not for him , and in an hour that he is not aware of,
[WEBSTER | EN | NT | Matthew | Chapter 24 | Verse 51] And will cut him asunder, and appoint him his portion with the hypocrites: there shall be weeping and gnashing of teeth.
