[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 1] And take thou to thee Aaron thy brother, and his sons with him, from among the children of Israel, that he may minister to me in the priest's office, even Aaron, Nadab and Abihu, Eleazar and Ithamar, Aaron's sons.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 14] And two chains of pure gold at the ends; of wreathed work shalt thou make them, and fasten the wreathed chains to the ouches.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 15] And thou shalt make the breast-plate of judgment with curious work; after the work of the ephod thou shalt make it; of gold, of blue, and of purple, and of scarlet, and of fine twined linen shalt thou make it.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 16] Foursquare it shall be, being doubled; a span shall be its length, and a span shall be its breadth.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 17] And thou shalt set in it settings of stones, even four rows of stones: the first row shall be a sardius, a topaz, and a carbuncle: this shall be the first row.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 18] And the second row shall be an emerald, a sapphire, and a diamond.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 19] And the third row a ligure, an agate, and an amethyst.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 20] And the fourth row a beryl, and an onyx, and a jasper: they shall be set in gold in their inclosings.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 21] And the stones shall be with the names of the children of Israel, twelve, according to their names, like the engravings of a signet; every one with his name shall they be according to the twelve tribes.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 22] And thou shalt make upon the breast-plate chains at the ends of wreathed work of pure gold.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 23] And thou shalt make upon the breast-plate two rings of gold, and shalt put the two rings on the two ends of the breast-plate.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 24] And thou shalt put the two wreathed chains of gold in the two rings which are on the ends of the breast-plate.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 25] And the other two ends of the two wreathed chains thou shalt fasten in the two ouches, and put them on the shoulder-pieces of the ephod before it.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 26] And thou shalt make two rings of gold, and thou shalt put them upon the two ends of the breast-plate in its border, which is in the side of the ephod inward.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 27] And two other rings of gold thou shalt make, and shalt put them on the two sides of the ephod underneath, towards the forepart of it, over against the other coupling thereof, above the curious girdle of the ephod.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 28] And they shall bind the breast-plate by its rings to the rings of the ephod with a lace of blue, that it may be above the curious girdle of the ephod, and that the breast-plate be not loosed from the ephod.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 29] And Aaron shall bear the names of the children of Israel in the breast-plate of judgment upon his heart, when he entereth into the holy place, for a memorial before the LORD continually.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 30] And thou shalt put in the breast-plate of judgment the Urim and the Thummim; and they shall be upon Aaron's heart, when he goeth in before the LORD: and Aaron shall bear the judgment of the children of Israel upon his heart before the LORD continually.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 31] And thou shalt make the robe of the ephod all of blue.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 32] And there shall be a hole in the top of it, in the midst of it: it shall have a binding of woven work round about the hole of it, as the hole of an habergeon, that it be not rent.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 33] And beneath, upon the hem of it thou shalt make pomegranates of blue, and of purple, and of scarlet, round about its hem; and bells of gold between them around it.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 34] A golden bell and a pomegranate, a golden bell and a pomegranate, upon the hem of the robe around it.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 35] And it shall be upon Aaron, to minister: and his sound shall be heard when he goeth in to the holy place before the LORD, and when he cometh out; that he may not die.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 36] And thou shalt make a plate of pure gold, and engrave upon it, like the engravings of a signet, HOLINESS TO THE LORD.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 37] And thou shalt put it on a blue lace, that it may be upon the miter; upon the front of the miter it shall be.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 38] And it shall be upon Aaron's forehead, that Aaron may bear the iniquity of the holy things, which the children of Israel shall hallow in all their holy gifts; and it shall be always upon his forehead, that they may be accepted before the LORD.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 39] And thou shalt embroider the coat of fine linen, and thou shalt make the miter of fine linen, and thou shalt make the girdle of needle-work.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 40] And for Aaron's sons thou shalt make coats, and thou shalt make for them girdles, and bonnets shalt thou make for them, for glory and for beauty.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 41] And thou shalt put them upon Aaron thy brother, and on his sons with him: and shalt anoint them, and consecrate them, and sanctify them, that they may minister to me in the priest's office.
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 42] And thou shalt make them linen breeches to cover their nakedness: from the loins even to the thighs they shall reach:
[WEBSTER | EN | OT | Exodus | Chapter 28 | Verse 43] And they shall be upon Aaron, and upon his sons, when they enter in to the tabernacle of the congregation, or when they come near to the altar to minister in the holy place; that they bear not iniquity, and die. It shall be a statute for ever to him, and to his seed after him.
