[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 1] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 26] And thou shalt make for it four rings of gold, and put the rings in the four corners that are on its four feet.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 27] Over against the border shall the rings be for places of the staffs to bear the table.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 28] And thou shalt make the staffs of shittim wood, and overlay them with gold, that the table may be borne with them.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 29] And thou shalt make its dishes, and its spoons, and its covers, and its bowls, to cover it with: of pure gold shalt thou make them.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 30] And thou shalt set upon the table show-bread before me always.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 31] And thou shalt make a candlestick of pure gold: of beaten work shall the candlestick be made: its shaft, and its branches, its bowls, its knobs, and its flowers, shall be of the same.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 32] And six branches shall extend from the sides of it; three branches of the candlestick from the one side, and three branches of the candlestick from the other side:
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 33] Three bowls made like to almonds, with a knob and a flower in one branch; and three bowls made like almonds in the other branch, with a knob and a flower: so in the six branches that project from the candlestick.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 34] And in the candlesticks shall be four bowls made like to almonds, with their knobs and their flowers.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 35] And there shall be a knob under two branches of the same, and a knob under two branches of the same, and a knob under two branches of the same, according to the six branches that project from the candlestick.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 36] Their knobs and their branches shall be of the same: all of it shall be one beaten work of pure gold.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 37] And thou shalt make its seven lamps: and they shall light its lamps, that they may give light over against it.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 38] And its tongs, and its snuff-dishes, shall be of pure gold.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 39] Of a talent of pure gold shall he make it, with all these vessels.
[WEBSTER | EN | OT | Exodus | Chapter 25 | Verse 40] And look that thou make them after their pattern, which was shown thee on the mount.
