[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 1] और बिनयमीन से उसका पहलौठा बाला' पैदा हुआ, दूसरा और अशबेल, तीसरा अख़िरख़,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 24] औरे हनानियाह और ऐलाम और अंतूतियाह,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 25] और यफ़दियाह और फ़नूएल, जो बनी शाशक़ हैं।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 26] और समसरी और शहारियाह और 'अतालियाह,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 27] और या'रसियाह और एलियाह और ज़िकरी जो बनी यरोहाम हैं।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 28] यह अपनी नसलों में आबाई ख़ानदानों के सरदार और रईस थे और येरूशलेम में रहते थे।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 29] और जिबा'ऊन में जिबा'ऊन का बाप रहता था, जिसकी बीवी का नाम मा'का था।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 30] और उसका पहलौठा बेटा 'अबदोन, और सूर और क़ीस, और बा'ल और नदब,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 31] और जदूर और अख़ियो और ज़कर,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 32] और मिक़लोत से सिमाह पैदा हुआ, और वह भी अपने भाइयों के साथ येरूशलेम में अपने भाइयों के सामने रहते थे।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 33] और नयिर से क़ीस पैदा हुआ, क़ीस से साऊल पैदा हुआ, और साऊल से यहूनतन और मलकीशू और अबीनदाब और इशबा'ल पैदा हुए;
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 34] और यहूनतन का बेटा मरीबबा'ल था, मरीबबा'ल से मीकाह पैदा हुआ।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 35] और बनी मीकाह: फ़ीतूँ और मलिक और तारी' और आख़ज़ थे।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 36] और आख़ज़ से यहू'अदा पैदा हुआ, और यहू'अदा से 'अलमत और 'अज़मावत और ज़िमरी पैदा हुए; और ज़िमरी से मौज़ा पैदा हुआ।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 37] और मौज़ा से बिन'आ पैदा हुआ; बिन'आ का बेटा राफ़ा', राफ़ा' का बेटा इलि, आसा, और इलि, आसा का बेटा असील,
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 38] और असील के छ: बेटे थे जिनके नाम यह हैं: 'अज़रिक़ाम, बोकिरू, और इस्मा'ईल और सग़रियाह और 'अबदियाह और हनान; यह सब असील के बेटे थे।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 39] और उसके भाई 'ईशक़ के बेटे यह हैं: उसका पहलौठा औलाम दूसरा य'ओस, तीसरा इलिफ़ालत।
[IRV | UR | OT | 1 Chronicles | Chapter 8 | Verse 40] और औलाम के बेटे ताक़तवर सूर्मा और तीरंदाज़ थे, और उसके बहुत से बेटे और पोते थे जो डेढ़ सौ थे। यह सब बनी बिन यमीन में से थे।
