[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 1] Now these are the priests and the Levites that went up with Zerubbabel the son of Shealtiel, and Jeshua: Seraiah, Jeremiah, Ezra,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 25] Mattaniah, and Bakbukiah, Obadiah, Meshullam, Talmon, Akkub, were porters keeping the ward at the threshholds of the gates.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 26] These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest, the scribe.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 27] And at the dedication of the wall of Jerusalem they sought the Levites out of all their places, to bring them to Jerusalem, to keep the dedication with gladness, both with thanksgivings, and with singing, with cymbals, psalteries, and with harps.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 28] And the sons of the singers assembled, both out of the plain country around Jerusalem, and from the villages of Netophathi;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 29] Also from the house of Gilgal, and from the fields of Geba and Azmaveth: for the singers had built them villages around Jerusalem.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 30] And the priests and the Levites purified themselves, and purified the people, and the gates, and the wall.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 31] Then I brought up the princes of Judah upon the wall, and appointed two great companies of them that gave thanks, of which one went on the right hand upon the wall towards the dung-gate:
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 32] And after them went Hoshaiah, and half of the princes of Judah,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 33] And Azariah, Ezra, and Meshullam,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 34] Judah, and Benjamin, and Shemaiah, and Jeremiah,
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 35] And certain of the priests' sons with trumpets; namely , Zechariah the son of Jonathan, the son of Shemaiah, the son of Mattaniah, the son of Michaiah, the son of Zaccur, the son of Asaph:
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 36] And his brethren, Shemaiah, and Azarael, Milalai, Gilalai, Maai, Nethaneel, and Judah, Hanani, with the musical instruments of David the man of God, and Ezra the scribe before them.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 37] And at the fountain-gate, which was over against them, they went up by the stairs of the city of David, at the ascent of the wall, above the house of David, even to the water-gate eastward.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 38] And the other company of them that gave thanks went over against them , and I after them, and the half of the people upon the wall, from beyond the tower of the furnaces even to the broad wall;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 39] And from above the gate of Ephraim, and above the old gate, and above the fish-gate, and the tower of Hananeel, and the tower of Meah, even to the sheep-gate: and they stood still in the prison-gate.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 40] So stood the two companies of them that gave thanks in the house of God, and I, and the half of the rulers with me:
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 41] And the priests; Eliakim, Maaseiah, Miniamin, Michaiah, Elioenai, Zechariah, and Hananiah, with trumpets;
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 42] And Maaseiah, and Shemaiah, and Eleazar, and Uzzi, and Jehohanan, and Malchijah, and Elam, and Ezer. And the singers sang loud, with Jezrahiah their overseer.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 43] Also that day they offered great sacrifices, and rejoiced: for God had made them rejoice with great joy: the wives also and the children rejoiced: so that the joy of Jerusalem was heard even afar off.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 44] And at that time were some appointed over the chambers for the treasures, for the offerings, for the first-fruits, and for the tithes, to gather into them out of the fields of the cities the portions of the law for the priests and Levites: for Judah rejoiced for the priests and for the Levites that waited.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 45] And both the singers and the porters kept the ward of their God, and the ward of the purification, according to the commandment of David, and of Solomon his son.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 46] For in the days of David, and Asaph of old there were chief of the singers, and songs of praise and thanksgiving to God.
[WEBSTER | EN | OT | Nehemiah | Chapter 12 | Verse 47] And all Israel in the days of Zerubbabel, and in the days of Nehemiah, gave the portions of the singers and the porters, every day his portion: and they sanctified holy things to the Levites; and the Levites sanctified them to the children of Aaron.
