[DARBY | EN | OT | Ezra | Chapter 10 | Verse 1] And while Ezra prayed, and made confession, weeping and falling down before the house of God, there were gathered to him out of Israel a very great congregation of men and women and children; for the people wept very much.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 14] Let now our princes, while this matter is going on, stand for all the congregation, and let all those that have taken foreign wives in our cities come at the appointed times, and with them the elders of every city, and the judges thereof, until the fierce anger of our God be turned from us.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 15] Only Jonathan the son of Asahel and Jahzeiah the son of Tikvah stood up against this; and Meshullam and Shabbethai the Levite helped them.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 16] And the children of the captivity did so. And Ezra the priest [and] certain of the chief fathers were separated according to their fathers' houses, and all of them [expressed] by name; and they sat down on the first day of the tenth month to examine the matter.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 17] And they ended with all the men that had taken foreign wives by the first day of the first month.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 18] And among the sons of the priests there were found that had taken foreign wives, of the sons of Jeshua the son of Jozadak, and his brethren: Maaseiah, and Eliezer, and Jarib, and Gedaliah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 19] And they gave their hand to send away their wives; and they offered a ram of the flock, as trespass-offering for their guilt.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 20] And of the children of Immer: Hanani, and Zebadiah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 21] And of the children of Harim: Maaseiah, and Elijah, and Shemaiah, and Jehiel, and Uzziah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 22] And of the children of Pashhur: Elioenai, Maaseiah, Ishmael, Nethaneel, Jozabad, and Elasah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 23] And of the Levites: Jozabad, and Shimei, and Kelaiah (that is, Kelita), Pethahiah, Judah, and Eliezer.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 24] And of the singers: Eliashib. And of the doorkeepers: Shallum, and Telem, and Uri.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 25] And of Israel; of the children of Parosh: Ramiah, and Jizzijah, and Malchijah, and Mijamin, and Eleazar, and Malchijah, and Benaiah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 26] And of the children of Elam: Mattaniah, Zechariah, and Jehiel, and Abdi, and Jeremoth, and Elijah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 27] And of the children of Zattu: Elioenai, Eliashib, Mattaniah, and Jeremoth, and Zabad, and Aziza.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 28] And of the children of Bebai: Jehohanan, Hananiah, Zabbai, Athlai.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 29] And of the children of Bani: Meshullam, Malluch, and Adaiah, Jashub, and Sheal, and Ramoth.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 30] And of the children of Pahath-Moab: Adna, and Chelal, Benaiah, Maaseiah, Mattaniah, Bezaleel, and Binnui, and Manasseh.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 31] And the children of Harim: Eliezer, Jishijah, Malchijah, Shemaiah, Simeon,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 32] Benjamin, Malluch, Shemariah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 33] Of the children of Hashum: Mattenai, Mattattah, Zabad, Eliphelet, Jeremai, Manasseh, Shimei.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 34] Of the sons of Bani: Maadai, Amram, and Uel,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 35] Benaiah, Bediah, Cheluhu,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 36] Vaniah, Meremoth, Eliashib,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 37] Mattaniah, Mattenai, and Jaasai,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 38] and Bani, and Binnui, Shimei,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 39] and Shelemiah, and Nathan, and Adaiah,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 40] Machnadbai, Shashai, Sharai,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 41] Azareel, and Shelemiah, Shemariah,
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 42] Shallum, Amariah, Joseph.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 43] Of the children of Nebo: Jeiel, Mattithiah, Zabad, Zebina, Jaddai, and Joel, Benaiah.
[DARBY | EN | OT | Ezra | Chapter 10 | Verse 44] All these had taken foreign wives; and there were among them wives who had had children.
