[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] Then all Israel gathered themselves to David unto Hebron, saying, Behold, we are thy bone and thy flesh.
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 35] Ahiam the son of Sacar the Hararite, Eliphal the son of Ur,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 36] Hepher the Mecherathite, Ahijah the Pelonite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 37] Hezro the Carmelite, Naarai the son of Ezbai,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 38] Joel the brother of Nathan, Mibhar the son of Haggeri,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 39] Zelek the Ammonite, Naharai the Berothite, the armourbearer of Joab the son of Zeruiah,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 40] Ira the Ithrite, Gareb the Ithrite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 41] Uriah the Hittite, Zabad the son of Ahlai,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 42] Adina the son of Shiza the Reubenite, a captain of the Reubenites, and thirty with him,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 43] Hanan the son of Maachah, and Joshaphat the Mithnite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 44] Uzzia the Ashterathite, Shama and Jehiel the sons of Hothan the Aroerite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 45] Jediael the son of Shimri, and Joha his brother, the Tizite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 46] Eliel the Mahavite, and Jeribai, and Joshaviah, the sons of Elnaam, and Ithmah the Moabite,
[KJV | EN | OT | 1 Chronicles | Chapter 11 | Verse 47] Eliel, and Obed, and Jasiel the Mesobaite.
