[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi; Gershon, Kohath, and Merari.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 42] the son of Ethan, the son of Zimmah, the son of Shimei,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 43] the son of Jahath, the son of Gershom, the son of Levi.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 44] And their brethren the sons of Merari stood on the left hand: Ethan the son of Kishi, the son of Abdi, the son of Malluch,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 45] the son of Hashabiah, the son of Amaziah, the son of Hilkiah,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 46] the son of Amzi, the son of Bani, the son of Shamer,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 47] the son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 48] Their brethren also the Levites were appointed unto all manner of service of the tabernacle of the house of God.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 49] But Aaron and his sons offered upon the altar of the burnt offering, and on the altar of incense, and were appointed for all the work of the place most holy, and to make an atonement for Israel, according to all that Moses the servant of God had commanded.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 50] And these are the sons of Aaron; Eleazar his son, Phinehas his son, Abishua his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 51] Bukki his son, Uzzi his son, Zerahiah his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 52] Meraioth his son, Amariah his son, Ahitub his son,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 53] Zadok his son, Ahimaaz his son.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 54] Now these are their dwelling places throughout their castles in their coasts, of the sons of Aaron, of the families of the Kohathites: for theirs was the lot.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 55] And they gave them Hebron in the land of Judah, and the suburbs thereof round about it.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 56] But the fields of the city, and the villages thereof, they gave to Caleb the son of Jephunneh.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 57] And to the sons of Aaron they gave the cities of Judah, namely, Hebron, the city of refuge, and Libnah with her suburbs, and Jattir, and Eshtemoa, with their suburbs,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 58] and Hilen with her suburbs, Debir with her suburbs,
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 59] and Ashan with her suburbs, and Beth-shemesh with her suburbs:
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 60] and out of the tribe of Benjamin; Geba with her suburbs, and Alemeth with her suburbs, and Anathoth with her suburbs. All their cities throughout their families were thirteen cities.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 61] And unto the sons of Kohath, which were left of the family of that tribe, were cities given out of the half tribe, namely, out of the half tribe of Manasseh, by lot, ten cities.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 62] And to the sons of Gershom throughout their families out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 63] Unto the sons of Merari were given by lot, throughout their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 64] And the children of Israel gave to the Levites these cities with their suburbs.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 65] And they gave by lot out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Benjamin, these cities, which are called by their names.
[KJV | EN | OT | 1 Chronicles | Chapter 6 | Verse 66] And the residue of the families of the sons of Kohath had cities of their coasts out of the tribe of Ephraim.
