[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 1] يَا إِلَهَ تَسْبِيحِي لَا تَسْكُتْ،
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 22] فَإِنِّي فَقِيرٌ وَمِسْكِينٌ أَنَا، وَقَلْبِي مَجْرُوحٌ فِي دَاخِلِي.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 23] كَظِلٍّ عِنْدَ مَيْلِهِ ذَهَبْتُ. ٱنْتَفَضْتُ كَجَرَادَةٍ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 24] رُكْبَتَايَ ٱرْتَعَشَتَا مِنَ ٱلصَّوْمِ، وَلَحْمِي هُزِلَ عَنْ سِمَنٍ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 25] وَأَنَا صِرْتُ عَارًا عِنْدَهُمْ. يَنْظُرُونَ إِلَيَّ وَيُنْغِضُونَ رُؤُوسَهُمْ
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 26] أَعِنِّي يَارَبُّ إِلَهِي. خَلِّصْنِي حَسَبَ رَحْمَتِكَ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 27] وَلْيَعْلَمُوا أَنَّ هَذِهِ هِيَ يَدُكَ. أَنْتَ يَارَبُّ فَعَلْتَ هَذَا.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 28] أَمَّا هُمْ فَيَلْعَنُونَ، وَأَمَّا أَنْتَ فَتُبَارِكُ. قَامُوا وَخَزُوا، أَمَّا عَبْدُكَ فَيَفْرَحُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 29] لِيَلْبِسْ خُصَمَائِي خَجَلًا، وَلْيَتَعَطَّفُوا بِخِزْيِهِمْ كَٱلرِّدَاءِ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 30] أَحْمَدُ ٱلرَّبَّ جِدًّا بِفَمِي، وَفِي وَسَطِ كَثِيرِينَ أُسَبِّحُهُ.
[VANDYKE | AR | OT | Psalms | Chapter 109 | Verse 31] لِأَنَّهُ يَقُومُ عَنْ يَمِينِ ٱلْمَسْكِينِ، لِيُخَلِّصَهُ مِنَ ٱلْقَاضِينَ عَلَى نَفْسِهِ.
