[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 1] And Jehovah spoke to Moses after the death of the two sons of Aaron, when they came near before Jehovah and died;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 19] and he shall sprinkle upon it of the blood with his finger seven times, and cleanse it, and hallow it from the uncleannesses of the children of Israel.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 20] And when he hath ended making atonement for the sanctuary, and the tent of meeting, and the altar, he shall present the living goat;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 21] and Aaron shall lay both his hands on the head of the living goat, and confess over it all the iniquities of the children of Israel, and all their transgressions in all their sins, and he shall put them on the head of the goat, and shall send him away to the wilderness by the hand of a man standing ready;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 22] that the goat may bear upon him all their iniquities to a land apart [from men]; and he shall send away the goat into the wilderness.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 23] And Aaron shall go into the tent of meeting, and shall put off the linen garments, which he put on when he went into the sanctuary, and shall leave them there;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 24] and he shall bathe his flesh with water in a holy place, and put on his garments, and go forth, and offer his burnt-offering, and the burnt-offering of the people, and make atonement for himself, and for the people.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 25] And the fat of the sin-offering shall he burn upon the altar.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 26] And he that letteth go the goat for Azazel shall wash his clothes, and bathe his flesh in water; and afterwards he may come into the camp.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 27] And the bullock of the sin-offering, and the goat of the sin-offering whose blood was brought in to make atonement in the sanctuary, shall one carry forth outside the camp; and they shall burn with fire their skins, and their flesh, and their dung.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 28] And he that burneth them shall wash his clothes, and bathe his flesh in water; and afterwards he may come into the camp.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 29] And this shall be an everlasting statute unto you. In the seventh month, on the tenth of the month, ye shall afflict your souls, and do no work at all, the home-born, and the stranger that sojourneth among you;
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 30] for on that day shall atonement be made for you, to cleanse you: from all your sins shall ye be clean before Jehovah.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 31] A sabbath of rest shall it be unto you, and ye shall afflict your souls: [it is] an everlasting statute.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 32] And the priest who hath been anointed, and who hath been consecrated, to exercise the priesthood in his father's stead, shall make atonement; and he shall put on the linen garments, the holy garments.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 33] And he shall make atonement for the holy sanctuary; and for the tent of meeting, and for the altar shall he make atonement; and for the priests, and for the whole people of the congregation shall he make atonement.
[DARBY | EN | OT | Leviticus | Chapter 16 | Verse 34] And this shall be an everlasting statute unto you, to make atonement for the children of Israel [to cleanse them] from all their sins once a year. And he did as Jehovah had commanded Moses.
