[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 1] And Jehovah spoke to Moses in mount Sinai, saying,
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 17] And ye shall not oppress one another; but thou shalt fear thy God; for I am Jehovah your God.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 18] And ye shall do my statutes, and observe mine ordinances and do them: thus shall ye dwell in your land securely.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 19] And the land shall yield its fruit, and ye shall eat and be satisfied, and dwell therein securely.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 20] And if ye say, What shall we eat in the seventh year? behold, we may not sow, nor gather in our produce;
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 21] then I will command my blessing upon you in the sixth year, that it may bring forth produce for three years;
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 22] and ye shall sow in the eighth year, and ye shall eat of the old fruit until the ninth year; until her produce come in, ye shall eat the old.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 23] And the land shall not be sold for ever; for the land is mine; for ye are strangers and sojourners with me.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 24] And in all the land of your possession ye shall grant a redemption for the land.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 25] If thy brother grow poor, and sell of his possession, then shall his redeemer, his nearest relation, come and redeem that which his brother sold.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 26] And if the man have no one having right of redemption, and his hand have acquired and found what sufficeth for its redemption,
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 27] then shall he reckon the years since the sale thereof, and restore the overplus unto the man to whom he sold it; and so return unto his possession.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 28] And if his hand have not found what sufficeth for him to restore it to him, then that which is sold shall remain in the hand of the purchaser, until the year of jubilee; and in the jubilee it shall go out, and he shall return unto his possession.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 29] And if any one sell a dwelling-house in a walled city, then he shall have the right of redemption up to the end of the year of the sale thereof; for a full year shall he have the right of redemption.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 30] But if it be not redeemed until a whole year is complete, then the house that is in the walled city shall be established for ever to him that bought it, throughout his generations: it shall not go out in the jubilee.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 31] But the houses in villages that have no wall round about them shall be reckoned as the fields of the country: they may be redeemed, and they shall go out in the jubilee.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 32] But as to the cities of the Levites, the houses in the cities of their possession, the Levites shall have a perpetual right of redemption.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 33] And if any one redeem from one of the Levites, then the house that was sold, in the city of his possession, shall go out in the jubilee; for the houses of the cities of the Levites are their possession among the children of Israel.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 34] And the field of the suburbs of their cities shall not be sold; for it is their perpetual possession.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 35] And if thy brother grow poor, and he be fallen into decay beside thee, then thou shalt relieve him, [be he] stranger or sojourner, that he may live beside thee.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 36] Thou shalt take no usury nor increase of him; and thou shalt fear thy God; that thy brother may live beside thee.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 37] Thy money shalt thou not give him upon usury, nor lend him thy victuals for increase.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 38] I am Jehovah your God, who brought you forth out of the land of Egypt, to give you the land of Canaan, to be your God.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 39] And if thy brother grow poor beside thee, and be sold unto thee, thou shalt not compel him to serve as a bondservant:
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 40] as a hired servant, as a sojourner, shall he be with thee; until the year of jubilee shall he serve thee.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 41] Then shall he depart from thee, he and his children with him, and shall return unto his own family, and unto the possession of his fathers shall he return.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 42] For they are my bondmen, whom I brought forth out of the land of Egypt: they shall not be sold as [men] sell bondmen.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 43] Thou shalt not rule over him with rigour; and thou shalt fear thy God.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 44] And as for thy bondman and thy handmaid whom thou shalt have — of the nations that are round about you, of them shall ye buy bondmen and handmaids.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 45] Moreover of the children of them that dwell as sojourners with you, of them may ye buy, and of their family that is with you, which they beget in your land, and they shall be your possession.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 46] And ye shall leave them as an inheritance to your children after you, to inherit them as a possession: these may ye make your bondmen for ever; but as for your brethren, the children of Israel, ye shall not rule over one another with rigour.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 47] And if a stranger or sojourner become wealthy beside thee, and thy brother beside him grow poor, and sell himself unto the stranger, who is settled by thee, or to a scion of the stranger's family,
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 48] after that he is sold there shall be right of redemption for him; one of his brethren may redeem him.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 49] Either his uncle or his uncle's son may redeem him, or one of his next relations of his family may redeem him; or if his means be sufficient, he may redeem himself.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 50] And he shall reckon with him that bought him from the year that he was sold to him unto the year of jubilee; and the price of his sale shall be according to the number of the years, according to the days of a hired servant shall he be with him.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 51] If there are yet many years, according unto them shall he return his redemption [money] out of the money that he was bought for;
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 52] and if there remain but few years unto the year of jubilee, then he shall reckon with him; according unto his [remaining] years [of service] shall he give him back his redemption [money].
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 53] As a hired servant shall he be with him year by year; [his master] shall not rule with rigour over him before thine eyes.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 54] And if he be not redeemed in this manner, then he shall go out in the year of jubilee, he and his children with him.
[DARBY | EN | OT | Leviticus | Chapter 25 | Verse 55] For the children of Israel are servants unto me; they are my servants whom I brought forth out of the land of Egypt: I am Jehovah your God.
