[IRV | UR | NT | Mark | Chapter 3 | Verse 1] और वो इबादतख़ाने में फिर दाख़िल हुआ और वहाँ एक आदमी था, जिसका हाथ सूखा हुआ था।
[IRV | UR | NT | Mark | Chapter 3 | Verse 23] वो उनको पास बुलाकर उनसे मिसालों में कहने लगा “कि शैतान को शैतान किस तरह निकाल सकता है?
[IRV | UR | NT | Mark | Chapter 3 | Verse 24] और अगर किसी सल्तनत में फ़ूट पड़ जाए तो वो सल्तनत क़ाईम नहीं रह सकती।
[IRV | UR | NT | Mark | Chapter 3 | Verse 25] और अगर किसी घर में फ़ूट पड़ जाए तो वो घर क़ाईम न रह सकेगा।
[IRV | UR | NT | Mark | Chapter 3 | Verse 26] और अगर शैतान अपना ही मुख़ालिफ़ होकर अपने में फ़ूट डाले तो वो क़ाईम नहीं रह सकता, बल्कि उसका ख़ातिमा हो जाएगा।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 27] “लेकिन कोई आदमी किसी ताक़तवर के घर में घुसकर उसके माल को लूट नहीं सकता जब तक वो पहले उस ताक़तवर को न बाँध ले तब उसका घर लूट लेगा।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 28] “मैं तुम से सच कहता हूँ, कि बनी आदम के सब गुनाह और जितना कुफ़्र वो बकते हैं मु'आफ़ किया जाएगा।
[IRV | UR | NT | Mark | Chapter 3 | Verse 29] लेकिन जो कोई रूह — उल — क़ुददूस के हक़ में कुफ़्र बके वो हसेशा तक मु'आफ़ी न पाएगा; बल्कि वो हमेशा गुनाह का क़ुसूरवार है।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 30] क्यूँकि वो कहते थे, कि उस में बदरूह है।
[IRV | UR | NT | Mark | Chapter 3 | Verse 31] फिर उसकी माँ और भाई आए और बाहर खड़े होकर उसे बुलवा भेजा।
[IRV | UR | NT | Mark | Chapter 3 | Verse 32] और भीड़ उसके आसपास बैठी थी, उन्होंने उस से कहा “देख तेरी माँ और तेरे भाई बाहर तुझे पूछते हैं”
[IRV | UR | NT | Mark | Chapter 3 | Verse 33] उसने उनको जवाब दिया “मेरी माँ और मेरे भाई कौन हैं?”
[IRV | UR | NT | Mark | Chapter 3 | Verse 34] और उन पर जो उसके पास बैठे थे नज़र करके कहा “देखो, मेरी माँ और मेरे भाई ये हैं।
[IRV | UR | NT | Mark | Chapter 3 | Verse 35] क्यूँकि जो कोई ख़ुदा की मर्ज़ी पर चले वही मेरा भाई और मेरी बहन और माँ है।”
