[YLT | EN | NT | Luke | Chapter 23 | Verse 1] And having risen, the whole multitude of them did lead him to Pilate,
[YLT | EN | NT | Luke | Chapter 23 | Verse 20] Pilate again then — wishing to release Jesus — called to them,
[YLT | EN | NT | Luke | Chapter 23 | Verse 21] but they were calling out, saying, 'Crucify, crucify him.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 22] And he a third time said unto them, 'Why, what evil did he? no cause of death did I find in him; having chastised him, then, I will release [him].'
[YLT | EN | NT | Luke | Chapter 23 | Verse 23] And they were pressing with loud voices asking him to be crucified, and their voices, and those of the chief priests, were prevailing,
[YLT | EN | NT | Luke | Chapter 23 | Verse 24] and Pilate gave judgment for their request being done,
[YLT | EN | NT | Luke | Chapter 23 | Verse 25] and he released him who because of sedition and murder hath been cast into the prison, whom they were asking, and Jesus he gave up to their will.
[YLT | EN | NT | Luke | Chapter 23 | Verse 26] And as they led him away, having taken hold on Simon, a certain Cyrenian, coming from the field, they put on him the cross, to bear [it] behind Jesus.
[YLT | EN | NT | Luke | Chapter 23 | Verse 27] And there was following him a great multitude of the people, and of women, who also were beating themselves and lamenting him,
[YLT | EN | NT | Luke | Chapter 23 | Verse 28] and Jesus having turned unto them, said, 'Daughters of Jerusalem, weep not for me, but for yourselves weep ye, and for your children;
[YLT | EN | NT | Luke | Chapter 23 | Verse 29] for, lo, days do come, in which they shall say, Happy the barren, and wombs that did not bare, and paps that did not give suck;
[YLT | EN | NT | Luke | Chapter 23 | Verse 30] then they shall begin to say to the mountains, Fall on us, and to the hills, Cover us; —
[YLT | EN | NT | Luke | Chapter 23 | Verse 31] for, if in the green tree they do these things — in the dry what may happen?'
[YLT | EN | NT | Luke | Chapter 23 | Verse 32] And there were also others — two evil-doers — with him, to be put to death;
[YLT | EN | NT | Luke | Chapter 23 | Verse 33] and when they came to the place that is called Skull, there they crucified him and the evil-doers, one on the right hand and one on the left.
[YLT | EN | NT | Luke | Chapter 23 | Verse 34] And Jesus said, 'Father, forgive them, for they have not known what they do;' and parting his garments they cast a lot.
[YLT | EN | NT | Luke | Chapter 23 | Verse 35] And the people were standing, looking on, and the rulers also were sneering with them, saying, 'Others he saved, let him save himself, if this be the Christ, the choice one of God.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 36] And mocking him also were the soldiers, coming near and offering vinegar to him,
[YLT | EN | NT | Luke | Chapter 23 | Verse 37] and saying, 'If thou be the king of the Jews, save thyself.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 38] And there was also a superscription written over him, in letters of Greek, and Roman, and Hebrew, 'This is the King of the Jews.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 39] And one of the evil-doers who were hanged, was speaking evil of him, saying, 'If thou be the Christ, save thyself and us.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 40] And the other answering, was rebuking him, saying, 'Dost thou not even fear God, that thou art in the same judgment?
[YLT | EN | NT | Luke | Chapter 23 | Verse 41] and we indeed righteously, for things worthy of what we did we receive back, but this one did nothing out of place;'
[YLT | EN | NT | Luke | Chapter 23 | Verse 42] and he said to Jesus, 'Remember me, lord, when thou mayest come in thy reign;'
[YLT | EN | NT | Luke | Chapter 23 | Verse 43] and Jesus said to him, 'Verily I say to thee, To-day with me thou shalt be in the paradise.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 44] And it was, as it were, the sixth hour, and darkness came over all the land till the ninth hour,
[YLT | EN | NT | Luke | Chapter 23 | Verse 45] and the sun was darkened, and the vail of the sanctuary was rent in the midst,
[YLT | EN | NT | Luke | Chapter 23 | Verse 46] and having cried with a loud voice, Jesus said, 'Father, to Thy hands I commit my spirit;' and these things having said, he breathed forth the spirit.
[YLT | EN | NT | Luke | Chapter 23 | Verse 47] And the centurion having seen what was done, did glorify God, saying, 'Really this man was righteous;'
[YLT | EN | NT | Luke | Chapter 23 | Verse 48] and all the multitudes who were come together to this sight, beholding the things that came to pass, smiting their breasts did turn back;
[YLT | EN | NT | Luke | Chapter 23 | Verse 49] and all his acquaintances stood afar off, and women who did follow him from Galilee, beholding these things.
[YLT | EN | NT | Luke | Chapter 23 | Verse 50] And lo, a man, by name Joseph, being a counsellor, a man good and righteous,
[YLT | EN | NT | Luke | Chapter 23 | Verse 51] — he was not consenting to their counsel and deed — from Arimathea, a city of the Jews, who also himself was expecting the reign of God,
[YLT | EN | NT | Luke | Chapter 23 | Verse 52] he, having gone near to Pilate, asked the body of Jesus,
[YLT | EN | NT | Luke | Chapter 23 | Verse 53] and having taken it down, he wrapped it in fine linen, and placed it in a tomb hewn out, where no one was yet laid.
[YLT | EN | NT | Luke | Chapter 23 | Verse 54] And the day was a preparation, and sabbath was approaching,
[YLT | EN | NT | Luke | Chapter 23 | Verse 55] and the women also who have come with him out of Galilee having followed after, beheld the tomb, and how his body was placed,
[YLT | EN | NT | Luke | Chapter 23 | Verse 56] and having turned back, they made ready spices and ointments, and on the sabbath, indeed, they rested, according to the command.
