[YLT | EN | OT | Numbers | Chapter 31 | Verse 1] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 42] And of the sons of Israel's half, which Moses halved from the men who war —
[YLT | EN | OT | Numbers | Chapter 31 | Verse 43] and the company's half is, of the flock three hundred thousand, and thirty thousand, seven thousand and five hundred;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 44] and of the herd six and thirty thousand;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 45] and of asses thirty thousand and five hundred;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 46] and of human beings sixteen thousand —
[YLT | EN | OT | Numbers | Chapter 31 | Verse 47] Moses taketh from the sons of Israel's half the one possession from the fifty, of man and of beast, and giveth them to the Levites keeping the charge of the tabernacle of Jehovah, as Jehovah hath commanded Moses.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 48] And the inspectors whom the thousands of the host hath, (heads of the thousands and heads of the hundreds), draw near unto Moses,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 49] and they say unto Moses, 'Thy servants have taken up the sum of the men of war who [are] with us, and not a man of us hath been missed;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 50] and we bring near Jehovah's offering, each that which he hath found, vessels of gold — chain, and bracelet, seal-ring, [ear] -ring, and bead — to make atonement for ourselves before Jehovah.'
[YLT | EN | OT | Numbers | Chapter 31 | Verse 51] And Moses receiveth — Eleazar the priest also — the gold from them, every made vessel,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 52] and all the gold of the heave-offering which they have lifted up to Jehovah is sixteen thousand seven hundred and fifty shekels, from heads of the thousands, and from heads of the hundreds;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 53] (the men of the host have spoiled each for himself);
[YLT | EN | OT | Numbers | Chapter 31 | Verse 54] and Moses taketh — Eleazar the priest also — the gold from the heads of the thousands and of the hundreds, and they bring it in unto the tent of meeting — a memorial for the sons of Israel before Jehovah.
