[YLT | EN | OT | Numbers | Chapter 14 | Verse 1] And all the company lifteth up and give forth their voice, and the people weep during that night;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 14] and they have said [it] unto the inhabitant of this land, they have heard that Thou, Jehovah, [art] in the midst of this people, that eye to eye Thou art seen — O Jehovah, and Thy cloud is standing over them, — and in a pillar of cloud Thou art going before them by day, and in a pillar of fire by night.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 15] 'And Thou hast put to death this people as one man, and the nations who have heard Thy fame have spoken, saying,
[YLT | EN | OT | Numbers | Chapter 14 | Verse 16] From Jehovah's want of ability to bring in this people unto the land which He hath sworn to them — He doth slaughter them in the wilderness.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 17] 'And now, let, I pray Thee, the power of my Lord be great, as Thou hast spoken, saying:
[YLT | EN | OT | Numbers | Chapter 14 | Verse 18] Jehovah [is] slow to anger, and of great kindness; bearing away iniquity and transgression, and not entirely acquitting, charging iniquity of fathers on sons, on a third [generation], and on a fourth; —
[YLT | EN | OT | Numbers | Chapter 14 | Verse 19] forgive, I pray Thee, the iniquity of this people, according to the greatness of Thy kindness, and as Thou hast borne with this people from Egypt, even until now.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 20] And Jehovah saith, 'I have forgiven, according to thy word;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 21] and yet, I live — and it is filled — the whole earth — [with] the honour of Jehovah;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 22] for all the men who are seeing My honour, and My signs, which I have done in Egypt, and in the wilderness, and try Me these ten times, and have not hearkened to My voice —
[YLT | EN | OT | Numbers | Chapter 14 | Verse 23] they see not the land which I have sworn to their fathers, yea, none of those despising Me see it;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 24] and My servant Caleb, because there hath been another spirit with him, and he is fully after Me — I have brought him in unto the land whither he hath entered, and his seed doth possess it.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 25] 'And the Amalekite and the Canaanite are dwelling in the valley; to-morrow turn ye and journey for yourselves into the wilderness — the way of the Red Sea.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 26] And Jehovah speaketh unto Moses, and unto Aaron, saying,
[YLT | EN | OT | Numbers | Chapter 14 | Verse 27] 'Until when hath this evil company that which they are murmuring against Me? the murmurings of the sons of Israel, which they are murmuring against Me, I have heard;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 28] say unto them, I live — an affirmation of Jehovah — if, as ye have spoken in Mine ears — so I do not to you;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 29] in this wilderness do your carcases fall, even all your numbered ones, to all your number, from a son of twenty years and upward, who have murmured against Me;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 30] ye — ye come not in unto the land which I have lifted up My hand to cause you to tabernacle in it, except Caleb son of Jephunneh, and Joshua son of Nun.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 31] 'As to your infants — of whom ye have said, A spoil they are become — I have even brought them in, and they have known the land which ye have kicked against;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 32] as to you — your carcases do fall in this wilderness,
[YLT | EN | OT | Numbers | Chapter 14 | Verse 33] and your sons are evil in the wilderness forty years, and have borne your whoredoms till your carcases are consumed in the wilderness;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 34] by the number of the days [in] which ye spied the land, forty days, — a day for a year, a day for a year — ye do bear your iniquities, forty years, and ye have known my breaking off;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 35] I [am] Jehovah, I have spoken; if I do not this to all this evil company who are meeting against me; — in this wilderness they are consumed, and there they die.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 36] And the men whom Moses hath sent to spy the land, and they turn back and cause all the company to murmur against him, by bringing out an evil account concerning the land,
[YLT | EN | OT | Numbers | Chapter 14 | Verse 37] even the men bringing out an evil account of the land die by the plague before Jehovah;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 38] and Joshua son of Nun, and Caleb son of Jephunneh, have lived of those men who go to spy out the land.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 39] And Moses speaketh these words unto all the sons of Israel, and the people mourn exceedingly,
[YLT | EN | OT | Numbers | Chapter 14 | Verse 40] and they rise early in the morning, and go up unto the top of the mountain, saying, 'Here we [are], and we have come up unto the place which Jehovah hath spoken of, for we have sinned.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 41] And Moses saith, 'Why [is] this? — ye are transgressing the command of Jehovah, and it doth not prosper;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 42] go not up, for Jehovah is not in your midst, and ye are not smitten before your enemies;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 43] for the Amalekite and the Canaanite [are] there before you, and ye have fallen by the sword, because that ye have turned back from after Jehovah, and Jehovah is not with you.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 44] And they presume to go up unto the top of the mountain, and the ark of the covenant of Jehovah and Moses have not departed out of the midst of the camp.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 45] And the Amalekite and the Canaanite who are dwelling in that mountain come down and smite them, and beat them down — unto Hormah.
