[IRV | TE | OT | Joshua | Chapter 21 | Verse 1] లేవీయుల వంశపు పెద్దలు యాజకుడు ఎలియాజరు దగ్గరికీ నూను కుమారుడు యెహోషువ దగ్గరికీ ఇశ్రాయేలీయుల గోత్రాల, కుటుంబాల పెద్దల దగ్గరికీ వచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 17] బెన్యామీను గోత్రం నుండి నాలుగు పట్టణాలను, అంటే గిబియోను, దాని పచ్చిక మైదానాలనూ గెబను, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 18] అనాతోతు, దాని పచ్చిక మైదానాలనూ అల్మోను, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 19] యాజకులైన అహరోను వంశం వారి పట్టణాలన్నీ వాటి పచ్చిక మైదానాలు పోతే పదమూడు పట్టణాలు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 20] కహాతీయుల వంశపువారైన లేవీయులకు, అంటే కహాతు వంశాల్లో మిగిలినవారికి చీట్ల ద్వారా ఎఫ్రాయిం గోత్రం నుండి పట్టణాలు వచ్చాయి.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 21] నాలుగు పట్టణాలను, అంటే ఎఫ్రాయిమీయుల కొండ ప్రాంతంలో అనాలోచితంగా హత్యచేసిన వారికి ఆశ్రయ పట్టణంగా ఉన్న షెకెం, దాని పచ్చిక మైదానాలనూ గెజెరు, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 22] కిబ్సాయిం, దాని పచ్చిక మైదానాలనూ బేత్‌ హోరోను, దాని పచ్చిక మైదానాలనూ వారికిచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 23] దాను గోత్రం నుండి నాలుగు పట్టణాలను, అంటే ఎత్తెకేను, దాని పచ్చిక మైదానాలనూ గిబ్బెతోను, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 24] అయ్యాలోను, దాని పచ్చిక మైదానాలనూ గత్రిమ్మోను, దాని పచ్చిక మైదానాలనూ వారికిచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 25] రెండు పట్టణాలు, అంటే మనష్షే అర్థగోత్ర కుటుంబాల నుండి తానాకు, దాని పచ్చిక మైదానాలనూ గత్రిమ్మోను, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 26] వాటి పచ్చిక మైదానాలు గాక కహాతు సంబంధుల్లో మిగిలినవారికి వచ్చిన పట్టణాలన్నీ పది.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 27] లేవీయుల వంశాల్లో గెర్షోనీయులకు రెండు పట్టణాలను, అంటే అనాలోచితంగా హత్యచేసిన వారికి ఆశ్రయ పట్టణంగా ఉన్న బాషానులోని గోలాను, దాని పచ్చిక మైదానాలనూ బెయెష్టెరా, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 28] ఇశ్శాఖారు గోత్రం నుండి నాలుగు పట్టణాలను, అంటే కిష్యోను, దాని పచ్చిక మైదానాలనూ దాబెరతు, దాని పచ్చిక మైదానాలనూ యర్మూతు, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 29] ఏన్గన్నీము, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 30] ఆషేరు గోత్రం నుండి నాలుగు పట్టణాలను, అంటే మిషెయలు, దాని పచ్చిక మైదానాలనూ అబ్దోను, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 31] హెల్కతు, దాని పచ్చిక మైదానాలనూ రెహోబు, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 32] నఫ్తాలి గోత్రం నుండి మూడు పట్టణాలను, అంటే అనాలోచితంగా హత్యచేసిన వారికి ఆశ్రయ పట్టణంగా ఉన్న గలిలయలోని కెదెషు, దాని పచ్చిక మైదానాలనూ హమ్మోత్దోరు, దాని పచ్చిక మైదానాలనూ కర్తాను, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 33] వారి వంశాల ప్రకారం గెర్షోనీయుల పట్టణాలన్నీ వాటి పచ్చిక మైదానాలు కలుపుకుని పదమూడు పట్టణాలు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 34] లేవీయుల్లో మిగిలిన మెరారీయుల వంశాలకు జెబూలూను గోత్రాల నుండి నాలుగు పట్టణాలను, అంటే యొక్నెయాము, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 35] కర్తా, దాని పచ్చిక మైదానాలనూ దిమ్నా, దాని పచ్చిక మైదానాలనూ నహలాలు, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 36] రూబేను గోత్రం నుండి నాలుగు పట్టణాలను, అంటే బేసెరు, దాని పచ్చిక మైదానాలనూ యాహసు, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 37] కెదెమోతు, దాని పచ్చిక మైదానాలనూ మేఫాతు, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 38] గాదు గోత్రం నుండి నాలుగు పట్టణాలను, అంటే హత్యచేసిన వారికి ఆశ్రయ పట్టణంగా ఉన్న గిలాదులోని రామోతు, దాని పచ్చిక మైదానాలనూ మహనయీము, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 39] హెష్బోను, దాని పచ్చిక మైదానాలనూ యాజెరు, దాని పచ్చిక మైదానాలనూ ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 40] వారి వారి వంశాల ప్రకారం, అంటే లేవీయుల మిగిలిన వంశాల ప్రకారం అవన్నీ మెరారీయులకు వచ్చిన పట్టణాలు. చీటి ద్వారా వారికి వచ్చిన పట్టణాలు పన్నెండు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 41] ఇశ్రాయేలీయుల స్వాస్థ్యంలో వాటి పల్లెలుగాక లేవీయుల పట్టణాలన్నీ నలభై ఎనిమిది.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 42] ఆ పట్టణాలన్నింటికీ పచ్చిక మైదానాలు ఉన్నాయి. ఆ పట్టణాలన్నీ అలాగే ఉన్నాయి.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 43] యెహోవా ప్రమాణం చేసి ఇశ్రాయేలీయుల పూర్వీకులకిస్తానని చెప్పిన దేశమంతా ఆయన ఇశ్రాయేలీయులకు అప్పగించాడు. వాళ్ళు దాని స్వాధీనపరచుకుని దానిలో నివసించారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 44] యెహోవా వారి పూర్వీకులతో ప్రమాణం చేసిన వాటన్నిటి ప్రకారం అన్నివైపులా వారికి విశ్రాంతి కలగచేశాడు. యెహోవా వారి శత్రువులందరిని వారికి అప్పగించాడు కాబట్టి వాళ్ళలో ఒక్కడు కూడా ఇశ్రాయేలీయుల ముందు నిలబడలేకపోయారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 45] యెహోవా ఇశ్రాయేలీయులకు ఇచ్చిన మాటలన్నిటిలో ఏదీ తప్పలేదు, అన్నీ నెరవేరాయి.
